accession	file	bytes	TACSTD2	CLDN4	MPR	ICI_response_label	note
OMIX001548	OMIX001548-01.zip	3018890	0	0	0	0	Nanostring immune panel; genes absent
OMIX001549	OMIX001549-01.zip	974851	0	0	0	1	417-row PFS/OS/effect; no expression
OMIX002797	OMIX002797-01.zip	2135110	0	0	0	0	PK/ADA; "Immune Response" is ADA assay
OMIX002798	OMIX002798-01.zip	12336	0	0	0	0	TMB/MSI only
OMIX004639	OMIX004639-01.xlsx	1200661	0	0	0	0	Advanced LUSC CRF; no expression
OMIX010537	OMIX010537-01.xlsx	1784325	0	0	0	0	Patient NGS mutations; 652 genes, no TACSTD2/CLDN4
OMIX010537	OMIX010537-03.xls	8449696	1	1	0	0	7 cell-line FPKM (mislabeled .xls TSV)
OMIX014319	OMIX014319-01.xlsx	3811595	1	1	0	0	Mouse LCBM counts; Tacstd2/Cldn4 present
OMIX019394	OMIX019394-01.csv	3390288	1	1	0	0	Mouse PDAC TROP2-ADC
HRA003748	HRA003748.xlsx	31219	0	0	0	0	65-sample metadata; Treatment/Stage/Survival empty; FASTQ only
HRA011882	HRA011882.xlsx	10724	0	0	0	0	PC9/H1975 Trop2 DTP; FASTQ only
HRA006427	HRA006427.xlsx	7729	0	0	0	0	Cell-line FASTQ only
