accession,title,taxon,n_samples,pdat,gdstype,is_human,is_lung,is_ici,is_expression,mentions_outcome,relevant,n_suppl_files,suppl_total_bytes,suppl_total_mb,has_processed_suppl,processed_bytes,under_2gb,suppl_files,suppl_error,summary
GSE150255,IFN-γ induces ZEB1 expression through STAT1-dependent upregulation of JMJD3 to promote lung adenocarcinoma cell aggressiveness,Homo sapiens,8,2023/05/01,Expression profiling by high throughput sequencing,True,True,True,True,False,True,2,1153433,1.1,True,1153433,True,GSE150255_SBC_BC190046_gene_expression.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Active IFN-g signaling is a common feature of tumors responding to PD-1 checkpoint blockade. IFN-g exhibits both anti- and pro-tumor activities. Here, we demonstrated that IFN-g induced ZEB1 expression and promoted epithelial-to-mesenchymal-transition in lung adenocarcinoma cells. ZEB1 was required for IFN-g-promoted EMT, cell migration, and metastasis. We performed a transcriptome analysis using RNA-seq to comprehensively describe the altered epithelial cell phenotype following IFN-g treatment."
GSE160903,Physical interaction with antigen presenting cells primes a T helper tumor lineage,Mus musculus; Homo sapiens,268,2022/01/11,Expression profiling by high throughput sequencing,True,True,True,True,False,True,4,153827328,146.7,True,735232,True,GSE160903_RAW.tar;GSE160903_metadata_q.txt.gz;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Cellular interactions in the tumor microenvironment (TME) drive T cell effector function, or dysfunction, and define a primary mechanism to target anti-tumor T cell immunity. Currently, the interactions that shape T cell function in the TME remain poorly understood. Here, we mapped the molecular programs of T and antigen-presenting cell interactions in human early non-small cell lung carcinoma lesions by physically interacting cell (PIC) sequencing. PIC-seq and imaging identified that in the TME, but not normal lung, PICs are enriched in clonally expanded CD4+PD-1+CXCL13+ T cells, expressing a unique combination of checkpoint molecules, transcription-factors, and cytokines, defining a novel T helper tumor-specific (Tht) program, conserved across cancer types. In vitro and in vivo genetic models of antigen specificity confirmed that the Tht prevalence in TME PICs is driven by tumor-antigen presentation of dendritic cells. Our study highlights CD4+ T-dendritic cell physical interaction as a key factor regulating the TME."
GSE161537,Immunologically hot phenotype is associated with response to second-line PD-1/PD-L1 inhibition in patients with advanced non-small cell lung cancer,Homo sapiens,82,2022/07/07,Expression profiling by high throughput sequencing,True,True,True,True,True,True,2,1677721,1.6,True,1677721,True,GSE161537_nivobio_log2cpm.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,Ongoing immunomodulatory strategies in tumors characterized by an overall hot immune phenotype may improve prognosis of patients with non-small cell lung cancer (NSCLC). Our objective was to develop a reliable and stable scoring system for the identification of immunologically hot NSCLC and to evaluate its association with response to immunotherapies. A Hot Oral Tumor (HOT) score was developed using data from The Cancer Genome Atlas. HOT score was computed in 82 patients with NSCLC treated with second-line immunotherapy targeting PD-1/PD-L1. High HOT score was associated with a statistically significant improved clinical outcome.
GSE162520,Immunologically active phenotype is associated with response to PD-1/PD-L1 inhibitors in patients with advanced non-small cell lung cancer,Homo sapiens,92,2022/07/07,Expression profiling by high throughput sequencing,True,True,True,True,True,True,2,416768,0.4,True,416768,True,GSE162520_GEO_data_TUMADOR_log2cpm.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,Immunotherapy in immunologically active tumors may improve prognosis of non-small cell lung carcinomas (NSCLC). Our objective was to develop a reliable and stable scoring system for the identification of immunologically active HNSCC and to evaluate its association with response to immunotherapies. A Hot Oral Tumor (HOT) score was developed using data from The Cancer Genome Atlas in human-papillomavirus negative head and neck squamous cell carcinomas; it was computed in 92 patients with early stage NSCLC treated with surgery to evaluate the prognostic impact of the HOT score.
GSE162676,Targeting Type I arginine methyltransferase PRMT1 promotes the T cell mediated antitumor immune response,Homo sapiens,40,2022/03/01,Expression profiling by high throughput sequencing,True,False,True,True,True,False,2,6396313,6.1,True,6396313,True,GSE162676_DESeq2_output.concat.allsamples.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Type I protein arginine methyltransferases (PRMTs) have been implicated in human cancers and a Type I PRMT inhibitor, GSK3368715, has recently entered clinical trials in solid and hematological malignancies. In cancer cell lines, Type I PRMT inhibitors induce an interferon gene signature, amplified responses to interferon and innate immune signaling pathways, and decreased expression of the immunosuppressive cytokine VEGFA. In immunocompetent mouse tumor models, Type I PRMT inhibition increased T cell infiltration, produced durable responses dependent on CD8 T cells and enhanced efficacy of anti-PD1, including a model of T cell exclusion, representing a common mechanism of PD1 resistance in humans. These data suggest Type I PRMT inhibition can potentiate an anti-tumor immunity in refractory settings."
GSE164146,Integrative single-cell RNA and T-cell receptor analyses reveal transcriptional features of antigen-reactive tumor-infiltrating regulatory T cells in patients with lung cancer,Homo sapiens,12,2023/01/01,Expression profiling by high throughput sequencing; Other,True,True,True,True,True,True,3,58721792,56.0,True,1536,True,GSE164146_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Background: T-cell receptor (TCR) stimulation is essential to complete differentiation of tumor-infiltrating regulatory T cells (T-Tregs). Therefore, elucidation of TCR-dependent regulatory network involved in activation and proliferation of T-Tregs will facilitate discovery of novel antitumor remedy. Here, we investigated transcriptional features specific for antigen-reactive Tregs by harnessing single-cell RNA and TCR analyses of human Tregs derived from patients with non-small cell lung cancer (NSCLC).  Methods: Assuming Tregs undergo clonal expansion in response to antigens, we sought for transcriptional features specific for antigen-reactive Tregs by comparing gene expression of Tregs with unique TCR clonotypes and those with expanded TCR clonotypes. To verify the identified molecule, multiplex immunohistochemistry and flow cytometry were used.  Results: We found that the proportion of Tregs with expanded clonotypes was much higher in the tumor than in the periphery blood. We also found that T-Tregs with shared clonotypes were transcriptionally more similar to each other than to those with different clonotypes. Finally, we identified SYNGR2, TNFRSF18, DUSP4, and CTLA4 as core signature genes for T-Tregs with expanded clonotypes and confirmed their existences expressed on human T-Tregs. Interestingly, T-Treg-specific co-regulatory network revealed that SYNGR2, TNFRSF18 and DUSP4 are potential coordinators between TCR-dependent activation and cell proliferation.  Conclusions: Our study shed light on regulatory insights of TCR-dependent Treg activation and differentiation in tumor and therapeutic strategies for patients with NSCLC."
GSE168844,Identification of a novel antitumor CD4+ T cell cluster orchestrating antitumor immunity,Homo sapiens,16,2022/12/21,Expression profiling by high throughput sequencing; Other,True,False,True,True,True,False,3,315623731,301.0,True,2355,True,GSE168844_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"scRNAseq-based unsupervised clustering and clonotyping revealed that Th1/17 and CCR6 SP clusters formed metacluster Th7R, which was distinct from Th1 or Th17, characterized by high expression of the IL-7 receptor. Use of this cluster to assess antitumor CD4+ T cell immunity from the peripheral blood and to predict the efficacy of immune checkpoint inhibitors will pave the way for novel antitumor immunotherapy strategies for patients."
GSE178521,PRMT5 inhibition increases PD-L1 expression and immunoresistance in lung cancer,Homo sapiens,6,2022/02/08,Expression profiling by high throughput sequencing,True,True,True,True,True,True,3,2088960,2.0,True,2088960,True,GSE178521_gene_count_matrix.txt.gz;GSE178521_genes_fpkm_expression.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Purpose: We sequenced mRNA from 3 biological replicates each of NCI-H460 lung adenocarcinoma cell lines expressing shRNA against GFP (control) or PRMT5.We then determined differential gene expression to identify the relationship between PRMT5 expression and tumorigenesis. Methods: PRMT5 shRNA and control shRNA NCI-H460 cells were generated by lentivirus targeting PRMT5 or GFP(control), in triplicate,using illumina Novaseq™ 6000. Results:PRMT5 specific knockdown cells were enriched in the negative regulation of T cells and type I IFN response,we found that negative regulation of T cell molecules like Arg2, CD274 and IDO1 were increased in the PRMT5 shRNA group compared with the control group."
GSE179879,Targeting the tumor mutanome for personalized vaccination in lung cancer,Homo sapiens,20,2022/04/27,Expression profiling by high throughput sequencing,True,True,False,True,False,False,3,39845888,38.0,True,39845888,True,GSE179879_AllCases_TPMcounts.xlsx;GSE179879_LungCohort_TPMcounts.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Cancer is characterized by an accumulation of somatic mutations, of which a significant subset can generate cancer-specific neoepitopes that are recognized by autologous T cells. Neoepitopes are emerging as important targets for cancer immunotherapy, including personalized cancer vaccination strategies. We used whole-exome and RNA sequencing analysis to identify potential neoantigens for a patient with non-small cell lung cancer. Sequencing revealed a low tumor mutational burden: 2,219 sequence variants were identified from the primary tumor, of which 23 were expressed in the transcriptome, involving 18 gene products. We assessed autologous T-cell reactivity to the candidate neoantigens using a long peptide approach and could demonstrate spontaneous T-cell responses to 5/18 (28%) mutated gene variants. Further, analysis of the TCR repertoire of neoantigen-specific CD4+ and CD8+ T cells revealed TCR clonotypes that were expanded in both blood and tumor tissue. In parallel, the 18 gene variants were incorporated into a Modified Vaccinia Ankara-based vaccine, which was evaluated in the transgenic HLA-A*02-restricted HHD mouse model. Following vaccination, de novo T-cell responses were generated to 4/18 (22%) mutated gene variants, of which 2 were also observed in the autologous setting; we determined the MHC restriction of the T-cell responses and used in silico prediction tools to determine the likely neoepitopes. Our study demonstrates the feasibility of efficiently identifying tumor-specific neoantigens that can be targeted by vaccination in tumors with a low mutational burden, and promises successful clinical application, with trials currently underway."
GSE180063,Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection,Homo sapiens; Mus musculus; Severe acute respiratory syndrome coronavirus 2,12,2022/04/19,Expression profiling by high throughput sequencing,True,True,False,True,True,False,4,201326592,192.0,True,201326592,True,GSE180063_counts_SARS.csv.gz;GSE180063_counts_human.csv.gz;GSE180063_counts_mouse.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"The majority of SARS-CoV-2 infections among healthy individuals result in asymptomatic to mild disease. However, the immunological mechanisms defining effective lung tissue protection from SARS-CoV-2 infection remain elusive. Unlike mice solely engrafted with human fetal lung xenograft (fLX), mice co-engrafted with fLX and a myeloid-enhanced human immune system (HNFL mice) are resistant to SARS-CoV-2 infection, severe inflammation, and histopathology. Effective control of viral infection in HNFL mice associated with significant macrophage infiltration, and the induction of a potent macrophage-mediated interferon response. The strong upregulation of the USP18-ISG15 axis, a negative regulator of IFN responses, by macrophages was unique to HNFL mice and represented a prominent correlate of reduced inflammation and histopathology. Altogether, our work shed lights on unique cellular and molecular correlate of lung tissue protection during SARS-CoV-2 infection, and underscores macrophage IFN responses as prime targets for developing immunotherapies against coronavirus respiratory diseases."
