accession,title,pdat,n_samples,taxon,is_human,is_lung_confirmed,is_ici,is_expression,relevant,study_category,outcome_keys,has_processed_suppl,suppl_total_mb,under_2gb,usable_for_TACSTD2_CLDN4,verdict,suppl_files
GSE216297,Blood platelet RNA profiles do not enable for nivolumab response prediction at baseline in patients with non-small-cell lung cancer,2023/07/10,286,Homo sapiens,True,True,True,True,True,platelet_rnaseq,treatment,True,1.6,True,False,"NSCLC baseline platelet (TEP) RNA for nivolumab response (n=286); platelet not tumour, matrix in .RData, no per-sample response label in GEO metadata.",GSE216297_TEP_Count_Matrix.RData.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE160903,Physical interaction with antigen presenting cells primes a T helper tumor lineage,2022/01/11,268,Mus musculus; Homo sapiens,True,True,True,True,True,single_cell,treatment(1),True,146.7,True,False,scRNA of T cells (mouse+human); mechanistic.,GSE160903_RAW.tar;GSE160903_metadata_q.txt.gz;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE185206,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade,2023/02/13,108,Homo sapiens,True,True,True,True,True,single_cell,,True,934.0,True,False,scRNA/TCR-seq of T cells during checkpoint blockade.,GSE185206_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE162520,Immunologically active phenotype is associated with response to PD-1/PD-L1 inhibitors in patients with advanced non-small cell lung cancer,2022/07/07,92,Homo sapiens,True,True,True,True,True,targeted_panel,os (event);os (month);pfs (event);pfs (month),True,0.4,True,False,NSCLC PD-1/PD-L1 cohort with OS/PFS (n=92) but expression is a ~2.5k-gene targeted panel WITHOUT TACSTD2/CLDN4.,GSE162520_GEO_data_TUMADOR_log2cpm.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE235603,Lung tumor-infiltrating Treg have divergent transcriptional profiles and function linked to checkpoint blockade response,2023/09/11,86,Homo sapiens; Mus musculus,True,True,True,True,True,single_cell,,True,2355.2,False,False,SuperSeries of Treg scRNA-seq; sorted immune cells.,GSE235603_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE161537,Immunologically hot phenotype is associated with response to second-line PD-1/PD-L1 inhibition in patients with advanced non-small cell lung cancer,2022/07/07,82,Homo sapiens,True,True,True,True,True,targeted_panel,best response on immunotherapy (recist);immunotherapy line;os (event);os (month);performance status;pfs (month),True,1.6,True,False,NSCLC immunotherapy cohort with RECIST/OS/PFS (n=82) but ~2.5k-gene targeted panel WITHOUT TACSTD2/CLDN4.,GSE161537_nivobio_log2cpm.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE214992,SERPINB9 is commonly amplified and high expression in cancer cells correlates with poor immune checkpoint blockade response,2022/10/12,50,Homo sapiens,True,True,True,True,True,cell_line,treatment,True,4.3,True,False,NSCLC cell lines +/- CD8 T-cell killing; not patient outcome.,GSE214992_NSCLC_panel_readcounts.txt.gz;GSE214992_baseline_deseq_output_with_gene_annotation.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE248830,Unlocking Molecular mechanisms and identifying druggable targets in matched-paired brain metastasis of Breast and Lung cancers ,2023/12/03,44,Homo sapiens,True,True,True,True,True,targeted_panel,smoking status;treatment after surgery of bm,True,0.1,True,False,Brain-metastasis (breast+lung) NanoString-scale panel; not an ICI response cohort.,GSE248830_Raw_data.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE185204,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scRNA-seq],2023/02/14,40,Homo sapiens,True,True,True,True,True,single_cell,,True,1122.9,True,False,scRNA-seq of CD3+ / multimer+ T cells during ICB; not bulk tumour.,GSE185204_RAW.tar;GSE185204_multimer_MSK1263_A1-A4_RNA_A1_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A1_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A1_matrix.mtx.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_matrix.mtx.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A3_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A3_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A3_matrix.mtx.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A4_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A4_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A4_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R1_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R1_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R1_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R2_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R2_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R2_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R3_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R3_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R3_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R4_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R4_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R4_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R5_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R5_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R5_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R6_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R6_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R6_matrix.mtx.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R7_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R7_features.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R7_matrix.mtx.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R8_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R8_features.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R8_matrix.mtx.gz;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE207422,Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing,2023/03/21,39,Homo sapiens,True,True,True,True,True,bulk_tumor_rnaseq,pathologic_response;treatment group,True,180.4,True,True,"PRIMARY: NSCLC neoadjuvant anti-PD-1+chemo, 24 baseline bulk tumours, whole-transcriptome log2TPM, MPR/NMPR + RECIST + residual tumour %. Both genes present.",GSE207422_NSCLC_bulk_RNAseq_log2TPM.txt.gz;GSE207422_NSCLC_bulk_RNAseq_metadata.xlsx;GSE207422_NSCLC_scRNAseq_UMI_matrix.txt.gz;GSE207422_NSCLC_scRNAseq_metadata.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
