name,role,n_defined,n_present,genes_present,genes_missing
TACSTD2,anchor,1,1,TACSTD2,
CLDN4,anchor,1,1,CLDN4,
CD274,primary,1,1,CD274,
IL6,primary,1,1,IL6,
CD8A,primary,1,1,CD8A,
STAT3,sensitivity,1,1,STAT3,
IFNG,sensitivity,1,1,IFNG,
IFN_compact,primary,8,8,"IFNG,STAT1,IRF1,CXCL9,CXCL10,CXCL11,IDO1,GBP1",
MHC1,primary,10,10,"HLA-A,HLA-B,HLA-C,B2M,TAP1,TAP2,NLRC5,PSMB8,PSMB9,TAPBP",
IL6_STAT3_compact,primary,7,7,"IL6,IL6R,IL6ST,JAK1,JAK2,STAT3,SOCS3",
GEP18,primary,18,18,"CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT",
immune8,sensitivity,8,8,"CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21",
CYT,sensitivity,2,2,"GZMA,PRF1",
epithelial,covariate,4,4,"EPCAM,KRT8,KRT18,KRT19",
HALLMARK_IFNG,sensitivity,200,196,"ADAR,APOL6,ARID5B,ARL4A,AUTS2,B2M,BANK1,BATF2,BPGM,BST2,BTG1,C1R,C1S,CASP1,CASP3,CASP4,CASP7,CASP8,CCL2,CCL5,CCL7,CD274,CD38,CD40,CD69,CD74,CD86,CDKN1A,CFB,CFH,CIITA,CMKLR1,CMPK2,CMTR1,CSF2RB,CXCL10,CXCL11,CXCL9,DDX60,DHX58,EIF2AK2,EIF4E3,EPSTI1,FAS,FCGR1A,FGL2,FPR1,GBP4,GBP6,GCH1,GPR18,GZMA,HELZ2,HERC6,HIF1A,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-DRB1,HLA-G,ICAM1,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IFITM2,IFITM3,IFNAR2,IL10RA,IL15,IL15RA,IL18BP,IL2RB,IL4R,IL6,IL7,IRF1,IRF2,IRF4,IRF5,IRF7,IRF8,IRF9,ISG15,ISG20,ISOC1,ITGB7,JAK2,KLRK1,LAP3,LATS2,LCP2,LGALS3BP,LY6E,LYSMD2,MT2A,MTHFD2,MVP,MX1,MX2,MYD88,NAMPT,NCOA3,NFKB1,NFKBIA,NLRC5,NMI,NOD1,NUP93,OAS2,OAS3,OASL,OGFR,P2RY14,PARP12,PARP14,PDE4B,PELI1,PFKP,PIM1,PLA2G4A,PLSCR1,PML,PNP,PNPT1,PSMA2,PSMA3,PSMB10,PSMB2,PSMB8,PSMB9,PSME1,PSME2,PTGS2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,RIPK1,RIPK2,RNF213,RNF31,RSAD2,RTP4,SAMD9L,SAMHD1,SECTM1,SELP,SERPING1,SLAMF7,SLC25A28,SOCS1,SOCS3,SOD2,SP110,SPPL2A,SRI,SSPN,ST3GAL5,ST8SIA4,STAT1,STAT2,STAT3,STAT4,TAP1,TAPBP,TDRD7,TNFAIP2,TNFAIP3,TNFAIP6,TNFSF10,TOR1B,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM26,TXNIP,UBE2L6,UPP1,USP18,VAMP5,VAMP8,VCAM1,XAF1,XCL1,ZBP1,ZNFX1","MARCHF1,RIGI,TMT1B,WARS1"
HALLMARK_IFNA,sensitivity,97,95,"ADAR,B2M,BATF2,BST2,C1S,CASP1,CASP8,CCRL2,CD47,CD74,CMPK2,CMTR1,CNP,CSF1,CXCL10,CXCL11,DDX60,DHX58,EIF2AK2,ELF1,EPSTI1,GBP2,GBP4,GMPR,HELZ2,HERC6,HLA-C,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFITM1,IFITM2,IFITM3,IL15,IL4R,IL7,IRF1,IRF2,IRF7,IRF9,ISG15,ISG20,LAMP3,LAP3,LGALS3BP,LPAR6,LY6E,MOV10,MVB12A,MX1,NCOA7,NMI,NUB1,OAS1,OASL,OGFR,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PROCR,PSMA3,PSMB8,PSMB9,PSME1,PSME2,RIPK2,RNF31,RSAD2,RTP4,SAMD9,SAMD9L,SELL,SLC25A28,SP110,STAT2,TAP1,TDRD7,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM26,TRIM5,TXNIP,UBA7,UBE2L6,USP18","TENT5A,WARS1"
HALLMARK_IL6_JAK_STAT3,sensitivity,87,87,"A2M,ACVR1B,ACVRL1,BAK1,CBL,CCL7,CCR1,CD14,CD36,CD38,CD44,CD9,CNTFR,CRLF2,CSF1,CSF2,CSF2RA,CSF2RB,CSF3R,CXCL1,CXCL10,CXCL11,CXCL13,CXCL3,CXCL9,DNTT,EBI3,FAS,GRB2,HAX1,HMOX1,IFNAR1,IFNGR1,IFNGR2,IL10RB,IL12RB1,IL13RA1,IL15RA,IL17RA,IL17RB,IL18R1,IL1B,IL1R1,IL1R2,IL2RA,IL2RG,IL3RA,IL4R,IL6,IL6ST,IL7,IL9R,INHBE,IRF1,IRF9,ITGA4,ITGB3,JUN,LEPR,LTB,LTBR,MAP3K8,MYD88,OSMR,PDGFC,PF4,PIK3R5,PIM1,PLA2G2A,PTPN1,PTPN11,PTPN2,REG1A,SOCS1,SOCS3,STAM2,STAT1,STAT2,STAT3,TGFB1,TLR2,TNF,TNFRSF12A,TNFRSF1A,TNFRSF1B,TNFRSF21,TYK2",
