row	cohort	endpoint	statistic	n_or_units	direction_for_TACSTD2_high	supports_immune_negative	honest_caveat	source_pr	source_path
1	CosMx He2022 NSCLC (figshare 25976224)	CD8+NK neighbor count; section-median TACSTD2 split	hi/lo ratio 0.455 at 10 µm; 0.670 at 20 µm; 8/8 sections and 5/5 patients lower; patient sign P=0.03125	295877 tumor cells; 8 sections; 5 patients	fewer CD8+NK neighbors at 10–20 µm	YES	Short-range only. 50 µm ratio 0.854 (7/8); 100 µm 0.947 (4/8). Locked CLDN4 50/100 µm cytotoxic ratios 0.36/0.52 are not replaced.	#726	results/cosmx_tacstd2_cldn4/tables/marginal_summary.csv
1b	CosMx He2022 (same)	immune-neighbor fraction; same median split	hi/lo ratio 0.519 at 10 µm; 0.643 at 20 µm; 8/8 and 5/5; sign P=0.03125	same as row 1	fewer immune neighbors at 10–20 µm	YES (immune)	Companion to row 1. CD8-only count ratios 0.502 / 0.726 at 10 / 20 µm also 8/8 and 5/5.	#726	results/cosmx_tacstd2_cldn4/tables/marginal_summary.csv
2	concordant-4 scRNA (GSE123902+GSE131907+GSE205335+GSE189357)	malignant TACSTD2 % detected vs patient T/NK fraction	DL meta Spearman ρ=−0.112 (95% CI −0.388 to +0.183); p=0.460; I²=15%; N=65; k=4	65 patients/donors/samples	no significant fewer T/NK	NULL	Do not import CLDN4 ρ=−0.531 as TACSTD2. Mean-log1p TACSTD2 readout is +0.041 (opposite/null).	#718 / #638	methods/trop2_cldn4_mediation/results/tables/concordant4_meta.tsv
2b	concordant-4 (pipeline check only)	malignant CLDN4 % detected vs T/NK	ρ=−0.531; p=1.65e-5; I²=0%; N=65	65	CLDN4-high → fewer T/NK	YES for CLDN4 — NOT TACSTD2	Locked CLDN4 result; shown only so the TACSTD2 null is not mistaken for a pipeline failure.	#718 / #539	methods/trop2_cldn4_mediation/results/tables/concordant4_meta.tsv
3	TCGA LUAD+LUSC (Xena HiSeqV2 + PanCanAtlas ABSOLUTE)	TACSTD2 vs CD8A after ABSOLUTE purity	pooled partial ρ=−0.191 (p=1.31e-9, n=995); LUAD −0.104 (p=0.020, n=502); LUSC −0.244 (p=4.3e-8, n=493)	995 with purity	fewer CD8A transcript	YES	LUSC stronger than LUAD (Fisher p=0.023). Single-gene CD8A, not deconvolution fraction. Not ICI.	#107	results/rework/A1_histology/REPORT.md
3b	TCGA LUAD+LUSC (same)	TACSTD2 vs ESTIMATE ImmuneScore after ABSOLUTE	pooled partial ρ=−0.107 (p=7.4e-4, n=995); LUAD +0.072 (p=0.109); LUSC −0.131 (p=0.003)	995	lower ImmuneScore in LUSC only	PARTIAL (LUSC-only)	Do not quote pooled ImmuneScore as a LUAD finding. ESTIMATE is RNA-leukocyte; methylation leukocyte fraction is not negative.	#107	results/rework/A1_histology/REPORT.md
3c	TCGA 8 primary cohorts (GDC STAR log2 TPM+1)	TACSTD2 vs CD8A+CD8B mean after KRT8+KRT18+KRT19	pooled ρ=−0.069 (95% CI −0.135 to −0.002); p=0.043; I²=76%; negative in 6/8	LUAD 516; LUSC 501; BRCA 1095; CESC 304; KIRC 533; STAD 412; BLCA 406; PAAD 178	weakly fewer CD8 transcript	WEAK	Pre-specified keratin control. CESC +0.118; PAAD flips to +0.029 after keratin. Prefer NSCLC CD8 row 3 for lung slide.	#593	results/tcga_trop2_cldn_keratin/tables/meta_summary.tsv
4	OncoSG LUAD (cBioPortal luad_oncosg_2020)	TACSTD2 vs CD8A after published PURITY	partial ρ=−0.309 (95% CI −0.440 to −0.165); p=4.69e-5	n=169 (portal lists 181; public z-score matrix has 169)	fewer CD8A	YES	East-Asian surgical LUAD; not ICI. Do not quote IMSIG neutrophil −0.456 as CD8.	#139	results/rework/OncoSG_A1/correlations.tsv
4b	OncoSG (same)	TACSTD2 vs A1 immune / IMSIG T / IMSIG NK after PURITY	immune_tcell_effector partial ρ=−0.318 (p=2.7e-5); IMSIG_T −0.404; IMSIG_NK −0.421	n=169	lower T/NK-class scores	YES	Companion to CD8A primary.	#139	results/rework/OncoSG_A1/correlations.tsv
5	CPTAC LUAD TMT freeze v1.2	TACSTD2 protein vs xCell CD8+ / xCell immune	CD8 ρ=−0.289 (n=110, p=0.0022); WES partial −0.261 (n=108, p=0.0067). Immune ρ=−0.309; WES partial −0.272	110 tumors; treatment-naive surgery	fewer xCell CD8 / lower immune score	YES (LUAD protein)	TROP2 protein complete. RNA TACSTD2 vs xCell is null (|ρ|≤0.12). No ICI labels.	#99	results/hunt_cptac_partial/tables/primary_focus.tsv
5b	CPTAC LSCC (same freeze)	TACSTD2 protein vs xCell CD8+ / immune	CD8 ρ=−0.080 (n=108, p=0.41); immune ρ=−0.133 (p=0.17); still ns after WES/WGS	108 tumors; treatment-naive surgery	no significant fewer CD8	NULL (LSCC)	Same sign, not significant. Do not pool as LSCC replication. CLDN4 protein carries LSCC immune-cold in siblings; TACSTD2 does not.	#99 / #84	results/hunt_cptac_partial/
6	Public mouse GEMM scRNA pool (not private 8KL)	Tacstd2 % epithelial vs T fraction (within-study rank z)	pooled total c=−0.277; perm p=0.137; n=34 mice; k=5 studies; partial given Cldn4 r=−0.346 (p=0.065)	GSE295824 16; GSE264739 6; GSE201247 4; GSE266323 4; GSE179501 4	point estimate fewer T; not significant	WEAK / ns	Not KL-vs-KP. Indirect a×b through Cldn4 includes 0. Do not merge with private 8KL. GSE137244 is cell-line only (no T fraction).	#724	methods/mouse_tacstd2_cldn4_mediation/tables/pooled_mediation.tsv
6b	Public mouse (largest eligible study)	GSE295824 Tacstd2 %pos vs T fraction	Spearman ρ=−0.612; n=16; p=0.012; partial given Cldn4 ρ=−0.468 (p=0.082)	16 Sox2-GEMM mice	fewer T in this study	Study-level YES; not the pool	One of five studies; GSE264739 is opposite (+0.829, p=0.058). Quote pool (row 6) as primary mouse call.	#724	methods/mouse_tacstd2_cldn4_mediation/tables/within_study.tsv
X	EXCLUDED — not this claim	TISMO Tacstd2 treated−baseline	49/64 up; Wilcoxon p=5.8e-5	64 ICB groups; lung=2 (LLC)	Tacstd2 rises after ICB	NO — drug/ICB induction	Explicitly excluded from PPT opening. Not fewer T/NK. Baseline Tacstd2–CD8 can be positive. No true KL/KP lung lines.	#152 / #173	results/claim_A4/
