accession	title	taxon	gdstype	n_samples	pdat	suppfile	queries	summary
GSE100412	Transcriptional signatures associated with in vivo growth of lung cancer cells	Mus musculus		24			CMT167	Interactions between cancer cells and the host cells in the tumor microenvironment (TME) are critical for tumor growth and metastasis. While the host cells have been widely studied within the TME, cancer cell have been mostly studied in vitro. We hypothesized that the growth of cancer cells in vivo results in specific changes in cancer cells’ transcriptome that reflect specific interactions between cancer cell and the TME. To begin to define the changes in cancer cells growing in vivo, we performed RNA-seq transcriptome analysis of cancer cells isolated from murine tumors and compared them to transcriptomes of cells growing in vitro. In this study we used two murine lung cancer cell lines, both derived from a spontaneous lung adenocarcinoma in C57BL/6 mouse: (1) Lewis Lung carcinoma (LLC) and (2) CMT167(CMT). We first harvested RNA from these 2 cell lines cultured in vitro. To assess the transcriptome of cells growing in vivo, we employed an orthotopic immunocompetent model of lung adenocarcinoma in which murine lung cancer cells are directly implanted into the left lobe of syngeneic mice. LLC or CMT cells were injected into the lung of GFP-expressing mice of C57BL/6 strain. Resulting tumors were harvested, processed into single cell suspension, and cancer cells were isolated from host cells by flow cytometry, sorting for GFP-negative cells. RNA was extracted from freshly isolated cells. Furthermore, to assess if the changes associated with in vivo growth are permanent, we re-plated the cells isolated from mice, cultured them further in vitro, and extracted their RNA. Our RNA-seq analysis has shown that both cell lines undergo robust specific changes in transcriptional profile when growing in vivo as compared to cells cultured in vitro. Majority of these signatures were reversed in cells that were replated and further cultured in vitro after isolation from mice.
GSE102168	Gene expression profiling of AC9 overexpression in 393P mice cells	Mus musculus		6			344P OR 393P OR 531LN2	ADCY9 encodes AC9, which is 1 of 9 transmembrane AC isoforms (AC1-9) that catalyze the synthesis of cyclic AMP from ATP and are regulated primarily by heterotrimeric G-protein-coupled receptors. We ectopically expressed AC9 in 393P cells and found that, relative to empty vector controls, the AC9 transfectants had higher cyclic AMP levels and were more migratory and invasive in Boyden chambers. We examined the prognostic value of an AC9-regulated gene expression signature derived from 393P_AC9 cells and 393P_vector cells. We probed a compendium of 1,586 clinically annotated human lung adenocarcinomas for the manifestation of the AC9 gene signature and found that the manifestation of the signature was correlated with a significantly shorter duration of survival.
GSE108417	Airway epithelial barrier, mucins and inflammasome in distinct eosinophilic, neutrophilic and mixed inflammatory phenotypes of asthma	Mus musculus		12			Cldn4 AND lung	Asthma is a complex, chronic respiratory disease with marked clinical and pathophysiological heterogeneity. Distinct inflammatory phenotypes of eosinophilic, mixed, neutrophilic and paucigranulocytic asthma are identified in patients, but most in vivo mouse models, studying asthma mechanisms, mimic only eosinophilic phenotype in humans. The detailed unbiased in vivo studies on molecular responses among different kinds of inflammation in asthma models are lacking. Therefore, we  developed mouse models representing three different inflammatory phenotypes of airway inflammation, namely eosinophilic, mixed, and neutrophilic asthma via different methods of house dust mite sensitisation. We used microarrays to determine the global gene expression in the lungs of  mice with eosinophilic, mixed and neutrophilic inflammatory phenotypes to uncover underlying differences in clinical presentation and to find novel molecular targets and pathways, which might reflect different molecular mechanisms of the disease. By whole genome transcriptome profiling, we found that airway tight junction (TJ) molecules, mucins and inflammasome-related genes are differentially expressed in distinct phenotypes of allergic airway inflammation. Next, detailed analysis of several molecules from these families by quantitative RT-PCR, western blot and confocal microscopy revealed that (i) Zo-1 and Cldn18 were downregulated in all phenotypes, while Cldn4 upregulation was characteristic for neutrophilic airway inflammation; (ii) mucins Clca1 (Gob5) and Muc5ac were upregulated in eosinophilic and even more in neutrophilic asthma, and (iii) upregulation of inflammasome-related molecules such as Nlrp3, Nlrc4, Casp-1 and IL-1b was characteristic for neutrophilic asthma. Finally, we showed that inflammasome/Th-17/neutrophilic axis cytokines, namely IL-1b and IL-17 impaired epithelial barrier function and increased mucins expressions in primary human bronchial epithelial cells from normal and asthmatic donors. Our findings suggest that differential expression of TJs, mucins and inflammasome-related molecules in distinct asthma phenotypes could be mechanistically linked and might further reflect the differences observed in the clinic.
GSE109010	Mutations in the SWI/SNF chromatin remodeling complex induce metabolic rewiring and dependence on oxidative phosphorylation [Affymetrix]	Homo sapiens		12			EGFR AND lung AND mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Lung cancer is a devastating disease that remains the top cause of cancer mortality. While targeted therapies against EGFR and EML4-ALK fusion and recent advances in immunotherapy have shown substantial clinical benefit for some patients, the vast majority of patients with lung cancer still lack effective therapies underscoring the dire need for more context-specific therapeutics. Cancer genomic studies have identified frequent genetic alterations in chromatin and epigenetic regulators including inactivating mutations in components of the SWI/SNF chromatin remodeling complex. In lung adenocarcinoma, about 20% of tumors have inactivating mutations in components of the SWI/SNF chromatin remodeling complex including SMARCA4 and ARID1A. With the aim of understanding the mechanism of tumor development driven by mutations in this complex, we developed a genetically engineered mouse (GEM) model of lung adenocarcinoma by selectively ablating Smarca4 in the lung epithelium. We demonstrate that Smarca4 acts as a bona fide tumor suppressor and cooperates with p53 loss and Kras activation. Cross species integrative gene expression analyses revealed signature of enhanced oxidative phosphorylation (OXPHOS) in SMARCA4 mutant murine as well as human lung adenocarcinomas. We further show that SMARCA4 mutant cells have increased oxygen consumption and increased respiratory capacity primarily driven by increased expression of the mitochondrial master regulator, PGC1-α. Importantly, we show that SMARCA4 and other SWI/SNF mutant lung cancer cell lines and xenograft tumors have exquisite sensitivity to inhibition of OXPHOS by a novel small molecule, IACS-010759, that is under clinical development. Mechanistically, we show that SMARCA4 deficient cells have a blunted transcriptional response to energy stress creating a therapeutically attractive collateral vulnerability. These findings provide the mechanistic basis for further development of OXPHOS inhibitors as therapeutics against SWI/SNF mutant tumors.
GSE109020	Mutations in the SWI/SNF chromatin remodeling complex induce metabolic rewiring and dependence on oxidative phosphorylation	Homo sapiens		4			EGFR AND lung AND mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Lung cancer is a devastating disease that remains the top cause of cancer mortality. While targeted therapies against EGFR and EML4-ALK fusion and recent advances in immunotherapy have shown substantial clinical benefit for some patients, the vast majority of patients with lung cancer still lack effective therapies underscoring the dire need for more context-specific therapeutics. Cancer genomic studies have identified frequent genetic alterations in chromatin and epigenetic regulators including inactivating mutations in components of the SWI/SNF chromatin remodeling complex. In lung adenocarcinoma, about 20% of tumors have inactivating mutations in components of the SWI/SNF chromatin remodeling complex including SMARCA4 and ARID1A. With the aim of understanding the mechanism of tumor development driven by mutations in this complex, we developed a genetically engineered mouse (GEM) model of lung adenocarcinoma by selectively ablating Smarca4 in the lung epithelium. We demonstrate that Smarca4 acts as a bona fide tumor suppressor and cooperates with p53 loss and Kras activation. Cross species integrative gene expression analyses revealed signature of enhanced oxidative phosphorylation (OXPHOS) in SMARCA4 mutant murine as well as human lung adenocarcinomas. We further show that SMARCA4 mutant cells have increased oxygen consumption and increased respiratory capacity primarily driven by increased expression of the mitochondrial master regulator, PGC1-α. Importantly, we show that SMARCA4 and other SWI/SNF mutant lung cancer cell lines and xenograft tumors have exquisite sensitivity to inhibition of OXPHOS by a novel small molecule, IACS-010759, that is under clinical development. Mechanistically, we show that SMARCA4 deficient cells have a blunted transcriptional response to energy stress creating a therapeutically attractive collateral vulnerability. These findings provide the mechanistic basis for further development of OXPHOS inhibitors as therapeutics against SWI/SNF mutant tumors.
GSE114601	Therapeutic efficacy of BET bromodomain protein inhhibitor and PD-1 blockade in genetically engineered mouse model of non-small cell lung cancer	Mus musculus		8			"(KP OR ""Kras;p53"") AND lung adenocarcinoma AND mouse AND checkpoint blockade"	KRAS mutation is present in about 30% of human lung adenocarcinomas. While recent advances in targeted therapy have shown great promise, KRAS remains undruggable and concurrent alterations in tumor suppressors render KRAS mutant tumors even more resistant to existing therapies. Contributing to the refractoriness of KRAS mutant tumors harboring these co-mutations are immunosuppressive mechanisms such as increased presence of suppressive Tregs in tumors and elevated expression of the inhibitory receptor PD-1 on tumor-infiltrating T cells. BET bromodomain inhibitors demonstrate clinical benefit in hematologic malignancies, and prior reports demonstrate their Treg-disruptive effects in a NSCLC model. Targeting PD-1 inhibitory signals through anti-PD-1 antibody blockade has also shown substantial therapeutic impact in lung cancer although these outcomes are still limited to a minor pool of patients. We therefore hypothesized that the BET bromodomain inhibitor JQ1 would synergize with PD-1 blockade to promote robust anti-tumor response in lung cancer. In the present study, using Kras+/LSL-G12D; Trp53L/L (KP) mouse models of non-small cell lung cancer, we identified cooperative effects between JQ1 and anti-PD-1 antibody that included reduced numbers of tumor-infiltrating Tregs and enhanced activation of tumor-infiltrating T cells, which exhibited a Th1 cytokine profile that favored their demonstrated improved effector function. Furthermore, lung-tumor-bearing mice under this combinatorial treatment regimen showed robust and long-lasting anti-tumor responses compared to either agent alone, culminating in substantial improvement in the survival of treated mice. Thus, combining BET bromodomain inhibition with immune checkpoint blockade offers a promising therapeutic approach for solid malignancies such as lung adenocarcinoma.
GSE129380	An evolutionarily conserved function of polycomb silences the MHC class I antigen presentation pathway and enables immune evasion in cancer [ChIP-Seq]	Homo sapiens; Mus musculus; Sarcophilus harrisii		24			small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Loss of MHC class I (MHC-I) antigen presentation in cancer cells can lead to immunotherapy resistance. Using a genome-wide CRISPR/Cas9 screen we identify a critical role for polycomb repressive complex 2 (PRC2) in the coordinated transcriptional silencing of the MHC-I antigen processing pathway (MHC-I APP). This evolutionarily conserved function of PRC2 promotes evasion of T-cell mediated immunity, enabling tumor transmission to non-histocompatible recipients in small cell lung cancer (SCLC) and Tasmanian Devil Facial Tumor. MHC-I APP gene promoters in MHC-I low cancers harbour bivalent activating H3K4me3 and repressive H3K27me3 histone modifications, silencing basal MHC-I expression and restricting cytokine induced MHC-I APP gene upregulation. Bivalent chromatin at MHC-I APP genes is a normal developmental process active in embryonic stem cells and maintained during neural progenitor differentiation. This physiological silencing of MHC-I expression highlights a conserved mechanism by which cancers arising from these primitive tissues coopt PRC2 activity to enable immune evasion.
GSE129381	An evolutionarily conserved function of polycomb silences the MHC class I antigen presentation pathway and enables immune evasion in cancer [RNA-Seq]	Homo sapiens; Mus musculus		30			small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Loss of MHC class I (MHC-I) antigen presentation in cancer cells can lead to immunotherapy resistance. Using a genome-wide CRISPR/Cas9 screen we identify a critical role for polycomb repressive complex 2 (PRC2) in the coordinated transcriptional silencing of the MHC-I antigen processing pathway (MHC-I APP). This evolutionarily conserved function of PRC2 promotes evasion of T-cell mediated immunity, enabling tumour transmission to non-histocompatible recipients in small cell lung cancer (SCLC) and Tasmanian Devil Facial Tumour. MHC-I APP gene promoters in MHC-I low cancers harbour bivalent activating H3K4me3 and repressive H3K27me3 histone modifications, silencing basal MHC-I expression and restricting cytokine induced MHC-I APP gene upregulation. Bivalent chromatin at MHC-I APP genes is a normal developmental process active in embryonic stem cells and maintained during neural progenitor differentiation. This physiological silencing of MHC-I expression highlights a conserved mechanism by which cancers arising from these primitive tissues coopt PRC2 activity to enable immune evasion.
GSE137244	Characterization of tumor mutational burden in LKB1 mutant lung tumors	Mus musculus		11			KrasLSL-G12D AND p53 AND lung AND (PD-1 OR PD-L1 OR CTLA-4 OR immunotherapy)	Inactivating mutations in LKB1/STK11 are present in ~20% of non-small cell lung cancers (NSCLC) and portend poor response to anti-PD-1 immunotherapy in patients and genetically engineered mouse model (GEMMs). Here, we sought to uncover the basis for immunotherapy resistance of these tumors and to define strategies that overcome this barrier. Whereas high tumor mutational burden (TMB) often correlates with response to anti-PD1 treatment, we found that LKB1-deficient NSCLCs from non-smokers and GEMMs exhibited striking elevations in nonsynonymous mutations compared to LKB1 wildtype tumors. Correspondingly, LKB1 mutant NSCLC cell lines showed defects in both replication dependent and independent double-strand DNA break (DSB) repair, which were reversed upon LKB1 re-expression.
GSE137396	Characterization of transcriptional analysis of LKB1 mutant lung nodules	Mus musculus		10			KrasLSL-G12D AND p53 AND lung AND (PD-1 OR PD-L1 OR CTLA-4 OR immunotherapy)	Inactivating mutations in LKB1/STK11 are present in ~20% of non-small cell lung cancers (NSCLC) and portend poor response to anti-PD-1 immunotherapy in patients and genetically engineered mouse model (GEMMs). Here, we sought to uncover the basis for immunotherapy resistance of these tumors and to define strategies that overcome this barrier. Whereas high tumor mutational burden (TMB) often correlates with response to anti-PD1 treatment, we found that LKB1-deficient NSCLCs from non-smokers and GEMMs exhibited striking elevations in nonsynonymous mutations compared to LKB1 wildtype tumors. Correspondingly, LKB1 mutant NSCLC cell lines showed defects in both replication dependent and independent double-strand DNA break (DSB) repair, which were reversed upon LKB1 re-expression.
