accession	n_samples	ici_any	ici_in_sample_metadata	models	llc_only	in_vivo	strategies	gds_summary_type	suppfile	pubmed	series_title	design
GSE100115	7	False	False		False	False	miRNA-Seq			30413725	Time-course global miRNA expression profiling on lung fibroblasts isolated from untreated, bleomycin-treated and silica-treated mice	Global miRNA expression profile of lung fibroblasts isolated from untreated, bleomycin-treated and silica-treated mice on days 7, 14 and 28 post-treatment was generated using Ion Total RNA-seq Kit v2 and Ion PGM sequencer.
GSE100116	6	False	False		False	True	RNA-Seq			30413725	Transcriptomic analysis of miR-19a-19b-20a subcluster-overexpressed fibroblasts in bleomycin-induced lung fibrosis	miR-19a, 19b and 20a subcluster-overexpressed fibroblasts and mock-expressed fibroblasts were intratracheally-transferred to B6 mice at day 7 post-administration of 2 mg/kg of bleomycin. Donor cells were recoverred at day 3 post-transfer by cell sotring. Global transcriptome of transferred fibroblasts was generated by 3'SAGE-seq using Ion Proton sequencer.
GSE100147	13	False	False		False	False	RNA-Seq,miRNA-Seq			30413725	Global miRNA expression profiling of lung fibroblasts identifies miR-19a-19b-20a subcluster as a suppressor of TGF-beta-associated fibroblast activation in murine pulmonary fibrosis	Refer to individual Series
GSE100412	24	False	False	CMT167,LLC	False	True	RNA-Seq			31133614,36686777	Transcriptional signatures associated with in vivo growth of lung cancer cells	The following conditions were analyzed: (1)LLC In Vitro. RNA was extracted from LLC cells cultured in vitro. This condition has 5 independently cultured and harvested replicates.(2) LLC In Vivo. RNA was extracted from LLC cells that were injected into mice, formed a tumor, and cancer cells were isolated by flow cytometry. This condition has 5 independently injected and harvested replicates. Each r
GSE100738	185	False	False		False	False	ATAC-seq			30686579,31541153	ImmGen ATAC-seq data	Immune cell populations encompassing all major lineages were isolated by flow cytometry to high-purity according to ImmGen SOP (https://www.immgen.org/). 10,000 cells (except some rare cell populations) were used to construct each ATAC-seq library, using the Fast-ATAC protocol. Libraries were dual-indexed and pooled for high-throughput sequencing. Highly purified cell samples were isolated in para
GSE101334	384	False	False		False	False	RNA-Seq			28886383	Single cell RNA-seq of smooth muscle actin cell in the lung.	Mouse lungs were disassociated, sorted by FACS and expression level were quantified using the SmarySeq2.
GSE102168	6	False	False	344SQ_line	False	False				29324442	Gene expression profiling of AC9 overexpression in 393P mice cells	Gene expression microarray analyses were performed on AC9 overexpression and empty VECTOR in mice 9393P cells.
GSE102591	1	False	False		False	False	RNA-Seq			29999500	Hedgehog gradient in the stroma maintains niche diversity and organ function [Drop-seq]	The CreERT2-2A-tdTomato expression cassette was inserted into the Gli2 locus to generate a murine tool that allows us to isolate GLI2+ cells by endogenous tdTomato reporter expression. Whole adult murine lung tissue was dissociated to single cells, stained with anti-CD45-PE-Cy7, anti-Epcam-BV421 and DAP, and subjected to FACS to select live GLI2+ cells. Doublets and dead cells were excluded based 
GSE102592	11	False	False		False	False	RNA-Seq			29999500	Hedgehog gradient in the stroma maintains niche diversity and organ function	Refer to individual Series
GSE105781	6	False	False		False	False	RNA-Seq			30194919	RNA-seq expression profiling of Grhl2-deficient and control murine lung epithelium at embryonic day E16.5	RNA-seq was performed on Grhl2-deficient and control epithelium isolated from the lungs of E16.5 embryos (n=3 replicates/genotype/cell population).
GSE108417	12	False	False		False	True				30267575	Airway epithelial barrier, mucins and inflammasome in distinct eosinophilic, neutrophilic and mixed inflammatory phenotypes of asthma	Different asthma phenotypes - eosinophilic, mixed, and neutrophilic, were induced in Balb/c mice via different ways of house dust mite (HDM) sensitisation and compared to the non-sensitized control group. For eosinophilic asthma mice were sensitized by three intraperitoneal (i.p.) injections of HDM extract containing 0.75 DU Der f and 0.75 DU Der p (ALK-Abelló A/S) adsorbed to 1.5 mg Al(OH)3 (Pier
GSE109810	12	False	False		False	False	RNA-Seq				RNA-seq analyses of mouse embryonic fibloblasts (MEFs) reprogrammed into induced pulmonary epithelial cell-like cells	RNA-seq: 12 samples
GSE109847	7	False	False		False	False	RNA-Seq			30639966,30842492	Transcriptome analysis of lung epithelial cells from various developmental stages (E13.5, E15.5, E18.5, P14, and P56)	Lung epithelial cells from various developmental stages (E13.5, E15.5, E18.5, P14, and P56) were purified by cell sorting. The time series transcriptome of the epithelial cells was generated by 3'SAGE-seq using Ion Proton sequencer.
GSE109913	12	False	False		False	False	RNA-Seq				Gene expression profiling on alveolar epithelial cells from mice intratracheally instilled with or without bleomycin or LPS.	Total RNAs were isolated from AECs of mice intratracheally instilled with saline, bleomycin for 2 or 4 weeks or LPS for 1 day. The RNAs were subjected to high-throughput sequencing (RNA-seq), using Illumina HiSeq 4000. Gene expression profiles were compared between the saline and treatment groups.
GSE110533	6	False	False		False	True	RNA-Seq			30626759,34014607,34759926,35780190	Transcriptomic analysis of active form of Srebf1-overexpressed fibroblasts in bleomycin-induced lung fibrosis	Active form of Srebf1-overexpressed fibroblasts and mock-expressed fibroblasts were intratracheally-transferred to B6 mice at day 5 post-administration of 2 mg/kg of bleomycin. Expression of active form of Srebf1 was induced by doxycycline administration at day 7 post-administration of 2 mg/kg of bleomycin. Donor cells were recovered at day 10 post--administration of 2 mg/kg of bleomycin by cell s
GSE110540	21	False	False		False	False	RNA-Seq			30626759,34014607,34759926,35780190	Time-series transcriptomic analysis of lung fibroblasts in bleomycin- and silica-induced pulmonary fibrosis	To clarify transcriptomic landscape of lung fibroblasts throughout PF initiation, progression, and resolution, we induced reversible or progressive PF in Col1a2-GFP transgenic mice by bleomycin or silica aspiration, respectively. We purified lineage (CD45, CD31, EpCAM, CD146, and Ter119)– Col-GFP+ lung fibroblasts by flow-cytometry at 0, 7, 14, and 63 days post-induction in both models and perform
GSE110711	27	False	False		False	False	RNA-Seq			30626759,34014607,34759926,35780190	Transcriptome network analysis reveals the LXR-Srebf1 axis as protective hub of fibroblast activation in murine pulmonary fibrosis	Refer to individual Series
GSE110959	12	False	False	LLC	True	True	RNA-Seq				Transcriptomic analysis of tumor-infiltrating dendritic cells in mouse subcutaneous tumor models	In the LLC and B16F10 subcutaneous tumor models, tumor-infiltrating lineage-negative (CD3, CD19, NK1.1, Ly-6G, Ter-119)- Ly-6C- MHC class II+ CCR7+ tDCs, lineage- CCR7- MHC class II+ cells and CD326- migratory DCs in the dLN were purified by cell sorting at day 10 or day 14 post-tumor inoculation. Then, we performed transcriptome analysis on these cells by 3’ SAGE-seq.
GSE112856	122	False	False		False	False	ATAC-seq,RNA-Seq			31601552	Next generation sequencing profiling experimental circulating tumor cells-derived metastatic variants	Refer to individual Series
GSE113146	9	False	False	EGFR	False	False	RNA-Seq			29925635,31407334	Inhibition of EGFR signaling downregulates K-RAS mutated activity	We isolated mouse alveolar type II cells and induced the Kras G12D mutation, with and without concomitant Egfr knockout, in vitro. Cells lysates were analyzed 5 days following transgene induction.
GSE113160	21	False	False		False	False	RNA-Seq			30639966	Transcriptome analysis of lung epithelial cells and lung fibroblasts from various developmental stages (E18.5, P0.5, P2, P7, P28, and P56)	Lung epithelial cells and lung fibroblasts from various developmental stages (E18.5, P0.5, P2, P7, P28, and P56) were purified by cell sorting. The time series transcriptome of the epithelial cells and fibroblasts was generated by 3'SAGE-seq using Ion Proton sequencer.
GSE114601	8	True	True	KP_kras_p53,SCLC_GEMM	False	True	RNA-Seq			30087114	Therapeutic efficacy of BET bromodomain protein inhhibitor and PD-1 blockade in genetically engineered mouse model of non-small cell lung cancer	Gene expression analyses of tumor nodules in lung tumor-bearing mice treated with Vehicle (control), JQ1 (Bromodomain inhibitor) and/or anti-PD-1 antibody
GSE114921	18	False	False	EGFR	False	False	RNA-Seq			29958800	Amphiregulin-producing pathogenic memory T helper-2 cells instruct eosinophils to secrete Osteopontin and facilitate airway fibrosis	Amphiregulin producing cells, eosinophils and lung treated with HDM are assessed by RNA-seq.
GSE115834	1	False	False		False	False	RNA-Seq				Single Cell Analysis of Mouse Lung Epcam+CD31/34/45- Epithelial Cells	Stratification of lung epithelial subtypes in normal mouse.
GSE116525	18	False	False		False	False	RNA-Seq			30291131	Transcriptional signature of murine tracheal brush cells identified by RNA-Seq	Examination of gene expression of tracheal brush cells (ChAT-eGFP), EpCAM+ (EpCAM) tracheal epithelial cell and CD45+ hematopoetic cells in naïve mice.
GSE116977	47	False	False	SCLC_GEMM	False	True	RNA-Seq			31833833	Inter-tumoral heterogeneity in SCLC is influenced by the cell-type of origin	We performed RNA-seq on primary tumors and metastasis from SCLC mouse model (Rb/p53/p130/mTmG) transduced by Ad-CMV-Cre or Ad-CGRP-Cre
GSE117547	14	False	False	SCLC_GEMM	False	True	RNA-Seq			30181244	Crebbp loss drives small cell lung cancer and increases sensitivity to HDAC inhibition [SCLC]	Identification of differentially expressed genes regulated by Crebbp using primary SCLC tumors derived from genetically engineered mouse model.
GSE117549	17	False	False	SCLC_GEMM	False	True	RNA-Seq			30181244	Crebbp loss drives small cell lung cancer and increases sensitivity to HDAC inhibition [pituitary tumor]	Identification of differentially expressed genes regulated by Crebbp using primary pituitary tumors derived from genetically engineered mouse model.
GSE117551	12	False	False	SCLC_GEMM	False	False	RNA-Seq			30181244	Crebbp loss drives small cell lung cancer and increases sensitivity to HDAC inhibition [thyroid]	Identification of differentially expressed genes regulated by Crebbp using primary thyroid tumors derived from genetically engineered mouse model.
GSE117552	49	False	False	SCLC_GEMM	False	True	RNA-Seq			30181244	Crebbp loss drives small cell lung cancer and increases sensitivity to HDAC inhibition	Refer to individual Series
GSE118246	34	False	False	KP_kras_p53	False	True	RNA-Seq			30332632	RNA sequencing of genetically engineered mouse model lung tumors and normal mouse lung.	Tumors were isolated from formalin-fixed paraffin-embedded (FFPE) tissue samples by microdissection and nucleic acid isolation was performed followed by single-read or paired-end RNA sequencing.
GSE119649	6	False	False	EGFR	False	False				37929799	Gene expression profiling from high-fat diet (HFD)-treated and regular diet (RD)-treated lung cancer	To evaluate the gene expression profiles after high-fat-treated lung environment, total RNAs from the following 2 groups were extracted for whole trancriptomic analysis : (1)HFD+Dox (2) RD+Dox
GSE120261	168	False	False	SCLC_GEMM	False	False	RNA-Seq			30894605	In situ 10-cell RNA sequencing in tissue and tumor biopsy samples	10-cell samples from various tissue sources captured by laser capture microdissection. mRNA was extracted and PCR amplified for RNA-sequencing
GSE121079	9	False	False		False	False				31083674	Transcriptional landscape of pulmonary lymphatic endothelium during late gestation	After microdissection in ice-cold PBS, we combined 10-21 embryonic lungs from two litters for each sample at E16.5, E17.5, and E18.5 fetal time points (n=3 samples/time point). After tissue digestion and immunostaining, we sorted CD45-/Epcam-/CD31+/Vegfr3+/Lyve1+/Pdpn+ cells from the fetal murine lungs directly into QIAzol on a FACS Aria SORP. RNA extraction was performed using the miRNeasy kit (Q
GSE121132	6	False	False		False	False	RNA-Seq			31738079	Analysis of Grp78 deficiency in lung epithelial type 2 cells.	Grp78 KO AT2 cells vs. wild-type AT2 cells
GSE121574	17	False	False	SCLC_GEMM	False	True				31611390	Wide versus cell type restricted deletion of four tumor suppressor genes determines the type of high grade neuroendocrine lung cancer	Gene expression was studied in control mouse lung (Rbl1-/-) and in lung tumours from Rb1F/F;Trp53F/F;PtenF/F;Rbl1−/− mice treated by intratracheal administration of Ad5-CMVcre or Ad5-K5cre to ablate Rb1, Trp53 and Pten in pulmonary cells.
GSE122836	12	False	False	KP_kras_p53	False	False	RNA-Seq			31257023	Nrf2 activation promotes lung cancer metastasis by blocking degradation of Bach1	All 12 samples generated by deep sequencing in triplicate
GSE124603	6	False	False	KP_kras_p53	False	True	RNA-Seq			32157212	Contextual epigenetic regulation of lung adenocarcinoma by GATA6 [RNA-Seq]	RNAseq, ChIPseq (Gata6, H3K4me3, H3K27ac) and ATACseq of SPC-Cre KP and KPG murine cell lines
GSE124604	24	False	False	KP_kras_p53	False	False	ATAC-seq,ChIP-Seq,RNA-Seq			32157212	Contextual epigenetic regulation of lung adenocarcinoma by GATA6	Refer to individual Series
GSE126323	12	False	False		False	False	RNA-Seq				Microtubule Motor KIF3A Regulates Pulmonary Innate Defenses to Aspergillus and Influenza A Virus	Kif3a deficient mice were chronicle or acutely exposed to aspergillus extract and then loss of Kif3a was assessed by Epcam sorted RNA Seq
GSE126374	8	False	False		False	False	RNA-Seq				Single cell sequencing of Tri-PyMT cells	Single cells of RFP+ and GFP+ populations (4 samples each) were sequenced seperately by Drop-seq in two lanes
GSE126817	18	False	False		False	False	RNA-Seq				The long non-coding RNA Falcor regulates Foxa2 expression to maintain lung epithelial homeostasis and promote regeneration (RNA-Seq)	Wild-type animals 10-12 weeks of age, or with the genotypes Falcor-/-, Foxa2+/-, or Double-Het (Falcor+/-;Foxa2+/-) animals
GSE127205	8	False	False	KP_kras_p53	False	True	RNA-Seq			31744829	RNA-seq to compare gene expression profiles between Asf1a WT and Asf1a KO cells	Examination of differential gene expression profiles between Asf1a WT and Asf1a KO cells.
GSE127465	40	True	False	KP_kras_p53,SCLC_GEMM	False	True	RNA-Seq			30979687	Single cell transcriptomics of human and mouse lung cancers reveals conserved myeloid populations across individuals and species	Single cell RNA sequencing (scRNAseq) of RBC-depleted cells from non-small cell lung tumor and from blood of 7 patients. ScRNAseq of CD45-positive cells from lungs of 2 healthy mice and 2 lung tumor-bearing mice. Human raw data are not available for this Series due to patient privacy concerns.
GSE128519	6	False	False		False	False	RNA-Seq			32559462	Existence of human-virus chimeric proteins generated during infection	(1) Examination of 2 PB1-UFO mutants (2) Examination of PB1-UFO signature and the host transcriptome in the lung tissue of mice
GSE128897	12	False	False		False	False				31748706	Microarray gene expression data from sorted lung epithelial cells during heterotypic immunity	To achieve a more comprehensive view of epithelial remodeling, and to identify the extent to which this event is CD4+ T cell-dependent, we performed transcriptomic analyses on sorted CD45-EpCAM+ cells from lungs of heterotypic immune or naïve mice treated with GK1.5 (Het GK1.5) or control IgG (Saline IgG or Het IgG). All mice had 7 hours of Sp3 pneumonia in these analyses. We aimed to determine wh
GSE129297	4	True	True	SCLC_GEMM	False	True	RNA-Seq			31883968	Single-cell transcriptomic profiling of mouse lung tumor in response to CDK7 inhibitor, anti-PD-1 and combination treatment (Experiment 1)	Single-cell RNA-sequencing libraries of mouse tissues using 10x Genomics technology.
GSE129298	4	True	True	SCLC_GEMM	False	True	RNA-Seq			31883968	Single-cell transcriptomic profiling of mouse lung tumor in response to CDK7 inhibitor, anti-PD-1 and combination treatment (Experiment 2)	Single-cell RNA-sequencing libraries of mouse tissues using 10x Genomics technology.
GSE129299	12	True	True	SCLC_GEMM	False	True	RNA-Seq			31883968	Single-cell transcriptomic profiling of mouse lung tumor in response to CDK7 inhibitor, anti-PD-1 and combination treatment	Refer to individual Series
GSE129353	4	False	False	KP_kras_p53,SCLC_GEMM	False	True	RNA-Seq				Cooperative adaptation to therapy (CAT) confers resistance in heterogeneous non-small cell lung cancer	Wild-type and Dicer1-mutated cell lines were analyzed for transcriptomic variation by RNA sequencing using Illumina NextSeq500.
