contrast	gse	arm	species	label	n_test	n_ref	perturb_gene	perturb_log2FC	perturb_p	knockdown_visible	detail	caveats
GSE207704_T47D	GSE207704	CLDN4	human	T47D CLDN4-/- vs WT (breast)	2	2	CLDN4	-1.053		YES		GEO deposit is group-collapsed cuffdiff FPKM (one value per genotype); the 2 biological replicates per arm are not separable, so no replicate-level test is possible.
GSE207704_MCF7	GSE207704	CLDN4	human	MCF7 CLDN4-/- vs WT (breast)	2	2	CLDN4	-0.755		YES		GEO deposit is group-collapsed cuffdiff FPKM (one value per genotype); the 2 biological replicates per arm are not separable, so no replicate-level test is possible.
GSE22493_SKOV3	GSE22493	CLDN4	human	SKOV-3 CLDN4-KD vs CLDN4-OE control (ovarian, deposited VALUE)	3	3	CLDN4	-1.225	0.252001	YES	per-array log2 ratio=[nan, -1.74, -0.71]	Two-colour Operon v3 array, 2006. VALUE is author-processed log2(KD/control). Control is CLDN4-OVEREXPRESSING cells, not parental/scramble. CLDN4 probe is missing on GSM558700; GSM558701 deposited vs raw ScanArray disagree in sign. Ovarian, not lung.
GSE50927_Cldn4lungWTvsKO	GSE50927	CLDN4	mouse	Cldn4-KO vs WT lung, no VILI	1	1	Cldn4	-6.061	0.0	YES		Whole mouse lung, n=1 per group in GEO (5 GSMs total); author edgeR p-values come from a fixed-dispersion no-replicate fit and are not trustworthy. Bulk tissue, so any IFN change also reflects immune-cell content.
GSE50927_VILIwtkohi	GSE50927	CLDN4	mouse	Cldn4-KO(high-injury) vs WT, after VILI	1	1	Cldn4	-10.162	0.0	YES		Whole mouse lung, n=1 per group in GEO (5 GSMs total); author edgeR p-values come from a fixed-dispersion no-replicate fit and are not trustworthy. Bulk tissue, so any IFN change also reflects immune-cell content.
GSE50927_VILIwtkolo	GSE50927	CLDN4	mouse	Cldn4-KO(low-injury) vs WT, after VILI	1	1	Cldn4	-12.693	0.0	YES		Whole mouse lung, n=1 per group in GEO (5 GSMs total); author edgeR p-values come from a fixed-dispersion no-replicate fit and are not trustworthy. Bulk tissue, so any IFN change also reflects immune-cell content.
GSE274940_EpH4	GSE274940	CLDN4	mouse	EpH4 Cldn-null vs WT (mouse mammary epithelium)	3	3	Cldn4	0.321	0.361167	NO	ref=[8.97, 9.11, 9.47] test=[9.58, 9.02, 9.91]	NOT a CLDN4-specific perturbation: this line is null for the entire claudin family (all 27 members), so it cannot isolate CLDN4. Non-transformed mouse mammary epithelium.
GSE334497_4T1	GSE334497	TACSTD2	mouse	4T1 Trop2-KO vs WT tumours in vivo (BALB/c, immunocompetent)	5	5	Tacstd2	-3.821	0.001079	YES	ref=[6.96, 6.06, 8.5, 7.24, 6.59] test=[3.76, 0.95, 4.04, 4.2, 3.28]	Bulk tumour from immunocompetent mice: an IFN increase can come from infiltrating immune cells rather than from the tumour cell itself. This is the source dataset of the TROP2/claudin immune-exclusion paper, so it is not an independent test of that paper's claim.
GSE289287_T47Dxeno	GSE289287	TACSTD2	human	T-47D Trop-2-KO vs WT xenografts (NRG mice)	4	3	TACSTD2	-3.263	0.0	YES	ref=[10.83, 10.64, 10.78] test=[7.1, 6.95, 7.77, 7.32]	Xenografts in NRG mice (no T/B/NK cells), so this reads the tumour-cell-intrinsic IFN program only. GEO holds no Trop-2 KO in-vitro arm (the in-vitro samples are WT and DSG2-KO).
GSE245459_SKOV3	GSE245459	TACSTD2	human	SKOV3 shTACSTD2 vs shNC (ovarian, untreated)	3	3	TACSTD2	-2.628	5.3e-05	YES	ref=[2.63, 2.79, 2.61] test=[0.02, 0.1, 0.02]	Author-supplied FPKM only (no raw counts); n=3 v 3.
GSE245459_SKOV3_DDP	GSE245459	TACSTD2	human	SKOV3 shTACSTD2 vs shNC, both + cisplatin	3	3	TACSTD2	-4.033	4.4e-05	YES	ref=[4.66, 4.27, 4.17] test=[0.63, 0.16, 0.21]	Author-supplied FPKM only (no raw counts); n=3 v 3.
