contrast	gse	arm	species	label	n_test	n_ref	perturb_gene	perturb_log2FC	knockdown_confirmed	core6_n_measured	core6_n_up	core6_n_down	hallmark_ifna_n	hallmark_ifna_delta_med	hallmark_ifna_auc	hallmark_ifna_p_up	hallmark_ifna_perm_p_up	ifn_direction	honest_call	caveats
GSE207704_T47D	GSE207704	CLDN4	human	T47D CLDN4-/- vs WT (breast)	2	2	CLDN4	-1.053	YES	2	0	1	60	-0.23103	0.35416	0.99995		down / null	IFN/APM does NOT go up (collapsed FPKM; no replicate test)	GEO deposit is group-collapsed cuffdiff FPKM (one value per genotype); the 2 biological replicates per arm are not separable, so no replicate-level test is possible.
GSE207704_MCF7	GSE207704	CLDN4	human	MCF7 CLDN4-/- vs WT (breast)	2	2	CLDN4	-0.755	YES	2	0	1	55	0.02089	0.5181	0.3214		down / null	IFN/APM does NOT go up (collapsed FPKM; no replicate test)	GEO deposit is group-collapsed cuffdiff FPKM (one value per genotype); the 2 biological replicates per arm are not separable, so no replicate-level test is possible.
GSE22493_SKOV3	GSE22493	CLDN4	human	SKOV-3 CLDN4-KD vs CLDN4-OE control (ovarian, deposited VALUE)	3	3	CLDN4	-1.225	YES	6	3	3	70	0.01079	0.49023	0.61127		not up	does NOT open IFN/APM (array QC poor; control is CLDN4-OE)	Two-colour Operon v3 array, 2006. VALUE is author-processed log2(KD/control). Control is CLDN4-OVEREXPRESSING cells, not parental/scramble. CLDN4 probe is missing on GSM558700; GSM558701 deposited vs raw ScanArray disagree in sign. Ovarian, not lung.
GSE50927_Cldn4lungWTvsKO	GSE50927	CLDN4	mouse	Cldn4-KO vs WT lung, no VILI	1	1	Cldn4	-6.061	YES	8	6	1	89	0.19387	0.67725	0.0		up (bulk lung, n=1)	IFN/APM UP, but n=1 whole lung (not a cancer-cell test)	Whole mouse lung, n=1 per group in GEO (5 GSMs total); author edgeR p-values come from a fixed-dispersion no-replicate fit and are not trustworthy. Bulk tissue, so any IFN change also reflects immune-cell content.
GSE50927_VILIwtkohi	GSE50927	CLDN4	mouse	Cldn4-KO(high-injury) vs WT, after VILI	1	1	Cldn4	-10.162	YES	8	3	1	89	0.13568	0.58302	0.00325		up (bulk lung, n=1)	IFN/APM UP, but n=1 whole lung (not a cancer-cell test)	Whole mouse lung, n=1 per group in GEO (5 GSMs total); author edgeR p-values come from a fixed-dispersion no-replicate fit and are not trustworthy. Bulk tissue, so any IFN change also reflects immune-cell content.
GSE50927_VILIwtkolo	GSE50927	CLDN4	mouse	Cldn4-KO(low-injury) vs WT, after VILI	1	1	Cldn4	-12.693	YES	8	1	2	89	-0.05767	0.47174	0.82285		null / mixed	no clear IFN up (n=1 whole lung)	Whole mouse lung, n=1 per group in GEO (5 GSMs total); author edgeR p-values come from a fixed-dispersion no-replicate fit and are not trustworthy. Bulk tissue, so any IFN change also reflects immune-cell content.
GSE274940_EpH4	GSE274940	CLDN4	mouse	EpH4 Cldn-null vs WT (mouse mammary epithelium)	3	3	Cldn4	0.321	NO / not confirmed	7	1	0	86	-0.02044	0.44033	0.97211	0.75	null	NOT A CLDN4 TEST (Cldn4 RNA not down; pan-claudin line)	NOT a CLDN4-specific perturbation: this line is null for the entire claudin family (all 27 members), so it cannot isolate CLDN4. Non-transformed mouse mammary epithelium.
GSE334497_4T1	GSE334497	TACSTD2	mouse	4T1 Trop2-KO vs WT tumours in vivo (BALB/c, immunocompetent)	5	5	Tacstd2	-3.821	YES	8	0	0	93	0.10285	0.607	0.00018	0.20635	weak / NS	CORE6 flat; hallmark IFN weakly up but permutation NS (bulk tumor)	Bulk tumour from immunocompetent mice: an IFN increase can come from infiltrating immune cells rather than from the tumour cell itself. This is the source dataset of the TROP2/claudin immune-exclusion paper, so it is not an independent test of that paper's claim.
GSE289287_T47Dxeno	GSE289287	TACSTD2	human	T-47D Trop-2-KO vs WT xenografts (NRG mice)	4	3	TACSTD2	-3.263	YES	6	6	0	95	0.24397	0.68643	0.0	0.2	up	IFN/ISG UP (cell-intrinsic xenograft in NRG mice)	Xenografts in NRG mice (no T/B/NK cells), so this reads the tumour-cell-intrinsic IFN program only. GEO holds no Trop-2 KO in-vitro arm (the in-vitro samples are WT and DSG2-KO).
GSE245459_SKOV3	GSE245459	TACSTD2	human	SKOV3 shTACSTD2 vs shNC (ovarian, untreated)	3	3	TACSTD2	-2.628	YES	6	0	5	92	-0.41027	0.24918	1.0	1.0	down	IFN/APM goes DOWN (opposite of the claim)	Author-supplied FPKM only (no raw counts); n=3 v 3.
GSE245459_SKOV3_DDP	GSE245459	TACSTD2	human	SKOV3 shTACSTD2 vs shNC, both + cisplatin	3	3	TACSTD2	-4.033	YES	6	3	1	89	0.29592	0.67091	0.0	0.05	mixed	ISGs up, HLA-A still down; cisplatin-confounded, not a clean test	Author-supplied FPKM only (no raw counts); n=3 v 3.
