gene	category
TACSTD2	target
CLDN4	target
EPCAM	epithelial
KRT8	epithelial
KRT18	epithelial
KRT19	epithelial
KRT5	epithelial
KRT7	epithelial
KRT17	epithelial
ELF3	epithelial
CDH1	epithelial
MUC1	epithelial
CEACAM5	epithelial
CEACAM6	epithelial
SFTPA1	normal_lung
SFTPA2	normal_lung
SFTPB	normal_lung
SFTPC	normal_lung
SFTPD	normal_lung
AGER	normal_lung
NAPSA	normal_lung
SCGB1A1	normal_lung
SCGB3A2	normal_lung
TPPP3	normal_lung
FOXJ1	normal_lung
CAPS	normal_lung
PTPRC	immune
CD3D	tcell
CD3E	tcell
CD3G	tcell
TRAC	tcell
CD2	tcell
IL7R	tcell
CD7	tcell
CD8A	cd8
CD8B	cd8
CD4	cd4
FOXP3	cd4
NKG7	nk
GNLY	nk
KLRD1	nk
KLRF1	nk
NCR1	nk
CD79A	bcell
CD79B	bcell
MS4A1	bcell
CD19	bcell
JCHAIN	bcell
MZB1	bcell
IGHM	bcell
CXCL13	tls
CCL19	tls
CCL21	tls
CXCL9	tls
CXCL10	tls
LYZ	myeloid
CD68	myeloid
CD14	myeloid
C1QA	myeloid
C1QB	myeloid
FCN1	myeloid
ITGAX	myeloid
TPSAB1	mast
TPSB2	mast
CPA3	mast
MS4A2	mast
PECAM1	endothelial
VWF	endothelial
CLDN5	endothelial
CDH5	endothelial
RAMP2	endothelial
COL1A1	fibroblast
COL1A2	fibroblast
COL3A1	fibroblast
DCN	fibroblast
LUM	fibroblast
TAGLN	fibroblast
MKI67	proliferation
TOP2A	proliferation
DST	malign_hint
SERPINB9	malign_hint
PCNA	malign_hint
PDCD1	exhaustion
HAVCR2	exhaustion
GZMB	effector
IFNG	effector
PRF1	effector
CD274	checkpoint_ligand
