contrast	n	rho	p	q	note
CLDN4 vs Slingshot PT	55	0.0891774891774892	0.5173347657601414	0.6322980470401728	
barrier/keratin (no CLDN4) vs Slingshot PT	55	0.5196248196248197	4.7939440375758134e-05	0.00017577794804444648	
IFN vs Slingshot PT	55	0.3144300144300145	0.019389605353894394	0.04265713177856766	
CLDN4 vs barrier/keratin (no CLDN4)	56	0.4713602187286398	0.0002455730918931233	0.000675326002706089	
CLDN4 vs IFN	56	-0.06937799043062201	0.6113968684856438	0.6725365553342082	
CLDN4 vs AT2 score	56	0.1330827067669173	0.32817516957225085	0.6016544775491265	
CLDN4 vs malignant-like score	56	0.10793629118115529	0.4284651390108006	0.6322980470401728	
CLDN4 vs TACSTD2 (comparator)	56	0.6191387559808613	3.6442225462613623e-07	2.004322400443749e-06	
SFTPC vs Slingshot PT (control)	0				n<4
AT2 score vs Slingshot PT (control)	55	-0.6326839826839828	2.1922458988294865e-07	2.004322400443749e-06	
CLDN4 vs DPT (companion)	56	0.08913192071086808	0.5135883342186082	0.6322980470401728	
