accession	title	species	assay	tissue	model_or_GEMM	pd1_or_icb	ici_sensitive_genotype	n_mice_or_samples	cldn4_in_features	processed_matrix	usable_mouse_level	scored_here	notes
GSE131928	single cell RNA-seq analysis of adult and paediatric IDH-wildtype Glioblastomas	Homo sapiens	scRNA-seq	human GBM	not lung / not mouse	no	no	2	n/a	human	no	no	Example check: human glioma. Not mouse lung.
GSE139914	The genomic underpinnings of oscillatory biomarkers supporting successful memory encoding in humans	Homo sapiens	RNA-seq / occupancy	human brain	not lung / not mouse	no	no	56	n/a	human	no	no	Example check: human memory encoding. Not mouse lung.
GSE146256	Translational adaptation to heat stress is mediated by 5-methylcytosine RNA modification in C. elegans	Caenorhabditis elegans	RNA-seq	worm	not mouse	no	no	24	n/a	worm	no	no	Example check: C. elegans. Not mouse lung.
GSE161084	Epidermal transcriptomes of IMQ-induced psoriasis	Mus musculus	RNA-seq	skin	psoriasis epidermis	no	no	9	not inspected	yes	no	no	Example check: mouse skin, not lung tumor.
GSE179994	Temporal single-cell tracing of precursor exhausted T cells during anti-PD-1 therapy	Homo sapiens	scRNA-seq	human ICI T cells	human NSCLC/cancer TIL	yes (human)	human	47	human CLDN4	yes (human T-cell)	no mouse	no	Example check: human anti-PD-1 T cells. No mouse subset.
GSE203353	Methylation and expression of placenta and cord blood with gestational diabetes	Homo sapiens	RRBS + RNA-seq	placenta / cord	not cancer	no	no	166	n/a	human	no	no	Example check: human GDM. Not mouse lung.
GSE207422	TME remodeling after neoadjuvant immunotherapy in NSCLC	Homo sapiens	scRNA-seq	human NSCLC	human neoadjuvant ICI	yes (human)	human	39	human CLDN4	yes (human)	no mouse	no	Example check: no mouse samples on GEO.
GSE155972	Epigenetic silencing by SETDB1 suppresses tumor-cell intrinsic immunogenicity	Homo sapiens; Mus musculus	bulk RNA-seq + other	LLC subcutaneous (mouse arm)	LLC + Setdb1 WT/KO	anti-PD1+anti-CTLA4	no (LLC / Setdb1-confounded)	33 TISMO mice	yes	TISMO log2(TPM+1)	yes but leftover	no	Known leftover. LLC Cldn4 at floor. Do not redo as the only analysis. Response = Setdb1 genotype.
GSE133604	scRNA of mouse KrasG12D;p53-/- (KP) lung tumors ± Asf1a KO ± anti-PD-1	Mus musculus	scRNA-seq (10x)	KP lung tumor tissue	KP GEMM	anti-PD-1	yes (KP)	4 libraries (1/arm)	yes (Cldn4 in genes.tsv)	yes: 4 MTX + shared genes.tsv	library only (n=1)	yes	Best public KP PD-1 scRNA. Cldn4 sparse in epithelium. Direction only.
GSE114601	BET inhibitor and PD-1 blockade in GEMM NSCLC	Mus musculus	bulk RNA-seq	lung tumor nodules	KP GEMM (KrasTrp53)	anti-PD-1 ± JQ1	yes (KP)	8 mice (2/arm)	yes	yes: normalized + raw count CSV	yes	yes	PRIMARY scored sensitive-model PD-1 table. Cldn4 not at floor.
