source	target	mor	confidence
ADNP	ATF7IP	1.0	C
ADNP	DYRK1A	1.0	C
ADNP	TLK1	1.0	C
ADNP	ZMYM4	1.0	C
AHR	CYP1A1	1.0	A
AHR	CYP1A2	1.0	A
AHR	CYP1B1	1.0	A
AHR	FOS	-1.0	A
AHR	MYC	1.0	A
AHR	UGT1A6	1.0	A
AHR	ASAP1	1.0	B
AHR	ERG	1.0	B
AHR	VGLL4	1.0	B
AHR	ARHGAP15	1.0	C
AHR	ARID5B	1.0	C
AHR	CREB5	1.0	C
AHR	CTNNA1	1.0	C
AHR	CTNNA2	1.0	C
AHR	DOCK4	1.0	C
AHR	EPB41L2	1.0	C
AHR	FRMD4A	1.0	C
AHR	GAS7	1.0	C
AHR	KAZN	1.0	C
AHR	KDM4C	1.0	C
AHR	LHFPL2	1.0	C
AHR	MAP4K4	1.0	C
AHR	MAST4	1.0	C
AHR	MID1	-1.0	C
AHR	MYO1B	1.0	C
AHR	NCOR2	1.0	C
AHR	NFATC2	1.0	C
AHR	NRP2	1.0	C
AHR	PHACTR3	1.0	C
AHR	PLCB1	1.0	C
AHR	RAPGEF4	1.0	C
AHR	RBMS1	1.0	C
AHR	RUNX1	1.0	C
AHR	SIPA1L2	1.0	C
AHR	SLCO3A1	1.0	C
AHR	SOS1	1.0	C
AHR	SULF2	1.0	C
AHR	TRIM37	1.0	C
AHR	TRIO	1.0	C
AHR	TRPS1	1.0	C
AHR	TSHZ2	1.0	C
AHR	UTRN	-1.0	C
AHR	ZNF217	1.0	C
AHR	ZNF385D	1.0	C
AR	ABCE1	1.0	A
AR	ACAD10	1.0	A
AR	ACP3	1.0	A
AR	AHSG	1.0	A
AR	AKR1B1	1.0	A
AR	AKR1C3	-1.0	A
AR	AKT1	1.0	A
AR	ALPG	1.0	A
AR	ANAPC10	1.0	A
AR	AP2M1	1.0	A
AR	APPBP2	1.0	A
AR	ATF6	1.0	A
AR	ATM	1.0	A
AR	ATP2B4	1.0	A
AR	BABAM2	1.0	A
AR	BANF1	1.0	A
AR	BTD	1.0	A
AR	CCNG2	1.0	A
AR	CD4	1.0	A
AR	CDC6	1.0	A
AR	CDH2	1.0	A
AR	CDKL5	1.0	A
AR	CDKN1A	1.0	A
AR	CITED2	1.0	A
AR	COASY	1.0	A
AR	CPT2	1.0	A
AR	CRISP1	1.0	A
AR	CYCS	1.0	A
AR	DBI	1.0	A
AR	DDC	1.0	A
AR	DDT	1.0	A
AR	DHX15	1.0	A
AR	EEF1AKMT3	1.0	A
AR	EGFR	1.0	A
AR	EIF3I	1.0	A
AR	ELF3	1.0	A
AR	ERBB3	1.0	A
AR	ESRRA	1.0	A
AR	EYA2	1.0	A
AR	FAM13A	1.0	A
AR	FAM174B	1.0	A
AR	FKBP5	1.0	A
AR	FOXA1	1.0	A
AR	FXYD3	1.0	A
AR	GLRX	1.0	A
AR	GNL1	1.0	A
AR	GRB10	-1.0	A
AR	GTF2F1	1.0	A
AR	H2BC21	1.0	A
AR	HES1	1.0	A
AR	HK2	1.0	A
AR	HLA-E	1.0	A
AR	HNRNPA1	1.0	A
AR	HSD17B11	1.0	A
AR	IFI35	1.0	A
AR	IGF1R	1.0	A
AR	IGFBP3	-1.0	A
AR	IGHG1	1.0	A
AR	IL1R1	1.0	A
AR	JUN	1.0	A
AR	KCNH2	1.0	A
AR	KIAA1217	-1.0	A
AR	KLF5	1.0	A
AR	KLK2	1.0	A
AR	KLK3	1.0	A
AR	KLK4	1.0	A
AR	KRT18	1.0	A
AR	KRT8	-1.0	A
AR	LIFR	1.0	A
