cohort	x	y	n	rho	p	q_global
patient Tumor (all preps)	tac_cpm_all	lcam_diff	35	0.06162464985994398	0.7250854349378189	0.9342446950160359
patient Tumor (all preps)	tac_cpm_gate	lcam_diff	35	0.39354877416696105	0.01933631541607545	0.4016068068809027
patient Tumor (all preps)	tac_cpm_epi	lcam_diff	34	0.22387808292358424	0.2030808681782621	0.7280887780718085
patient Tumor (all preps)	frac_gate	lcam_diff	35	0.17198879551820728	0.32318512351386114	0.8120026228285762
patient Tumor (all preps)	tac_cpm_all	cd8_trm_of_T	35	0.008403361344537815	0.9617878010742488	0.9847901087233594
patient Tumor (all preps)	tac_cpm_gate	cd8_trm_of_T	35	-0.040953756969619615	0.815307651332353	0.9406336425834375
patient Tumor (all preps)	tac_cpm_epi	cd8_trm_of_T	34	0.06859047502867865	0.6999096095386852	0.9274633572987216
patient Tumor (all preps)	tac_cpm_all	cd8_broad_of_T	35	0.19971988795518206	0.25002750656074685	0.7614474063440927
patient Tumor (all preps)	tac_cpm_gate	cd8_broad_of_T	35	0.21122040409673679	0.22321855464769375	0.7280887780718085
patient Tumor (all preps)	tac_cpm_epi	cd8_broad_of_T	34	0.3622866030038262	0.035240464911971026	0.44725301029394743
patient Tumor (all preps)	tac_cpm_all	cd8a_cpm_immune	35	0.14649859943977592	0.4010397253043627	0.8575423913423075
patient Tumor (all preps)	tac_cpm_gate	cd8a_cpm_immune	35	-0.028331023657065628	0.8716572851594528	0.9406336425834375
patient Tumor (all preps)	tac_cpm_epi	cd8a_cpm_immune	34	-0.04495975208814955	0.8006701718869702	0.9406336425834375
patient Tumor (all preps)	tac_cpm_all	bulk_lcam_diff	35	0.10364145658263306	0.5535276714987675	0.9020961915179546
patient Tumor (all preps)	tac_cpm_gate	bulk_lcam_diff	35	0.2757365965831238	0.10887005257758063	0.588062991067213
patient Tumor (all preps)	frac_gate	cd8_trm_of_T	35	0.03473389355742297	0.842978334980777	0.9406336425834375
patient Tumor V2 beads (paper LCAM set)	tac_cpm_all	lcam_diff	26	0.016752136752136753	0.9352638960729228	0.9740313114541839
patient Tumor V2 beads (paper LCAM set)	tac_cpm_gate	lcam_diff	26	0.24786324786324784	0.22213758900788602	0.7280887780718085
patient Tumor V2 beads (paper LCAM set)	tac_cpm_epi	lcam_diff	26	0.08411694429658259	0.6828737038118691	0.9217068585216323
patient Tumor V2 beads (paper LCAM set)	frac_gate	lcam_diff	26	-0.07076923076923076	0.731194023076702	0.9360046635179887
patient Tumor V2 beads (paper LCAM set)	tac_cpm_all	cd8_trm_of_T	26	0.019487179487179485	0.924722078059223	0.9680684254682491
patient Tumor V2 beads (paper LCAM set)	tac_cpm_gate	cd8_trm_of_T	26	-0.02222222222222222	0.9141926183026543	0.9675802908908061
patient Tumor V2 beads (paper LCAM set)	tac_cpm_epi	cd8_trm_of_T	26	0.020858266675168855	0.9194419679609152	0.9675802908908061
patient Tumor V2 beads (paper LCAM set)	tac_cpm_all	cd8_broad_of_T	26	0.23487179487179485	0.24810613571794263	0.7614474063440927
patient Tumor V2 beads (paper LCAM set)	tac_cpm_gate	cd8_broad_of_T	26	0.15008547008547007	0.4642834547396419	0.9020961915179546
patient Tumor V2 beads (paper LCAM set)	tac_cpm_epi	cd8_broad_of_T	26	0.26466062961607695	0.19135424981314533	0.7257019662724945
patient Tumor V2 beads (paper LCAM set)	tac_cpm_all	cd8a_cpm_immune	26	0.23555555555555555	0.24669186841814225	0.7614474063440927
patient Tumor V2 beads (paper LCAM set)	tac_cpm_gate	cd8a_cpm_immune	26	0.20615384615384613	0.31230813998237666	0.8094216542857646
patient Tumor V2 beads (paper LCAM set)	tac_cpm_epi	cd8a_cpm_immune	26	0.1094204153451481	0.5946573957902211	0.9020961915179546
patient Tumor V2 beads (paper LCAM set)	tac_cpm_all	bulk_lcam_diff	26	0.037948717948717944	0.8539737921729723	0.9406336425834375
patient Tumor V2 beads (paper LCAM set)	tac_cpm_gate	bulk_lcam_diff	26	0.20615384615384613	0.31230813998237666	0.8094216542857646
patient Tumor V2 beads (paper LCAM set)	frac_gate	cd8_trm_of_T	26	0.10905982905982906	0.5958797037499546	0.9020961915179546
patient Tumor CITE-seq ADT	tac_cpm_all	adt_CD8_imm	8	-0.6666666666666669	0.07098765432098755	0.588062991067213
patient Tumor CITE-seq ADT	tac_cpm_gate	adt_CD8_imm	8	-0.14285714285714288	0.735764859879812	0.9360046635179887
patient Tumor CITE-seq ADT	tac_cpm_epi	adt_CD8_imm	8	0.28571428571428575	0.49272624501695717	0.9020961915179546
patient Tumor CITE-seq ADT	frac_gate	adt_CD8_imm	8	-0.6904761904761906	0.057990318164572716	0.5550501881466245
sample Tumor CITE-seq ADT	tac_cpm_all	adt_CD8_imm	20	-0.5218045112781955	0.01828494348209757	0.4016068068809027
sample Tumor CITE-seq ADT	tac_cpm_gate	adt_CD8_imm	20	-0.15789473684210525	0.5061465835201626	0.9020961915179546
sample Tumor CITE-seq ADT	tac_cpm_epi	adt_CD8_imm	20	0.14759052882155033	0.5346254618173106	0.9020961915179546
sample Tumor CITE-seq ADT	frac_gate	adt_CD8_imm	20	-0.7969924812030074	2.5917474294045437e-05	0.005209412333103133
