dataset	readout	n	tac_raw	cldn_raw	tac_partial	cldn_partial	attenuation	acme	verdict
He2022 CosMx	CD8+NK neighbors, 50 µm	5 donors	-0.047 (p=0.004)	-0.054 (p=0.086)	-0.037 (p<0.001)	-0.045 (p=0.144)	—	-0.010 (-0.023, +0.004)	null
He2022 CosMx	CD8+NK neighbors, 100 µm	5 donors	-0.039 (p=0.073)	-0.048 (p=0.203)	-0.029 (p=0.011)	-0.040 (p=0.270)	—	-0.007 (-0.025, +0.009)	null
GSE123902	malignant % detected	13	-0.324 (p=0.280)	-0.659 (p=0.014)	-0.174 (p=0.588)	-0.623 (p=0.031)	+46%	-0.226 (-0.528, +0.902)	partial
GSE123902	malignant mean log1p(UMI)	13	-0.209 (p=0.494)	-0.654 (p=0.015)	-0.020 (p=0.950)	-0.634 (p=0.027)	+90%	-0.109 (-0.738, +0.420)	partial
GSE131907	malignant % detected	21	-0.151 (p=0.515)	-0.522 (p=0.015)	+0.316 (p=0.174)	-0.575 (p=0.008)	+310%	-0.409 (-1.581, +0.009)	null
GSE131907	malignant mean log1p(UMI)	21	+0.082 (p=0.724)	-0.396 (p=0.075)	+0.422 (p=0.064)	-0.550 (p=0.012)	-415%	-0.356 (-0.779, -0.042)	null
GSE205335	malignant % detected	22	+0.208 (p=0.352)	-0.435 (p=0.043)	+0.345 (p=0.126)	-0.503 (p=0.020)	-65%	-0.016 (-0.288, +0.255)	null
GSE205335	malignant mean log1p(UMI)	22	+0.292 (p=0.187)	-0.170 (p=0.450)	+0.402 (p=0.071)	-0.332 (p=0.142)	-38%	-0.100 (-0.376, +0.291)	null
GSE189357	malignant % detected	9	-0.483 (p=0.187)	-0.600 (p=0.088)	+0.063 (p=0.882)	-0.410 (p=0.313)	+113%	-0.988 (-8.898, -0.271)	partial
GSE189357	malignant mean log1p(UMI)	9	-0.400 (p=0.286)	-0.517 (p=0.154)	+0.112 (p=0.792)	-0.372 (p=0.364)	+128%	-0.916 (-4.746, +2.846)	partial
concordant-4	malignant % detected	65 (4 cohorts)	-0.112 (p=0.460)	-0.531 (p=1.6e-05)	+0.216 (p=0.124)	-0.543 (p=2.0e-05)	+294%	-0.076 (-0.311, +0.159)	null
concordant-4	malignant mean log1p(UMI)	65 (4 cohorts)	+0.041 (p=0.777)	-0.394 (p=0.002)	+0.310 (p=0.025)	-0.476 (p=2.9e-04)	—	-0.204 (-0.423, +0.016)	opposite
