contrast_id	family	n_genes	n_genes_up	median_gene_log2fc	mean_gene_log2fc	mw_p	welch_p	series	kind	species	note
GSE237361_UWB_olaparib_96h	CLDN4	1	0	-0.00531407	-0.00531407	0.885714	0.953182	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	TACSTD2	1	0	-0.0137589	-0.0137589	1	0.920541	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	core_IFN	26	26	2.36038	2.14273	0.0285714	7.98952e-06	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	core_TJ	12	8	0.10133	0.0868963	0.485714	0.285673	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	repair_NHEJ_HR	12	3	-0.0472953	-0.0325924	0.485714	0.604564	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	STING_axis	5	3	0.103385	0.110392	0.114286	0.0728412	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	recruit	5	5	2.10185	1.86011	0.0285714	1.20944e-06	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	thesis_IFN	204	182	0.526555	0.842323	0.0285714	1.10815e-06	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	thesis_TJ_no_CLDN4	185	99	0.0119547	0.0356399	0.0571429	0.0789074	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_OVCAR3_olaparib_96h	CLDN4	1	0	-0.43305	-0.43305	0.0285714	0.000584962	GSE237361	acute PARPi	human	OVCAR3 BRCA1-WT, olaparib 7.5 uM vs DMSO, 96h, n=4. Same line as Yamamoto CLDN4-high model. Counts to CPM.
GSE237361_OVCAR3_olaparib_96h	TACSTD2	1	1	0.0697165	0.0697165	0.342857	0.583086	GSE237361	acute PARPi	human	OVCAR3 BRCA1-WT, olaparib 7.5 uM vs DMSO, 96h, n=4. Same line as Yamamoto CLDN4-high model. Counts to CPM.
GSE237361_OVCAR3_olaparib_96h	core_IFN	26	21	0.347499	0.403505	0.0285714	4.6124e-05	GSE237361	acute PARPi	human	OVCAR3 BRCA1-WT, olaparib 7.5 uM vs DMSO, 96h, n=4. Same line as Yamamoto CLDN4-high model. Counts to CPM.
GSE237361_OVCAR3_olaparib_96h	core_TJ	13	6	-0.00626895	-0.0216888	0.685714	0.589959	GSE237361	acute PARPi	human	OVCAR3 BRCA1-WT, olaparib 7.5 uM vs DMSO, 96h, n=4. Same line as Yamamoto CLDN4-high model. Counts to CPM.
GSE237361_OVCAR3_olaparib_96h	repair_NHEJ_HR	12	9	0.14543	0.154716	0.0285714	0.0136872	GSE237361	acute PARPi	human	OVCAR3 BRCA1-WT, olaparib 7.5 uM vs DMSO, 96h, n=4. Same line as Yamamoto CLDN4-high model. Counts to CPM.
GSE237361_OVCAR3_olaparib_96h	STING_axis	5	4	0.379932	0.309536	0.0285714	0.0222401	GSE237361	acute PARPi	human	OVCAR3 BRCA1-WT, olaparib 7.5 uM vs DMSO, 96h, n=4. Same line as Yamamoto CLDN4-high model. Counts to CPM.
