gene	role
TACSTD2	target
CLDN4	target
CD274	context
EPCAM	epithelial
KRT8	epithelial
KRT18	epithelial
KRT19	epithelial
KRT7	epithelial
CDH1	epithelial
CD3D	T
CD3E	T
CD3G	T
CD2	T
TRAC	T
CD8A	T
CD4	T
NKG7	NK
GNLY	NK
KLRD1	NK
KLRF1	NK
NCAM1	NK
KLRB1	NK
MS4A1	B
CD79A	B
CD79B	B
CD19	B
LYZ	myeloid
CD68	myeloid
CD14	myeloid
CSF1R	myeloid
FCGR3A	myeloid
COL1A1	fibroblast
DCN	fibroblast
LUM	fibroblast
COL1A2	fibroblast
PECAM1	endothelial
VWF	endothelial
CLDN5	endothelial
CDH5	endothelial
SFTPA2	normal_lung
SFTPC	normal_lung
AGER	normal_lung
SCGB1A1	normal_lung
SCGB3A1	normal_lung
TPPP3	normal_lung
