cohort	unit_id	n_malignant	n_cldn4_pos	used	reason	n_high	n_low	cldn4_delta
GSE123902	LX255B	228	80	True	ok	57	57	2.0755112486527914
GSE123902	LX653	145	104	True	ok	36	36	2.1491071794338956
GSE123902	LX661	117	69	True	ok	29	29	2.0298846945932967
GSE123902	LX666	786	528	True	ok	196	196	1.251449575776751
GSE123902	LX675	618	194	True	ok	154	154	1.6765552128594299
GSE123902	LX676	147	62	True	ok	36	36	2.425241267692395
GSE123902	LX679	497	215	True	ok	124	124	1.9238708787291425
GSE123902	LX680	258	189	True	ok	64	64	2.6032363655305426
GSE123902	LX681	1207	764	True	ok	301	301	1.9127885414756696
GSE123902	LX682	421	79	True	ok	105	105	1.5978902327487179
GSE123902	LX684	173	126	True	ok	43	43	1.9530072028072045
GSE123902	LX699	46	7	False	cldn4_pos<10	0	0	
GSE123902	LX701	90	10	True	ok	22	22	0.9904411380251816
