cohort	unit_id	n_malignant	n_cldn4_pos	used	reason	n_high	n_low	cldn4_delta
GSE131907	NS_13	1352	979	True	ok	338	338	2.355900638982093
GSE131907	NS_04	1229	1098	True	ok	307	307	1.6230327467330903
GSE131907	NS_17	1112	981	True	ok	278	278	2.3585605989540497
GSE131907	EBUS_28	4640	4470	True	ok	1160	1160	1.8454061496992544
GSE131907	NS_16	79	9	False	cldn4_pos<10	0	0	
GSE131907	NS_07	5108	4618	True	ok	1277	1277	1.9201819036706023
GSE131907	EBUS_10	367	310	True	ok	91	91	2.1410754540039107
GSE131907	NS_19	755	507	True	ok	188	188	2.0425424048961975
GSE131907	EBUS_51	1285	1097	True	ok	321	321	1.7723518199482273
GSE131907	BRONCHO_58	460	332	True	ok	115	115	1.8248752358535183
GSE131907	EBUS_13	376	1	False	cldn4_pos<10	0	0	
GSE131907	NS_12	2811	2427	True	ok	702	702	2.1307348765341905
GSE131907	NS_03	2713	2527	True	ok	678	678	1.8337604016667117
GSE131907	EBUS_06	1186	844	True	ok	296	296	2.392529240876628
GSE131907	EBUS_15	256	121	True	ok	64	64	2.2899017893497353
GSE131907	NS_02	181	106	True	ok	45	45	1.895859173356287
GSE131907	EBUS_19	217	204	True	ok	54	54	1.4537968549092866
GSE131907	BRONCHO_11	203	164	True	ok	50	50	2.226251988410543
GSE131907	EBUS_12	257	227	True	ok	64	64	1.7755096070826695
GSE131907	NS_06	83	50	True	ok	20	20	2.4959706235458805
GSE131907	EBUS_49	114	56	True	ok	28	28	1.9663434920468223
