category,accession,repository,center_country,trial_or_cohort,design,data_type,response_labels,processed_size,access,used_in_analysis,notes
open,GSE207422,GEO,"Shanghai Pulmonary Hospital, CN",neoadjuvant anti-PD-1 (toripalimab/camrelizumab/sintilimab) + chemo,resectable NSCLC pre/post treatment,bulk RNA-seq log2TPM (24 pre-tx samples) + scRNA-seq UMI (20 samples),MPR/NMPR (+pCR) and RECIST,5.4 MB bulk + 175 MB scRNA,open (processed on GEO; raw controlled at HRA001033),yes,primary Chinese cohort; PMID 36869384
open,GSE241934,GEO,"Peking University / CTONG, CN",NEOTIDE/CTONG2104 neoadjuvant sintilimab + chemo (IIT EGFR-mut n=11) + real-world immunochemo (EGFR-WT n=34),post-treatment resected tumors,scRNA-seq sparse mtx with author cell-type annotations,MPR/non-MPR/pCR per patient,447 MB + 1.2 GB,open (processed on GEO; raw to GSA),yes,PMID 38897205; post-treatment only
open,GSE126044,GEO,"Yonsei Cancer Center, KR",anti-PD-1 monotherapy (nivolumab/pembrolizumab),advanced NSCLC pre-treatment tumors n=16,bulk RNA-seq counts,responder/non-responder (RECIST),0.5 MB,open,yes,PMID 32879421
open,GSE135222,GEO,"KR (omicslab)",anti-PD-1/PD-L1,advanced NSCLC pre-treatment tumors n=27,bulk RNA-seq normalized,PFS event + time (DCB derived),1.6 MB,open,yes,PMID 31537801
open,GSE260770,GEO,"First Affiliated Hospital of Guangzhou Medical University, CN",sintilimab on high-risk GGO lesions (multiple primary lung cancer),plasma exosomal mRNA n=50,exosomal mRNA FPKM,responder/non-responder,1.0 MB,open,yes (exploratory),blood exosome not tumor tissue; PMID 38637495
open,GSE179994,GEO,"Peking University, CN",anti-PD-1 + chemo (36 patients 47 biopsies pre/on-treatment),advanced NSCLC,scRNA-seq of sorted T cells only,responder/non-responder,421 MB rds,open,no,T cells only - no epithelial cells so TACSTD2/CLDN4 tumor expression not assessable; PMID 35121991
open,GSE136961,GEO,"CHA University, KR",anti-PD-1 monotherapy n=21,advanced NSCLC,Oncomine Immune Response panel (395 genes),DCB/NDB,small,open,no,panel does not include TACSTD2/CLDN4
open,GSE225620,GEO,"Northwest University, CN",tislelizumab + chemo,whole blood RNA-seq 31 patients + 5 healthy,bulk RNA-seq featureCounts,responder/non-responder,1.2 MB,open,no,whole blood - epithelial genes not informative; PMID 38951894
open,GSE309446,GEO,"West China Hospital, CN",sitravatinib + tislelizumab + docetaxel (ICI-acquired resistance),advanced NSCLC phase II n=13,TCR-seq only,ORR/PFS,small,open,no,no gene expression data
controlled,HRA001033,GSA-Human,"Shanghai Pulmonary Hospital, CN",neoadjuvant PD-1 blockade + chemo,scRNA-seq 15 patients + bulk RNA-seq 24 patients (raw),raw sequencing,MPR/NMPR,n/a,controlled (DAC: zhangpeng1121@tongji.edu.cn),no,raw counterpart of GSE207422
controlled,HRA006493,GSA-Human,"Shanghai Pulmonary Hospital, CN",neoadjuvant PD-1 inhibitor + chemo or + anti-VEGFA,scRNA-seq >1M cells paired pre/post,raw sequencing,response annotations,n/a,controlled (DAC HDAC001433),no,BioProject PRJCA022724; release 2026-01-09
controlled,HRA003360,GSA-Human,"Second Affiliated Hospital Zhejiang University, CN",neoadjuvant anti-PD-1,NSCLC,raw sequencing,unknown,n/a,controlled (DAC HDAC001329; pinwu@zju.edu.cn),no,BioProject PRJCA009311
controlled,HRA005191,GSA-Human,"Peking University (Zemin Zhang lab), CN",neoadjuvant chemo-immunotherapy response/resistance,post-treatment scRNA+TCR-seq,raw sequencing,MPR/non-MPR,n/a,controlled (DAC DAC_ZhangLab; chengsj@mail.cbi.pku.edu.cn),no,likely raw counterpart of GSE241934/NEOTIDE
controlled,HRA004391,GSA-Human,"National Cancer Center/CAMS Cancer Hospital, CN",neoadjuvant immunotherapy,lung adenocarcinoma scRNA-seq,raw sequencing,unknown,n/a,controlled (DAC yangzl@cicams.ac.cn),no,
controlled,OMIX012889,NGDC OMIX,"Sun Yat-sen University Cancer Center, CN",ORIENT-11 (sintilimab + pemetrexed/platinum phase 3),nonsquamous NSCLC n=171 expression profiling + clinical,processed csv 66.2 MB,trial endpoints,66.2 MB,controlled (not yet HGRAC-registered; unavailable),no,BioProject PRJCA050738
controlled,ORIENT-11 (no accession),Vivli (Lilly/Innovent),CN multicenter phase 3,sintilimab + chemo 1L nonsquamous NSCLC n=397,tumor whole-transcriptome RNA-seq,RNA-seq + PD-L1 IHC,PFS/OS/ORR,n/a,controlled (Vivli proposal + DSA; genomic data excluded from standard requests),no,biomarker paper PMID 34358724 (MHC-II association)
controlled,ORIENT-3 (no accession),sponsor-held (Innovent),CN multicenter phase 3,sintilimab vs docetaxel 2L squamous NSCLC,tumor RNA-seq n=110 BEP with response,RECIST + PFS/OS,n/a,controlled (no public deposition per publication),no,biomarker analysis in Cancer Communications 2022 (doi 10.1002/cac2.12385)
controlled,CameL (no accession),sponsor-held (Hengrui),CN multicenter phase 3 NCT03134872,camrelizumab + carbo/pemetrexed 1L nonsquamous NSCLC,clinical + biomarker data,PFS/OS/ORR,n/a,controlled (on request to corresponding author; HGRAC constraints),no,5-year outcomes J Immunother Cancer 2024 (doi 10.1136/jitc-2024-009240)
controlled,RATIONALE-307 (no accession),sponsor-held (BeOne Medicines),CN multicenter phase 3 NCT03594747,tislelizumab + chemo 1L squamous NSCLC,EdgeSeq Precision IO panel GEP + PD-L1 + TMB,PFS/OS/ORR,n/a,controlled (requests to ClinicalTrials@beonemed.com),no,biomarker analyses in congress posters/publications only
