gene,GSM5772210,GSM5772211,GSM5772212,GSM5772213,GSM5772214,GSM5772215,GSM5772216
GTPBP2,15.992,12.631,14.724,13.579,9.937,4.171,12.706
GTPBP3,0.287,1.452,1.505,2.918,2.125,1.755,1.321
GTPBP4,22.037,26.727,19.327,21.986,24.168,17.696,23.384
GTPBP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTPBP8,4.99,2.542,2.483,3.712,4.737,5.838,3.985
GTSCR1,0.0,0.0,3.894,0.697,1.534,0.0,0.471
GTSE1,1.85,0.477,0.464,1.66,0.081,0.209,1.372
GTSE1-AS1,0.962,0.212,0.344,0.922,0.181,1.675,0.416
GTSF1,11.069,13.656,5.249,2.684,2.757,6.495,3.327
GTSF1L,0.0,0.0,0.0,0.0,0.0,0.773,0.0
GUCA1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUCA1B,0.0,0.0,0.073,0.0,0.0,0.0,0.088
GUCA1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUCA2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUCA2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUCD1,18.923,29.678,27.278,26.952,25.761,16.598,22.031
GUCY1A2,0.036,0.0,0.0,0.0,0.0,0.107,0.011
GUCY1A3,1.611,0.516,0.033,0.323,0.095,1.079,0.146
GUCY1B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUCY1B3,0.412,0.884,0.253,0.899,0.08,0.0,0.552
GUCY2C,0.0,0.038,0.0,0.037,0.0,0.167,0.0
GUCY2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUCY2EP,0.0,0.054,0.058,0.0,0.0,0.047,0.0
GUCY2F,0.0,0.04,0.0,0.077,0.034,0.453,0.156
GUCY2GP,0.0,0.0,0.054,0.0,0.0,0.0,0.065
GUF1,4.046,5.218,3.806,4.94,5.792,5.697,5.102
GUK1,271.208,169.819,194.046,200.159,198.647,300.516,211.744
GULP1,0.388,0.232,0.0,0.045,0.0,1.632,0.0
GUSB,175.264,205.072,252.881,229.747,249.923,139.948,218.889
GUSBP1,6.716,7.701,6.367,9.028,6.203,5.536,3.875
GUSBP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUSBP11,1.674,2.462,2.425,2.044,2.683,2.803,2.822
GUSBP2,0.463,0.0,0.152,0.271,0.0,0.246,0.367
GUSBP3,0.085,0.207,0.559,0.3,0.44,0.635,0.0
GUSBP4,2.091,2.028,2.478,2.509,2.823,3.923,2.448
GUSBP5,0.386,0.078,0.0,0.0,0.066,0.342,0.0
GUSBP9,0.0,0.35,0.378,0.0,0.0,0.0,0.0
GVINP1,0.482,1.202,0.894,0.941,0.829,0.612,1.337
GXYLT1,1.793,2.123,1.704,1.717,1.955,1.723,1.711
GXYLT1P3,0.0,0.0,0.0,0.0,0.17,0.058,0.0
GXYLT2,0.0,0.312,0.0,0.0,0.0,0.274,0.0
GYG1,73.167,61.838,76.476,73.495,71.07,55.746,73.658
GYG2,0.037,0.0,0.0,0.303,0.129,3.692,0.0
GYG2P1,0.0,0.0,0.0,0.0,0.0,2.189,0.0
GYLTL1B,0.0,0.678,0.0,0.749,0.0,2.107,0.08
GYPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYPB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYPC,73.337,78.786,69.092,94.882,81.016,18.976,74.394
GYPE,0.619,0.0,0.101,1.087,0.319,0.0,1.244
GYS1,6.416,10.443,5.881,7.692,6.74,9.037,7.315
GYS2,0.0,0.0,0.0,0.046,0.0,0.0,0.0
GZF1,3.426,2.688,3.86,3.039,3.379,4.26,3.792
GZMA,18.739,6.697,1.315,8.428,1.554,72.244,15.908
GZMB,42.629,6.22,0.42,17.272,3.638,91.185,10.92
GZMH,20.499,5.667,0.987,5.297,4.354,60.914,11.703
GZMK,11.67,0.333,0.719,2.895,0.85,11.681,1.958
GZMM,1.413,0.574,0.413,0.924,0.0,2.504,1.75
H19,0.0,0.0,0.0,0.0,0.0,0.237,0.0
H1F0,3.665,3.268,3.176,5.304,3.337,5.331,2.391
H1FNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H1FOO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H1FX,5.381,3.317,4.853,4.65,7.282,3.753,3.914
H1FX-AS1,0.173,0.14,0.0,0.0,0.119,0.061,0.183
H2AFB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2AFB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2AFB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2AFJ,11.988,5.197,6.994,6.307,5.461,14.025,8.002
H2AFV,49.018,33.43,35.616,36.946,36.523,43.281,47.583
H2AFX,1.654,1.204,1.95,2.519,2.219,2.375,2.097
H2AFY,164.48,161.514,176.703,150.497,158.041,167.409,159.153
H2AFY2,2.612,1.83,0.912,1.768,1.018,7.654,2.115
H2AFZ,303.704,177.658,257.281,273.167,238.35,166.214,321.162
H2BFM,0.0,0.0,0.179,0.0,0.0,0.0,0.0
H2BFWT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2BFXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3F3A,45.173,21.997,16.311,87.26,59.473,96.392,51.371
H3F3AP4,409.144,281.465,309.03,235.566,325.801,405.101,318.363
H3F3B,251.351,170.608,180.955,175.537,168.7,324.59,165.352
H3F3C,0.271,0.0,0.0,0.0,0.0,0.288,0.0
H6PD,7.699,6.961,7.465,9.22,11.531,4.694,13.662
HAAO,7.57,11.508,8.098,5.245,9.57,31.634,10.305
HABP2,0.041,0.05,0.0,0.191,0.0,0.0,0.0
HABP4,5.072,4.12,4.875,3.925,4.801,3.019,5.604
HACD1,5.636,6.203,7.518,4.768,7.107,2.775,4.631
HACD2,2.579,10.239,4.146,5.769,7.621,5.985,7.803
HACD3,22.74,27.995,31.427,25.523,31.047,31.475,29.515
HACD4,57.7,65.031,55.432,56.475,53.169,68.126,62.709
HACE1,1.046,2.525,3.355,2.266,2.886,2.641,2.154
HACL1,26.119,15.399,15.203,13.769,17.37,22.444,17.853
HADH,59.027,68.852,61.422,63.479,65.363,47.476,65.832
HADHA,167.124,162.223,164.909,163.928,148.719,107.751,178.342
HADHB,199.428,153.498,183.036,170.305,160.685,120.806,167.329
HAGH,67.475,59.363,75.072,71.519,59.195,70.971,77.561
HAGHL,4.457,2.21,7.612,1.779,5.082,11.734,2.654
HAGLR,0.0,0.077,0.0,0.15,0.0,0.0,0.101
HAGLROS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAL,0.565,0.343,0.329,0.257,0.324,0.2,0.149
HAMP,3.774,8.501,1.412,3.158,3.338,30.964,4.272
HAND1,0.0,0.182,0.0,0.0,0.0,0.0,0.0
HAND2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAND2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAO1,0.0,0.181,0.0,0.087,0.0,0.0,0.354
HAO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAO2-IT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAPLN1,0.0,0.093,0.0,0.03,0.026,0.109,0.04
HAPLN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAPLN3,0.387,1.017,0.253,1.888,0.931,2.606,1.532
HAPLN4,0.0,0.0,0.0,0.0,0.036,0.0,0.0
HAR1A,0.133,0.107,0.695,0.207,0.228,0.0,0.07
HAR1B,0.0,0.0,0.0,0.0,0.0,0.89,0.265
HARBI1,13.343,10.577,11.65,10.216,10.258,8.996,11.746
HARS,29.927,29.424,34.128,36.041,30.973,40.502,36.861
HARS2,18.78,25.541,23.985,22.325,17.867,17.637,21.589
HAS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAS2,0.0,0.0,0.049,0.0,0.0,0.0,0.0
HAS2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAS3,0.234,0.141,0.0,0.569,0.27,0.279,0.32
HAT1,66.448,44.086,58.119,61.648,60.703,56.737,69.226
HAUS1,17.493,12.303,10.333,17.604,13.26,15.716,16.868
HAUS2,7.845,8.891,7.327,7.854,8.167,2.894,8.478
HAUS3,4.919,7.942,7.582,7.056,4.646,5.967,7.691
HAUS4,47.453,31.629,36.547,36.021,39.742,22.996,36.143
HAUS5,2.646,2.769,3.647,2.251,2.471,3.465,2.648
HAUS6,3.395,2.181,1.804,2.041,1.913,1.735,2.468
HAUS7,22.521,12.487,9.643,11.884,11.007,7.099,13.485
HAUS8,9.46,4.466,7.939,6.133,8.345,7.423,9.314
HAVCR1,0.0,0.0,0.0,0.284,0.333,0.0,0.896
HAVCR1P1,0.0,0.0,0.144,0.128,0.0,0.466,0.0
HAVCR2,113.121,91.569,86.477,78.255,88.732,53.968,102.022
HAX1,119.437,80.546,96.474,86.277,82.022,87.012,90.228
HBA1,2.913,0.353,0.763,0.0,0.301,31.286,0.0
HBA2,14.308,0.354,3.824,0.0,0.301,199.997,0.463
HBB,159.89,4.705,46.09,0.0,17.441,2652.35,0.0
HBBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBD,0.0,0.0,0.0,0.0,0.0,0.867,0.0
HBE1,0.0,0.0,0.0,0.222,0.0,0.0,0.0
HBEGF,37.396,37.419,95.651,105.0,64.819,18.16,77.464
HBG1,4.629,0.0,0.0,0.0,0.0,8.205,0.0
HBG2,14.544,0.0,0.0,0.0,0.0,31.264,0.0
HBM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBP1,47.754,40.584,38.544,39.909,37.313,37.254,40.537
HBQ1,0.0,0.0,0.0,0.0,0.0,0.277,0.0
HBS1L,7.253,6.146,6.401,4.56,5.861,6.577,5.806
HBZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCAR1,0.0,0.0,0.0,0.193,0.0,0.0,0.0
HCAR2,144.615,107.986,181.245,139.742,146.732,48.624,154.073
HCAR3,40.923,25.176,42.488,37.379,37.39,42.892,40.788
HCCAT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCCS,20.016,15.821,18.701,16.505,19.668,12.146,17.337
HCFC1,3.096,4.715,3.819,3.79,3.711,3.559,4.005
HCFC1-AS1,0.0,0.0,0.261,0.0,0.0,0.0,0.0
HCFC1R1,7.26,6.125,6.319,10.629,7.705,8.082,8.854
HCFC2,2.871,3.181,3.003,4.137,4.134,1.318,4.222
HCG11,1.461,1.544,1.339,1.393,2.239,1.709,1.356
HCG14,1.16,0.0,0.0,0.0,0.0,2.468,0.0
HCG17,1.322,0.0,0.0,0.0,0.0,0.0,0.349
HCG18,4.183,3.069,2.348,4.494,2.926,3.298,3.384
HCG2040054,0.0,0.0,0.0,0.0,0.0,0.0,0.823
HCG22,0.0,0.0,0.0,0.0,0.0,3.347,0.0
HCG23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCG25,0.234,0.566,0.0,0.273,0.723,0.993,0.0
HCG26,0.0,0.573,0.0,0.553,0.366,1.13,0.374
HCG27,0.909,0.459,0.198,0.532,0.0,0.081,0.24
HCG4,0.187,0.756,1.143,1.315,0.0,0.663,1.581
HCG4B,0.0,0.0,0.124,0.0,0.049,0.101,0.0
HCG8,0.284,0.0,0.279,0.166,0.366,0.453,0.337
HCG9,0.0,0.0,0.0,0.92,0.0,0.0,0.0
HCK,348.373,210.965,300.914,308.738,292.272,112.978,347.872
HCLS1,156.067,129.531,130.945,151.554,143.227,115.578,162.993
HCN1,0.0,0.117,0.0,0.0,0.0,0.0,0.0
HCN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCN3,0.525,0.868,0.941,0.765,0.443,0.0,0.832
HCN4,0.0,0.0,0.0,0.0,0.0,0.882,0.0
HCP5,30.952,23.559,17.345,27.639,14.677,23.58,28.371
HCRT,0.0,0.0,0.824,0.0,0.0,0.0,0.0
HCRTR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCRTR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCST,170.675,165.599,214.181,179.572,247.375,162.626,202.846
HDAC1,58.94,38.395,46.872,46.196,46.895,58.483,52.957
HDAC10,1.407,3.108,5.514,3.86,4.769,2.628,2.828
HDAC11,1.687,2.097,1.215,2.303,1.48,4.62,1.47
HDAC11-AS1,0.0,0.0,0.0,0.0,0.4,0.0,0.0
HDAC2,13.931,12.044,12.82,10.803,13.112,14.157,13.071
HDAC3,67.01,43.473,40.644,40.832,46.637,40.924,46.253
HDAC4,0.872,0.773,0.989,0.869,1.101,1.356,1.485
HDAC5,4.193,5.278,7.832,5.96,5.94,4.293,7.425
HDAC6,12.857,21.182,19.682,16.471,19.867,12.112,16.14
HDAC7,0.565,0.835,0.488,0.96,0.592,1.342,0.636
HDAC8,12.653,14.823,10.885,13.914,13.471,16.983,15.756
HDAC9,0.817,0.678,0.704,0.838,1.581,0.851,0.793
HDC,0.0,0.57,0.0,0.057,0.0,10.386,0.155
HDDC2,67.249,61.122,59.711,53.505,72.411,29.266,71.86
HDDC3,16.507,14.814,18.797,13.539,18.52,26.086,17.099
HDGF,16.215,18.347,17.435,18.128,15.132,26.785,18.623
HDGFL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDGFRP2,7.743,9.009,8.892,7.275,6.897,9.856,7.926
HDGFRP3,1.387,1.62,1.211,1.384,1.749,2.732,3.256
HDHD1,15.693,16.163,12.874,13.736,10.937,22.491,19.987
HDHD2,17.359,13.826,20.613,19.861,17.971,23.139,15.129
HDHD3,22.649,17.929,14.599,9.673,16.862,28.633,13.893
HDLBP,41.181,57.168,57.13,46.561,53.585,64.863,51.453
HDX,0.417,0.644,0.7,1.022,0.75,0.142,0.631
HEATR1,4.688,6.204,6.085,5.314,6.516,4.209,5.943
HEATR3,5.574,7.338,7.986,7.813,9.093,4.712,5.586
HEATR4,0.14,0.297,0.0,0.246,0.217,0.074,0.222
HEATR5A,2.631,7.994,4.287,4.57,6.4,6.39,6.182
HEATR5B,5.416,13.326,17.608,13.926,16.996,7.435,12.448
HEATR6,6.375,7.694,7.867,8.365,7.779,3.325,7.042
HEATR9,0.0,0.079,0.0,0.0,0.0,0.0,0.103
HEBP1,55.778,39.393,36.375,41.813,43.459,55.171,42.738
HEBP2,29.587,26.557,27.978,25.151,22.703,58.389,18.618
HECA,3.649,4.118,3.922,3.039,4.134,2.602,4.545
HECTD1,6.933,10.199,9.23,8.405,9.845,9.309,9.878
HECTD2,0.58,1.104,0.446,1.278,0.485,1.453,0.949
HECTD2-AS1,0.0,0.342,0.185,0.165,0.146,0.45,0.447
HECTD3,32.234,50.64,51.052,46.565,47.768,22.7,42.556
HECTD4,0.793,1.343,1.598,1.49,1.266,1.401,1.791
HECW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HECW2,0.0,0.0,0.0,0.139,0.0,0.152,0.028
HEG1,2.971,2.815,4.826,3.152,1.671,1.641,3.152
HEIH,15.565,17.066,16.06,14.366,14.762,21.151,17.813
HELB,2.417,1.547,1.055,0.983,1.178,0.821,1.489
HELLS,0.358,0.314,0.587,0.244,0.244,0.0,1.511
HELQ,6.111,5.194,5.717,7.198,6.428,8.522,4.823
HELT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELZ,4.464,5.881,4.409,4.63,5.634,4.266,5.905
HELZ2,0.373,1.399,0.366,1.215,0.505,0.632,0.775
HEMGN,0.0,0.0,0.0,0.0,0.0,0.417,0.0
HEMK1,2.019,3.282,2.407,1.821,3.75,2.835,2.592
HENMT1,23.792,18.411,20.473,23.259,20.452,18.73,24.122
HEPACAM,0.0,0.0,0.045,0.0,0.212,0.0,0.0
HEPACAM2,0.0,0.0,0.079,0.0,0.0,1.01,0.0
HEPH,0.0,0.0,0.041,0.0,0.0,0.0,0.0
HEPHL1,0.04,0.0,0.0,0.0,0.0,0.0,0.0
HEPN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERC1,4.68,6.821,5.801,5.09,6.666,3.513,6.259
HERC2,1.47,1.755,1.589,1.501,1.921,1.451,1.983
HERC2P10,0.0,0.0,0.0,0.0,0.556,0.0,0.0
HERC2P2,3.736,6.112,5.81,6.131,5.902,3.435,5.734
HERC2P3,0.421,1.157,2.315,0.46,0.724,0.388,0.756
HERC2P4,0.274,0.0,0.18,0.107,0.0,0.049,1.159
HERC2P7,1.104,1.249,1.927,1.207,0.911,2.426,1.982
HERC2P9,0.334,1.063,1.53,0.782,1.507,0.621,0.926
HERC3,11.284,15.022,17.136,14.902,16.24,9.249,13.97
HERC4,8.424,13.429,14.875,11.571,12.731,5.552,10.795
HERC5,17.051,27.084,16.816,21.106,12.322,3.414,14.548
HERC6,6.875,11.007,5.527,9.016,4.995,3.465,4.272
HERPUD1,135.34,100.335,101.019,97.657,92.752,160.064,106.656
HERPUD2,14.594,22.471,28.198,27.7,26.405,8.862,31.102
HES1,0.915,0.444,1.438,0.964,1.133,3.989,0.58
HES2,1.607,7.281,3.396,2.047,3.635,5.515,3.126
HES3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HES4,0.305,0.925,0.2,0.893,0.157,5.516,0.219
HES5,0.0,0.0,0.0,0.0,0.0,0.111,0.0
HES6,5.888,5.186,6.848,6.581,2.746,7.24,5.977
HES7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HESX1,0.357,0.866,0.156,1.115,0.491,0.506,0.189
HEXA,244.204,358.961,345.892,331.087,362.597,262.496,334.531
HEXA-AS1,1.204,1.124,1.577,0.868,0.956,1.626,1.762
HEXB,651.924,820.607,831.127,648.872,755.963,512.787,747.273
HEXDC,5.453,8.335,6.174,9.182,6.974,9.544,7.56
HEXIM1,1.946,1.422,2.646,1.9,1.699,1.778,1.463
HEXIM2,4.429,3.85,3.169,3.457,2.812,3.166,2.27
HEY1,1.481,0.0,0.0,0.0,0.129,2.975,0.099
HEY2,0.974,0.0,0.0,0.109,0.048,2.27,0.074
HEYL,0.38,0.142,0.268,0.171,0.03,0.155,0.185
HFE,11.361,12.434,10.515,13.756,13.292,9.74,13.416
HFE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HFM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HGC6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HGD,1.651,0.154,0.0,0.521,0.0,5.471,0.0
HGF,0.0,0.248,0.406,0.56,0.423,1.354,0.17
HGFAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HGH1,0.295,0.358,0.387,0.173,0.102,0.471,0.312
HGS,30.103,31.244,32.546,30.517,27.433,30.563,29.551
HGSNAT,12.361,13.609,14.217,13.118,13.107,10.114,15.937
HHAT,1.42,2.798,3.023,3.14,4.429,6.153,2.426
HHATL,0.0,0.0,0.0,0.0,0.0,0.395,0.0
HHEX,15.799,11.998,10.539,12.021,11.502,10.05,12.751
HHIP,0.0,0.083,0.0,0.0,0.0,0.0,0.0
HHIP-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHIPL1,0.282,0.614,0.442,0.0,0.233,0.0,0.0
HHIPL2,0.87,0.176,0.0,0.057,0.0,0.0,0.0
HHLA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHLA2,0.885,0.0,0.288,6.469,0.625,4.976,0.174
HHLA3,15.171,11.802,12.032,9.202,7.804,21.318,9.086
HIAT1,33.371,32.31,32.732,29.94,40.162,32.387,36.322
HIATL1,75.25,65.299,110.222,71.171,80.198,45.933,96.389
HIATL2,8.18,6.776,5.487,6.311,9.676,5.305,5.059
HIBADH,44.88,35.28,45.465,42.689,47.89,48.818,39.003
HIBCH,14.943,13.873,17.145,15.181,18.078,35.089,14.249
HIC1,0.402,0.0,0.0,0.0,0.0,0.247,0.127
HIC2,0.433,0.399,0.522,0.203,0.483,0.276,0.522
HID1,0.656,1.15,0.0,1.025,0.038,4.575,0.116
HID1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIF1A,28.432,28.106,19.03,27.062,25.53,92.225,27.952
HIF1A-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIF1A-AS2,7.637,7.681,6.098,6.691,7.175,23.903,7.772
HIF1AN,12.019,14.515,18.305,10.769,14.193,12.746,15.296
HIF3A,0.0,0.0,0.054,0.0,0.0,0.022,0.0
HIGD1A,53.471,47.46,51.735,49.66,46.66,41.035,43.674
HIGD1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIGD1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIGD2A,192.11,95.571,116.759,127.684,122.846,153.845,120.309
HIGD2B,0.379,0.0,0.0,0.0,0.0,0.0,0.0
HILPDA,15.779,20.028,32.094,19.588,14.975,17.899,23.501
HILS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HINFP,5.409,5.14,4.484,7.789,6.949,8.166,6.032
HINT1,325.862,179.258,206.881,198.266,235.844,383.188,223.415
HINT2,75.845,37.933,51.543,54.958,51.364,64.862,47.083
HINT3,7.963,8.959,10.382,8.864,9.257,10.078,8.165
HIP1,2.229,1.894,1.985,2.185,1.566,2.727,1.316
HIP1R,0.522,0.321,0.104,0.831,0.391,3.812,0.419
HIPK1,3.796,6.27,5.46,6.356,6.598,13.548,9.576
HIPK1-AS1,0.18,0.47,0.314,0.14,0.309,1.585,0.424
HIPK2,4.181,7.391,9.179,6.322,11.849,2.404,7.383
HIPK3,11.058,17.372,17.406,16.512,15.574,12.376,16.711
HIPK4,0.0,0.122,0.0,0.0,0.0,0.053,0.0
HIRA,2.912,4.332,3.892,4.536,4.088,2.267,4.757
HIRIP3,6.819,4.051,5.522,6.093,3.304,5.721,6.915
HIST1H1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H1B,0.0,0.0,0.0,0.0,0.204,0.0,1.256
HIST1H1C,3.966,1.603,0.577,6.969,3.638,29.526,1.397
HIST1H1D,0.0,0.492,0.0,0.237,0.627,0.431,0.321
HIST1H1E,0.799,0.727,0.262,0.468,0.619,0.0,1.267
HIST1H1T,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H2AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H2AB,0.0,0.0,0.0,0.0,0.0,0.462,0.0
HIST1H2AC,13.071,14.602,13.065,22.566,22.715,49.387,15.262
HIST1H2AD,0.911,0.349,0.127,1.164,0.001,0.106,1.223
HIST1H2AE,0.326,1.583,0.427,1.911,2.693,3.817,0.517
HIST1H2AG,0.0,1.464,0.0,3.298,2.075,1.711,2.55
HIST1H2AH,0.428,2.076,0.56,0.0,0.0,1.365,0.678
HIST1H2AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H2AJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H2AK,0.0,1.127,0.608,0.544,0.0,2.47,0.736
HIST1H2AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H2AM,0.0,0.508,2.74,5.392,4.318,0.89,1.326
HIST1H2APS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H2BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H2BB,0.0,0.639,0.0,0.0,0.0,0.0,0.0
HIST1H2BC,5.102,4.332,4.009,2.989,5.264,11.938,3.234
HIST1H2BD,1.334,8.079,3.248,5.324,2.986,10.723,2.114
HIST1H2BE,0.0,0.0,2.032,0.0,0.0,0.0,0.0
HIST1H2BF,0.0,0.0,0.0,1.86,3.276,0.0,0.0
HIST1H2BG,0.0,0.0,0.0,1.159,2.042,2.105,0.0
HIST1H2BH,2.709,0.0,0.709,1.269,0.0,1.728,0.0
HIST1H2BI,0.0,0.0,1.342,0.0,0.0,0.0,0.0
HIST1H2BJ,0.0,0.519,0.0,2.005,0.441,0.0,0.678
HIST1H2BK,14.972,33.882,15.304,34.864,26.375,36.118,34.141
HIST1H2BL,0.0,0.58,0.0,0.0,0.0,1.017,0.0
HIST1H2BM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H2BN,0.0,0.59,1.274,1.139,2.007,1.552,0.0
HIST1H2BO,1.355,1.095,0.0,0.0,0.0,0.0,0.0
HIST1H3A,0.448,0.543,0.0,0.525,3.236,0.477,0.0
HIST1H3B,0.0,0.0,0.0,0.0,0.0,0.0,0.702
HIST1H3C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H3D,1.717,1.029,0.37,1.026,1.665,1.5,0.0
HIST1H3E,0.921,3.353,0.0,3.778,0.475,5.39,1.46
HIST1H3F,0.0,0.0,0.0,0.0,0.0,0.0,0.718
HIST1H3G,1.806,0.0,0.0,0.0,0.466,0.48,0.0
HIST1H3H,0.441,1.07,0.0,0.517,1.821,0.938,0.699
HIST1H3I,0.434,0.0,0.0,0.0,0.896,0.462,0.0
HIST1H3J,0.0,0.0,0.0,1.014,0.447,0.0,0.0
HIST1H4A,0.0,0.0,0.0,0.0,0.0,0.0,1.145
HIST1H4B,0.0,0.966,0.0,0.0,0.0,0.847,0.0
HIST1H4C,312.297,152.766,143.703,222.09,200.971,204.389,225.314
HIST1H4D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H4E,2.102,1.699,0.0,4.104,2.891,3.725,4.441
HIST1H4F,0.0,0.0,0.97,0.0,0.764,0.0,1.174
HIST1H4G,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H4H,0.0,2.596,0.0,0.836,0.0,3.036,0.0
HIST1H4I,0.0,1.775,0.958,1.714,0.0,0.0,0.0
HIST1H4J,0.802,1.946,0.0,0.0,0.0,2.559,1.271
HIST1H4K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H4L,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST2H2AA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST2H2AA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST2H2AB,0.0,0.0,0.0,0.0,0.0,0.0,0.774
HIST2H2AC,1.538,0.622,0.0,0.6,0.0,0.0,0.812
HIST2H2BA,2.277,0.46,0.0,1.778,1.958,2.018,0.0
HIST2H2BC,0.931,0.753,0.813,0.363,0.64,0.66,0.492
HIST2H2BE,4.712,2.823,1.636,4.389,3.397,11.652,2.609
HIST2H2BF,0.727,0.493,0.524,2.426,1.678,4.22,0.875
HIST2H3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST2H3C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST2H3D,1.411,0.0,0.616,0.551,0.0,1.0,0.745
HIST2H4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST2H4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST3H2A,3.646,0.0,0.531,1.898,1.672,10.34,1.284
HIST3H2BB,0.0,2.329,1.258,0.562,0.0,20.936,1.522
HIST3H3,0.0,0.519,0.56,0.0,0.0,0.0,0.0
HIST4H4,0.0,1.4,0.0,2.029,0.0,1.228,2.744
HIVEP1,2.396,3.545,2.018,2.807,2.242,2.983,1.794
HIVEP2,0.731,1.076,1.068,0.618,0.779,1.364,0.893
HIVEP3,1.367,1.057,1.186,1.465,0.878,3.007,1.038
HJURP,2.568,0.883,0.954,0.933,0.751,0.268,2.43
HK1,89.156,113.277,110.546,103.89,86.189,43.041,106.545
HK2,14.488,22.959,22.838,22.448,21.105,9.114,16.942
HK3,99.856,107.927,96.029,109.534,104.019,12.111,116.822
HKDC1,0.0,0.478,0.0,0.308,0.0,0.035,0.104
HKR1,5.587,8.762,10.397,10.087,9.621,10.409,8.387
HLA-A,711.734,719.824,475.204,616.353,462.92,659.682,711.467
HLA-B,2055.69,1394.21,1399.25,668.499,892.208,1287.86,991.849
