cohort	modality	n	n_high	n_low	underpowered	label_fdr0.25	label_fdr0.05	tj_up_fdr0.25	keratin_barrier_up_fdr0.25	emt_down_fdr0.25	focal_pos_q05	focal_neg_q05
TCGA-LUAD	bulk_rnaseq	515	129	129	False	contradicts_EMT	contradicts_EMT	True	True	False	3	0
TCGA-LUSC	bulk_rnaseq	502	126	126	False	supportive	mixed	True	True	True	5	0
TCGA-HNSC	bulk_rnaseq	520	130	130	False	supportive	supportive	True	True	True	5	0
TCGA-BLCA	bulk_rnaseq	407	102	102	False	supportive	supportive	True	True	True	5	0
TCGA-CESC	bulk_rnaseq	303	76	76	False	mixed	mixed	True	True	False	5	0
TCGA-BRCA	bulk_rnaseq	1097	275	275	False	contradicts_EMT	contradicts_EMT	True	True	False	5	0
TCGA-COAD	bulk_rnaseq	286	72	72	False	contradicts_EMT	contradicts_EMT	True	True	False	0	0
TCGA-ESCA	bulk_rnaseq	184	46	46	False	mixed	mixed	True	True	False	3	1
TCGA-STAD	bulk_rnaseq	415	104	104	False	supportive	supportive	True	True	True	5	0
TCGA-PAAD	bulk_rnaseq	178	45	45	False	contradicts_EMT	contradicts_EMT	True	True	False	5	0
TCGA-OV	bulk_rnaseq	304	76	76	False	contradicts_EMT	contradicts_EMT	True	True	False	4	0
TCGA-UCEC	bulk_rnaseq	176	44	44	False	contradicts_EMT	contradicts_EMT	True	True	False	3	0
TCGA-SKCM	bulk_rnaseq	472	118	118	False	contradicts_EMT	contradicts_EMT	True	True	False	4	1
TCGA-KIRC	bulk_rnaseq	533	134	134	False	contradicts_EMT	contradicts_EMT	True	True	False	3	1
TCGA-GBM	bulk_rnaseq	154	39	39	False	contradicts_EMT	contradicts_EMT	True	True	False	3	0
GSE207422_bulk	bulk_rnaseq	24	6	6	True	underpowered	underpowered	True	True	True	5	0
GSE31210	microarray	226	57	57	False	supportive	supportive	True	True	True	5	0
GSE131907_malignant_pseudobulk	scrna_pseudobulk	21	6	6	True	underpowered	underpowered	False	False	False	0	0
GSE207422_sc_epithelial_pseudobulk	scrna_pseudobulk	14	4	4	True	underpowered	underpowered	True	True	False	0	0
