cohort	patient_id	split	interaction_name	ligand	receptor	prob_high	prob_low	delta	detected	detected_high	detected_low	n_mal_high	n_mal_low	n_tnk	n_mal
GSE189357	TD1	median	CCL5_CCR1	CCL5	CCR1	0.0	0.0	0.0	False	False	False	1093	1093	9915	2186
GSE189357	TD1	median	CCL5_CCR5	CCL5	CCR5	0.0	0.0	0.0	False	False	False	1093	1093	9915	2186
GSE189357	TD1	median	CXCL9_CXCR3	CXCL9	CXCR3	0.0	0.0	0.0	False	False	False	1093	1093	9915	2186
GSE189357	TD1	median	CXCL10_CXCR3	CXCL10	CXCR3	0.0	0.0	0.0	False	False	False	1093	1093	9915	2186
GSE189357	TD1	median	LGALS9_CD45	LGALS9	PTPRC	0.505435490905708	0.002560858745274874	0.5028746321604332	True	True	True	1093	1093	9915	2186
GSE189357	TD1	median	LGALS9_HAVCR2	LGALS9	HAVCR2	0.0	0.0	0.0	False	False	False	1093	1093	9915	2186
GSE189357	TD1	median	LGALS9_CD44	LGALS9	CD44	0.4260944399691326	0.001861712352546246	0.42423272761658637	True	True	True	1093	1093	9915	2186
GSE189357	TD1	median	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	0.0850754263490583	0.004200187641925863	0.08087523870713244	True	True	True	1093	1093	9915	2186
GSE189357	TD1	median	CDH1_KLRG1	CDH1	KLRG1	0.0	0.0	0.0	False	False	False	1093	1093	9915	2186
GSE189357	TD1	median	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	0.15774674781301404	0.009289188782546361	0.14845755903046767	True	True	True	1093	1093	9915	2186
GSE189357	TD1	median	HLA-A_CD8A	HLA-A	CD8A	0.5170976871629908	0.4129753818520162	0.10412230531097455	True	True	True	1093	1093	9915	2186
GSE189357	TD1	median	HLA-B_CD8A	HLA-B	CD8A	0.5737773747084377	0.5155105925412401	0.058266782167197606	True	True	True	1093	1093	9915	2186
GSE189357	TD1	median	HLA-C_CD8A	HLA-C	CD8A	0.5392137186852705	0.4849164847004699	0.054297233984800575	True	True	True	1093	1093	9915	2186
GSE189357	TD1	median	NECTIN2_TIGIT	NECTIN2	TIGIT	0.15253491530797253	0.005195234885015857	0.14733968042295667	True	True	True	1093	1093	9915	2186
GSE189357	TD1	tertile	CCL5_CCR1	CCL5	CCR1	0.0	0.0	0.0	False	False	False	729	959	9915	2186
GSE189357	TD1	tertile	CCL5_CCR5	CCL5	CCR5	0.0	0.0	0.0	False	False	False	729	959	9915	2186
GSE189357	TD1	tertile	CXCL9_CXCR3	CXCL9	CXCR3	0.0	0.0	0.0	False	False	False	729	959	9915	2186
GSE189357	TD1	tertile	CXCL10_CXCR3	CXCL10	CXCR3	0.0	0.0	0.0	False	False	False	729	959	9915	2186
GSE189357	TD1	tertile	LGALS9_CD45	LGALS9	PTPRC	0.5670515677142068	0.0065665402933291865	0.5604850274208777	True	True	True	729	959	9915	2186
GSE189357	TD1	tertile	LGALS9_HAVCR2	LGALS9	HAVCR2	0.0	0.0	0.0	False	False	False	729	959	9915	2186
GSE189357	TD1	tertile	LGALS9_CD44	LGALS9	CD44	0.48757379912459975	0.004779032627125214	0.48279476649747455	True	True	True	729	959	9915	2186
GSE189357	TD1	tertile	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	0.09027835215371485	0.0	0.09027835215371485	True	True	False	729	959	9915	2186
GSE189357	TD1	tertile	CDH1_KLRG1	CDH1	KLRG1	0.0	0.0	0.0	False	False	False	729	959	9915	2186
GSE189357	TD1	tertile	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	0.15896631605360032	0.0	0.15896631605360032	True	True	False	729	959	9915	2186
GSE189357	TD1	tertile	HLA-A_CD8A	HLA-A	CD8A	0.5334904334075214	0.41586140790124393	0.11762902550627752	True	True	True	729	959	9915	2186
GSE189357	TD1	tertile	HLA-B_CD8A	HLA-B	CD8A	0.5883877386515983	0.5210864785315371	0.06730126012006121	True	True	True	729	959	9915	2186
GSE189357	TD1	tertile	HLA-C_CD8A	HLA-C	CD8A	0.556121333686716	0.4920003871464944	0.0641209465402216	True	True	True	729	959	9915	2186
GSE189357	TD1	tertile	NECTIN2_TIGIT	NECTIN2	TIGIT	0.16716559791595542	0.0	0.16716559791595542	True	True	False	729	959	9915	2186
GSE189357	TD1	q4q1	CCL5_CCR1	CCL5	CCR1	0.0	0.0	0.0	False	False	False	547	959	9915	2186
GSE189357	TD1	q4q1	CCL5_CCR5	CCL5	CCR5	0.0	0.0	0.0	False	False	False	547	959	9915	2186
GSE189357	TD1	q4q1	CXCL9_CXCR3	CXCL9	CXCR3	0.0	0.0	0.0	False	False	False	547	959	9915	2186
GSE189357	TD1	q4q1	CXCL10_CXCR3	CXCL10	CXCR3	0.0	0.0	0.0	False	False	False	547	959	9915	2186
GSE189357	TD1	q4q1	LGALS9_CD45	LGALS9	PTPRC	0.5789401597282533	0.0065665402933291865	0.5723736194349242	True	True	True	547	959	9915	2186
GSE189357	TD1	q4q1	LGALS9_HAVCR2	LGALS9	HAVCR2	0.0	0.0	0.0	False	False	False	547	959	9915	2186
GSE189357	TD1	q4q1	LGALS9_CD44	LGALS9	CD44	0.49971937441757347	0.004779032627125214	0.49494034179044827	True	True	True	547	959	9915	2186
GSE189357	TD1	q4q1	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	0.08797445667125196	0.0	0.08797445667125196	True	True	False	547	959	9915	2186
GSE189357	TD1	q4q1	CDH1_KLRG1	CDH1	KLRG1	0.0	0.0	0.0	False	False	False	547	959	9915	2186
GSE189357	TD1	q4q1	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	0.15295446860395354	0.0	0.15295446860395354	True	True	False	547	959	9915	2186
