accession,excluded_known,tier,keep_for_download,lung,io,trop2,cldn4,title,host,organisms,n_files,n_raw_files,n_proteinish_files,sources,keywords,description,pride_url,px_url,queries
MSV000084997,False,core_lung_io,True,True,True,False,False,SILAC-based quantitative proteomics analysis of lung cancer cells treated with a DNMTi drug decitabine,,,,,,omicsdi:massive,,"DNA methyltransferase inhibitors (DNMTi) has been shown to modulate pathways related to antigen processing/presentation, human leukocyte antigens (HLA), and interferon responses across different cancer types on the transcriptomic level (Li et al., 2014; Wrangle et al., 2013). Nevertheless, these transcriptomic changes may not fully reflect the alterations of surface proteins that provoke susceptibility to immunotherapy. Thus, we sought to obtain a comprehensive profile of surface proteins altered by decitabine (DAC) through isolating cell surface proteins from A549 human lung cancer cells before and after DAC treatment using EZ-link Sulfo-NHS-SS-Biotin-assisted biotinylation method, followed by SILAC-based quantitative proteomics approach.",,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=MSV000084997,id:MSV* AND (lung OR NSCLC) AND (immunotherapy OR PD-1 OR PD-L1 OR TROP2 OR CLDN4)
MSV000098356,False,core_lung_io,True,True,True,False,False,Characterization of plasma circulating small extracellular vesicles in patients with metastatic solid tumors and newly diagnosed brain metastasis,,,,,,omicsdi:massive,,"Brain metastases are critical for outcomes and quality of life in almost 50% of oncological patients, generally associated with a poor short-term prognosis. Early or preventive diagnosis of this complication represents an unmet need. There is a necessity of discovering new biomarkers that could aid to predict disease outcome.  In this study, we analyzed plasma circulating extracellular vesicles (EVs) from a cohort of 92 patients with different solid tumors (lung, breast, kidney cancer and melanoma) and found that newly diagnosed patients with brain metastases presented lower number of circulating particles and a higher protein concentration in small extracellular vesicles (sEVs) compared to patients without brain metastases and healthy controls. Out of all groups analyzed, melanoma patients with brain metastases presented decreased STAT3 activation and increased PD-L1 levels in circulating sEVs compared to patients without central nervous system metastases.  The data presented in this work suggest that circulating sEVs may represent the immunosuppressive status of newly diagnosed brain metastases characterized by the reduced phospho-STAT3 (pSTAT3) and increased PD-L1, although the origin of these molecules found in circulating sEVs remains to be uncovered.",,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=MSV000098356,id:MSV* AND (lung OR NSCLC) AND (immunotherapy OR PD-1 OR PD-L1 OR TROP2 OR CLDN4)
MSV000098579,False,core_lung_io,True,True,True,False,False,ERBB2 signaling drives immune cell evasion and resistance against immunotherapy in small cell lung cancer,,,,,,omicsdi:massive,,"Small cell lung cancer (SCLC) represents ~15% of all lung cancers and is characterized by its highly aggressive phenotype and its dismal outcome. Though the addition of immune checkpoint blockade to carboplatin and etoposide treatment has improved outcome in SCLC patients, SCLC cells finally acquire the ability to evade immunosurveillance and resistance against immune checkpoint blockade. To elaborate molecular mechanisms that mediate SCLC immune evasion, we performed high dimensional profiling of human and murine SCLC specimens. We herein comprehensively analyzed matched human samples of primary and metastatic SCLC and found a loss of MHC-I in SCLC metastases indicating that MHC-I loss mediates SCLC immune evasion. Silencing MHC-I in SCLC cells drastically diminished immune cell infiltration and facilitated the formation of metastasis in mice by circumventing immune surveillance. Using mass spectrometry and phospho-tyrosine kinase analysis, we discovered that ERBB2 signaling suppresses MHC-I expression in SCLC cells and stimulates immune modulating transcripts. Mechanistically, genetic and/or pharmacologic blockade of the ERBB2 signaling axis was sufficient to induce MHC-I expression and to prevent immune evasion in autochthonous murine SCLC in a STING-dependent manner. Finally, we demonstrate that the ERBB2 signaling axis regulates MHC-I expression on SCLC cells and is critical in maintaining immune evasion in SCLC. Most strikingly, we here uncover synergistic treatment efficacy by combining ERBB2 inhibition with PD-1 blockade eliciting profound responses in preclinical SCLC models and circumventing MHC-I loss under immunotherapy, suggesting this combination for future clinical trials in patients with SCLC.",,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=MSV000098579,id:MSV* AND (lung OR NSCLC) AND (immunotherapy OR PD-1 OR PD-L1 OR TROP2 OR CLDN4)
PXD009041,False,core_lung_io,True,True,True,False,False,Functional proteomics of midostaurin in lung cancer cells: Phosphotyrosine Profiling,PRIDE,Homo sapiens (human),73,12,61,pride,Tyrosine phosphorylation;Midostaurin;Lung cancer,"Lung cancer is associated with high prevalence and mortality, and despite significant successes with targeted drugs in genomically defined subsets of lung cancer and immunotherapy, the majority of patients currently does not benefit from these therapies. Through a targeted drug screen, we found the recently approved multi-kinase inhibitor midostaurin to have potent activity in several lung cancer cells independent of its intended target, PKC, or a specific genomic marker. To determine the underlying mechanism of action we applied a layered functional proteomics approach and a new data integration method. Using chemical proteomics, we identified multiple midostaurin kinase targets in these cells. Network-based integration of these targets with quantitative tyrosine and global phosphoproteomics data using protein-protein interactions from the STRING database and NetworKIN substrate prediction suggested multiple targets are relevant for the mode of action of midostaurin. Subsequent functional validation using RNA interference and selective small molecule probes showed that simultaneous inhibition of TBK1, PDK1 and AURKA was required to elicit midostaurin’s cellular effects. Immunoblot analysis of downstream signaling nodes showed that combined inhibition of these targets altered PI3K/AKT and cell cycle signaling pathways that in part converged on PLK1. Furthermore, rational combination of midostaurin with the more potent PLK1 inhibitor BI2536, which is in advanced clinical trials, elicited strong synergy. Our results demonstrate that combination of complementary functional proteomics approaches and subsequent network-based data integration can reveal novel insight into the complex mode of action of multi-kinase inhibitors, actionable targets for drug discovery and cancer vulnerabilities. Finally, we illustrate how this knowledge can be utilized for the rational design of synergistic drug combinations with high potential for clinical translation.",https://www.ebi.ac.uk/pride/archive/projects/PXD009041,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD009041,keyword:immunotherapy
PXD010657,False,core_lung_io,True,True,True,False,False,Inverse data-driven modelling and multiomics analysis reveals PHGDH as a metabolic signature of M2 macrophages,PRIDE,Mus musculus (mouse),26,8,17,pride,Macrophages;Metabolic modelling;Metabolomics;Biochemical jacobian;Tor;Tsc2;Serin pathway,"Activation of immune cells is accompanied by a metabolic reconfiguration of their cellular energy metabolism including shifts in glycolysis and mitochondrial respiration that critically regulate functional effector responses. However, while current mass spectrometry strategies identify overall or flux-dependent metabolite profiles of cells or tissues, they fail to comprehensively identify the checkpoint nodes and enzymes that are responsible for different metabolic outputs. Here, we demonstrate that a data-driven inverse modelling approach from mass spectrometry metabolomics data can be used to identify a causal biochemical node that influence overall metabolic profiles and reactions. In our study we applied this strategy to TSC2/mTORC1-dependent macrophage polarization. Using multiomics metabolomics, proteomics and transcriptomics analysis as well as enzymatic activity measurements we demonstrate that TSC2, a negative regulator of mTORC1 signaling, critically influences the cellular metabolism of macrophages by regulating the enzyme phosphoglycerate dehydrogenase (PHGDH), a rate-limiting enzyme that diverts carbon from glycolysis for de novo serine/glycine biosynthesis. This is the first evidence that the metabolic kinase mTORC1 positively regulates PHGDH activity in macrophages. Importantly, PHGDH itself is a central regulator of macrophage polarization. Anti-inflammatory (M2) macrophages have high PHGDH activity that is required for the expression of typical anti-inflammatory molecules. Inhibition of PHGDH activity suppressed marker genes in IL-4 stimulated M2 macrophages. This identifies PHGDH as a metabolic signature of M2 macrophages. The presented concept of data-driven inverse modelling and multiomics analysis allows for the systematic integration of genome-scale metabolic reconstruction, prediction and analysis of causal biochemical regulation.",https://www.ebi.ac.uk/pride/archive/projects/PXD010657,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010657,keyword:checkpoint
PXD010786,False,core_lung_io,True,True,True,False,False,Functional proteomics of midostaurin in lung cancer cells: IMAC Phosphoproteomics,PRIDE,Homo sapiens (human),100,21,79,pride,Phosphoproteomics;Lung cancer;Midostaurin,"Lung cancer is associated with high prevalence and mortality, and despite significant successes with targeted drugs in genomically defined subsets of lung cancer and immunotherapy, the majority of patients currently does not benefit from these therapies. Through a targeted drug screen, we found the recently approved multi-kinase inhibitor midostaurin to have potent activity in several lung cancer cells independent of its intended target, PKC, or a specific genomic marker. To determine the underlying mechanism of action we applied a layered functional proteomics approach and a new data integration method. Using chemical proteomics, we identified multiple midostaurin kinase targets in these cells. Network-based integration of these targets with quantitative tyrosine and global phosphoproteomics data using protein-protein interactions from the STRING database suggested multiple targets are relevant for the mode of action of midostaurin. Subsequent functional validation using RNA interference and selective small molecule probes showed that simultaneous inhibition of TBK1, PDK1 and AURKA was required to elicit midostaurin’s cellular effects. Immunoblot analysis of downstream signaling nodes showed that combined inhibition of these targets altered PI3K/AKT and cell cycle signaling pathways that in part converged on PLK1. Furthermore, rational combination of midostaurin with the more potent PLK1 inhibitor BI2536, which is in advanced clinical trials, elicited strong synergy. Our results demonstrate that combination of complementary functional proteomics approaches and subsequent network-based data integration can reveal novel insight into the complex mode of action of multi-kinase inhibitors, actionable targets for drug discovery and cancer vulnerabilities. Finally, we illustrate how this knowledge can be utilized for the rational design of synergistic drug combinations with high potential for clinical translation.",https://www.ebi.ac.uk/pride/archive/projects/PXD010786,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010786,keyword:immunotherapy
PXD010787,False,core_lung_io,True,True,True,False,False,Project Name: Functional proteomics of midostaurin in lung cancer cells: Chemical Proteomics,PRIDE,Homo sapiens (human),100,20,80,pride,Drug pulldown;Midostaurin;Chemical proteomics;Lung cancer,"Lung cancer is associated with high prevalence and mortality, and despite significant successes with targeted drugs in genomically defined subsets of lung cancer and immunotherapy, the majority of patients currently does not benefit from these therapies. Through a targeted drug screen, we found the recently approved multi-kinase inhibitor midostaurin to have potent activity in several lung cancer cells independent of its intended target, PKC, or a specific genomic marker. To determine the underlying mechanism of action we applied a layered functional proteomics approach and a new data integration method. Using chemical proteomics, we identified multiple midostaurin kinase targets in these cells. Network-based integration of these targets with quantitative tyrosine and global phosphoproteomics data using protein-protein interactions from the STRING database suggested multiple targets are relevant for the mode of action of midostaurin. Subsequent functional validation using RNA interference and selective small molecule probes showed that simultaneous inhibition of TBK1, PDK1 and AURKA was required to elicit midostaurin’s cellular effects. Immunoblot analysis of downstream signaling nodes showed that combined inhibition of these targets altered PI3K/AKT and cell cycle signaling pathways that in part converged on PLK1. Furthermore, rational combination of midostaurin with the more potent PLK1 inhibitor BI2536, which is in advanced clinical trials, elicited strong synergy. Our results demonstrate that combination of complementary functional proteomics approaches and subsequent network-based data integration can reveal novel insight into the complex mode of action of multi-kinase inhibitors, actionable targets for drug discovery and cancer vulnerabilities. Finally, we illustrate how this knowledge can be utilized for the rational design of synergistic drug combinations with high potential for clinical translation.",https://www.ebi.ac.uk/pride/archive/projects/PXD010787,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010787,keyword:immunotherapy
PXD011885,False,core_lung_io,True,True,True,False,False,Proteomics of Mouse Syngeneic Models,PRIDE,Mus musculus (mouse),100,99,1,pride,Mouse sygeneic;Immuno-oncology;Tumor,"The cell line-derived xenografts and patient derived xenografts have limited use in cancer immunotherapy evaluation because an immune compromised host is required for xenotransplantation. Syngeneic mouse models are derived by transplanting established mouse cell lines or tumor tissues to strain matched mouse hosts, which are better suited to study the interplay between immune and tumor cells. We investigated the differences as well as similarities  of a panel of ten mouse syngeneic models to features of human tumors by proteomics, which will provide valuable information to assist experimental biologists in model selection.",https://www.ebi.ac.uk/pride/archive/projects/PXD011885,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD011885,keyword:immunotherapy
PXD013649,False,core_lung_io,True,True,True,False,False,non-canonical HLA peptides in cancer,PRIDE,Homo sapiens (human),96,85,11,pride,Non-canonical translation products;Mass spectrometry;Cancer immunotherapy;Immunopeptidomics;Antigen discovery,"Efforts to precisely identify tumor human leukocyte antigen presented peptides (HLAp) capable of mediating T cell based tumor rejection still face important challenges. Recent reports suggest that non-canonical cancer HLAp could be immunogenic but their identification requires highly sensitive and accurate mass-spectrometry (MS)-based proteogenomics approaches. Here, we present a novel MS-based analytical pipeline that can precisely characterize the non-canonical HLAp repertoire, incorporating whole exome sequencing, bulk and single cell transcriptomics, ribosome profiling, and a combination of two MS/MS search tools. This approach results in the accurate identification of hundreds of shared and tumor-specific non-canonical HLAp. Albeit often at low levels and in distinct subpopulations of cells, numerous non-canonical HLAp are shared across tumors. This analytical platform holds great promise for the discovery of novel cancer antigens for cancer immunotherapy.",https://www.ebi.ac.uk/pride/archive/projects/PXD013649,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD013649,keyword:immunotherapy
PXD014197,False,core_lung_io,True,True,True,False,False,The heat shock protein family A (HSPA8) acts as a surface receptor of alveolar macrophages specific for recognition and phagocytosis of Lichtheimia corymbifera spores,PRIDE,Lichtheimia corymbifera jmrc:fsu:9682;Mus musculus (mouse),100,26,63,pride,Hspa8;Mass spectrometry;Alveolar macrophages;Surface receptor;Lichtheimia corymbifera;Biotinylation,"Mucormycosis is a life-threatening disease especially in immunocompromised patients  that was caused my mucoralean fungi. The rate of mortality is tremendously increased  in the last decades due to the lack of appropriate diagnostic tools, insufficient  knowledge about the immune response toward the mucormycosis and unavailability of  specific antifungal drugs. Several species of mucoralean fungi cause mucormycosis  such as Lichtheimia, Rhizopus, and Mucor. Lichtheimia species ranks the second and  third cause of mucormycosis in Europe and the USA, respectively. In this study, we  investigated the receptors present on the surface of immune cells that bind to the  spores of Lichtheimia. We focus on two strains of L. corymbifera (FSU:9682 and  FSU:10164) using resting and heat-killed spores. Additionally, we choose alveolar  macrophages (MH-S) to carry out our experiment. MH-S is the first line of defense in  the lung and the major component in the innate immune system. MH-S surface proteins  were biotinylated and incubated with Lichtheimia spores. The surface proteins and  putative binding partners were enriched by streptavidin. LC-MS/MS analysis showed  that several proteins are highly expressed in presence of Lichtheimia spores, of  which the heat shock protein family A (HSPA8) was one of the most abundant proteins.  FACS analysis and immunofluorescence examination confirmed that HSPA8 is highly  abundant on the surface of the MH-S, but not on the surface of Lichtheimia spores.  Moreover, our study showed that the intensity of HSPA8 on the surface of MH-S  depends on the multiplicity of infection (MOI). Additionally, the blocking with  anti-HSPA8 antibody reduced the capability of MH-S to engulf the Lichtheimia spores,  but not Aspergillus fumigatus spores. This confirms that HSPA8 is specific to  Lichtheimia. THis is the first study addressing the determination of surface  receptors of alveolar macrophages that in the context of Mucoralean fungi.",https://www.ebi.ac.uk/pride/archive/projects/PXD014197,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD014197,keyword:PD1
