accession,category,n_samples,n_suppl,n_processed_candidates,status,title
GSE115246,LUNG_ICI_methylation,81,3,0,Methylation anti-PD-1; not mRNA of target genes.,"Epigenetic prediction of response to anti-PD-1 treatment in non-small-cell lung cancer: a multicenter, retrospective analysis"
GSE117570,LUNG_ICI_single_cell,8,2,0,RAW.tar only; treatment-naive early NSCLC. Not computed.,Reprogramming of Tumor-infiltrating Immune Cells in Early Stage of NSCLC
GSE118933,LUNG_ICI_cellline_invitro,18,1,1,"IPF fibroblasts, not ICI.",Immune Checkpoint Regulation of Pulmonary Fibrosis [bulk RNA-seq]
GSE119144,LUNG_ICI_methylation,60,2,0,Methylation; not mRNA.,DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load
GSE120028,LUNG_ICI_other,19,2,0,3'SAGE mixed tumors; RAW.tar only. Not computed.,"Transcriptomic analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody  [3'SAGE-seq]"
GSE120101,LUNG_ICI_other,105,2,0,TCR-seq. Not gene expression.,"T-cell receptor repertoire analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody [TCR-seq]"
GSE124885,LUNG_ICI_other,4,6,4,Pediatric autoimmune BAL; not ICI.,"A CD4 T cell population expand and reshape autoreactive B cells, contributing to autoimmune lung pathology and post-infection autoimmunity in children"
GSE126043,LUNG_ICI_methylation,18,3,1,Methylation beta; not mRNA.,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer
GSE126045,LUNG_ICI_methylation,34,2,0,SuperSeries methylation; not mRNA.,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer
GSE127465,LUNG_ICI_single_cell,40,9,0,scRNA mtx (myeloid atlas); not ICI-outcome cohort.,Single cell transcriptomics of human and mouse lung cancers reveals conserved myeloid populations across individuals and species
GSE127825,LUNG_ICI_other,6,2,0,RAW.tar only.,Noncoding regions are the main source of targetable tumor-specific antigens
GSE128822,LUNG_ICI_single_cell,10,1,1,Treg subset counts; TACSTD2/CLDN4 absent.,High-dimensional single cell analysis reveals an effector Treg molecular program that correlates with lung cancer progression
GSE129380,LUNG_ICI_cellline_invitro,24,2,0,ChIP-seq; not mRNA.,An evolutionarily conserved function of polycomb silences the MHC class I antigen presentation pathway and enables immune evasion in cancer [ChIP-Seq]
GSE129381,LUNG_ICI_cellline_invitro,30,2,2,Mouse/human cell-line counts; TACSTD2 all-zero in human QuantSeq row; not patient ICI.,An evolutionarily conserved function of polycomb silences the MHC class I antigen presentation pathway and enables immune evasion in cancer [RNA-Seq]
GSE129968,LUNG_ICI_cellline_invitro,12,1,1,H358 cell-line PD-L1 high/low; not patient ICI.,EIF5B drives integrated stress response-dependent translation of PD-L1 in lung cancer
GSE131933,LUNG_ICI_single_cell,8,3,3,"COMPUTED descriptive: tumor-cell means at D0; T1D7 958MB downloaded, genes absent there. Ex-vivo, not clinical survival.",Effects of durvalumab alone or combined with tremelimumab on preexisting cells in the tumor microenvironment
GSE133715,LUNG_ICI_cellline_invitro,24,2,0,Cell-line KEAP1; RAW.tar.,"Transcriptional profiling of HCC515 lung cells with dox-inducible KEAP1 knockdown and/or STK11 re-addition, under different metabolic tstress conditions"
GSE135976,LUNG_ICI_cellline_invitro,4,2,0,Cell-line; RAW.tar.,MET regulates expression of co-stimulatory and co-inhibitory molecules in tumor cells and contributes to suppression of immune cell function
GSE136932,LUNG_ICI_cellline_invitro,24,2,0,Cell-line pirfenidone; RAW.tar.,Effect of Pirfenidone on NSCLC [A549/H1975 0.75 mg/ml Pirf]
GSE136933,LUNG_ICI_cellline_invitro,6,2,0,Cell-line; RAW.tar.,Effect of Pirfenidone on NSCLC  [A549 1.5 mg/ml Pirf 6hrs]
GSE136934,LUNG_ICI_cellline_invitro,8,2,0,Cell-line; RAW.tar.,Effect of Pirfenidone on NSCLC [A549 1.5 mg/ml Pirf 24hrs]
GSE138571,LUNG_ICI_methylation,10,2,0,CRISPR screen; not patient ICI expression.,In vivo epigenetic CRISPR screen identifies Asf1a as an immunotherapeutic target in Kras-mutant lung adenocarcinoma
GSE139327,LUNG_ICI_other,28,5,5,HIV BAL/PBMC DE tables; not ICI.,Contrasting inflammatory signatures in peripheral blood and bronchoalveolar cells reveal compartment-specific effects of HIV infection
GSE141383,LUNG_ICI_single_cell,9,2,0,Glioblastoma; not lung.,Single-cell characterization of macrophages in glioblastoma reveals MARCO as a mesenchymal pro-tumor marker
GSE141479,LUNG_ICI_other,74,2,0,"REVISITED blood: 57MB series_matrix downloaded; probe IDs, gene symbols absent; no response/PFS.",Combination of host immune metabolic biomarkers for the PD-1 blockade cancer immunotherapy
GSE142620,LUNG_ICI_methylation,36,2,0,In-vitro EMT; RAW.tar.,Chronic IL-1β-induced inflammation regulates epithelial-to-mesenchymal transition memory phenotypes via epigenetic modifications in non-small cell lung cancer
GSE144945,LUNG_ICI_single_cell,10,2,0,RAW.tar only. Not computed.,Dysregulation of TFH-B-TRM lymphocyte cooperation is associated with unfavorable anti-PD-1 responses in EGFR-mutant lung cancer
GSE145896,LUNG_ICI_single_cell,8,1,1,COMPUTED: genes in PD-1+ TIL CD28+/- subsets (not patient ICI endpoint).,PD-1 blockade-unresponsive human tumor-infiltrating CD8+ T cells are marked by loss of CD28 expression and rescued by IL-15
GSE146100,LUNG_ICI_single_cell,3,1,1,"COMPUTED descriptive: scRNA per-nodule means, n=3/1 patient. No inferential test.",Distinct Immune-microenvironment Construction Diversely Responded to Induction Immunotherapy among Multiple Primary Lung Adenocarcinoma
GSE148944,LUNG_ICI_other,67,1,0,Oral tongue SCC; not lung ICI outcome.,Characterization of the immune profile of oral tongue squamous cell carcinomas with advancing disease
GSE150972,LUNG_ICI_other,1,2,0,n=1 neoantigen; RAW.tar.,Identification of clonal neoantigens derived from driver mutations in an EGFR mutated lung cancer patient benefitting from anti-PD-1
GSE152590,LUNG_ICI_single_cell,8,1,1,REVISITED blood: processed TPM downloaded; TACSTD2 and CLDN4 absent.,RNA seq data of CD8+ T cells in peripheral blood lymphocytes from melanoma and lung cancer patients
GSE153051,LUNG_ICI_cellline_invitro,2,2,0,n=2 cell-line; RAW.tar.,PD-L1 lncRNA splice promotes lung adenocarcinoma proliferation and metastasis via enhancing c-Myc activity
