	ensembl
TACSTD2	ENSG00000184292
AMOT	ENSG00000126016
AMOTL1	ENSG00000166025
AMOTL2	ENSG00000114019
ANK3	ENSG00000151150
AOC1	ENSG00000002726
APC	ENSG00000134982
BVES	ENSG00000112276
CDH5	ENSG00000179776
CGN	ENSG00000143375
CLDN1	ENSG00000163347
CLDN10	ENSG00000134873
CLDN11	ENSG00000013297
CLDN12	ENSG00000157224
CLDN14	ENSG00000159261
CLDN15	ENSG00000106404
CLDN16	ENSG00000113946
CLDN17	ENSG00000156282
CLDN18	ENSG00000066405
CLDN19	ENSG00000164007
CLDN2	ENSG00000165376
CLDN20	ENSG00000171217
CLDN22	ENSG00000177300
CLDN23	ENSG00000253958
CLDN24	ENSG00000185758
CLDN25	ENSG00000228607
CLDN3	ENSG00000165215
CLDN34	ENSG00000234469
CLDN4	ENSG00000189143
CLDN5	ENSG00000184113
CLDN6	ENSG00000184697
CLDN7	ENSG00000181885
CLDN8	ENSG00000156284
CLDN9	ENSG00000213937
CLMP	ENSG00000166250
CRB3	ENSG00000130545
CXADR	ENSG00000154639
CYTH1	ENSG00000108669
CYTH3	ENSG00000008256
DDX58	ENSG00000107201
DLG1	ENSG00000075711
ECT2	ENSG00000114346
EPCAM	ENSG00000119888
EPPK1	ENSG00000261150
F11R	ENSG00000158769
FRMD4A	ENSG00000151474
FRMD4B	ENSG00000114541
FRMPD2	ENSG00000170324
IGSF5	ENSG00000183067
JAM2	ENSG00000154721
JAM3	ENSG00000166086
JAML	ENSG00000160593
MAGI2	ENSG00000187391
MARVELD2	ENSG00000152939
MARVELD3	ENSG00000140832
MICALL2	ENSG00000164877
MPP7	ENSG00000159259
MTDH	ENSG00000147649
OCLN	ENSG00000197822
PALS1	ENSG00000072415
PARD3	ENSG00000148498
PARD6A	ENSG00000102981
PARD6B	ENSG00000124171
PARD6G	ENSG00000178184
PATJ	ENSG00000132849
POF1B	ENSG00000124429
PRKCI	ENSG00000163558
RAB13	ENSG00000143545
RAP2B	ENSG00000181467
RAP2C	ENSG00000123728
RAPGEF2	ENSG00000109756
SH3BP1	ENSG00000100092
SHROOM2	ENSG00000146950
STRN	ENSG00000115808
TBCD	ENSG00000141556
TGFBR1	ENSG00000106799
TJP1	ENSG00000104067
TJP2	ENSG00000119139
TJP3	ENSG00000105289
UBN1	ENSG00000118900
VAPA	ENSG00000101558
WNK3	ENSG00000196632
WNK4	ENSG00000126562
YBX3	ENSG00000060138
