cohort	patient	n_total	n_epithelial	n_mal_high	n_mal_low	n_TNK	n_T	n_CXCL13pos_T	cldn4_median	mean_CLDN4_epithelial	eligible_TNK	eligible_CXCL13T	gate
GSE148071	P22	644	153	76	77	231	178	9	2.4976985454559326	2.254498243331909	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P23	2387	1466	598	868	32	25	3	0.0	0.7032957077026367	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P24	386	88	42	46	64	59	5	0.0	1.0395163297653198	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P25	4029	3212	1606	1606	2	1	0	1.2224781513214111	1.154911756515503	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P26	570	69	34	35	82	66	0	2.2395665645599365	1.7525181770324707	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P27	707	34	17	17	87	66	13	0.626962423324585	1.5466817617416382	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P28	2373	693	346	347	64	57	0	1.904723882675171	1.7190701961517334	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P29	969	337	168	169	1	0	0	0.9243457913398743	0.8943350315093994	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P30	742	563	281	282	4	4	2	0.8940805792808533	0.9693586230278015	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P31	387	339	169	170	4	4	0	1.672812819480896	1.4660685062408447	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P32	595	381	190	191	79	76	0	2.7925589084625244	2.588397741317749	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P33	350	311	155	156	0	0	0	2.3640480041503906	2.138610363006592	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P34	972	428	214	214	14	13	6	1.053239107131958	0.989711582660675	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P35	1079	673	336	337	15	15	0	0.9544296860694885	0.9373621344566345	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P36	500	155	67	88	3	3	0	0.0	0.8049286603927612	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P37	2486	16	1	15	43	30	7	0.0	0.06416956335306168	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P38	1358	179	89	90	150	98	3	1.689715027809143	1.4660454988479614	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P39	1896	511	255	256	227	214	12	1.5411001443862915	1.3962640762329102	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P40	1155	284	142	142	373	289	5	1.7995144128799438	1.7053195238113403	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P41	6222	5471	2735	2736	3	3	0	1.503844141960144	1.3851574659347534	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P42	1001	151	14	137	454	419	135	0.0	0.09973248839378357	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P01	4741	588	294	294	674	482	7	2.2579002380371094	2.05611252784729	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P02	5345	107	53	54	2899	2796	199	2.151285171508789	1.9163539409637451	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P03	9259	804	402	402	5060	4692	2133	1.1436527967453003	1.0828747749328613	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P04	8398	145	72	73	5616	5205	1015	1.7016154527664185	1.4964123964309692	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P05	3113	1484	742	742	813	732	134	0.741814374923706	0.8954183459281921	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P06	4649	64	32	32	2924	2575	741	1.700814127922058	1.5623774528503418	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P07	9131	5121	2560	2561	1087	926	104	1.677560806274414	1.6801241636276245	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P08	5825	190	95	95	3174	3040	19	1.8442918062210083	1.5902822017669678	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P09	4849	271	135	136	3283	3080	1548	1.5280393362045288	1.7184779644012451	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P10	6643	208	104	104	4080	3546	1227	0.9173206090927124	1.049410343170166	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P11	3759	439	219	220	1690	1383	113	1.9561278820037842	1.8974274396896362	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P12	6233	482	241	241	1386	1284	387	0.6159108877182007	0.8651391863822937	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P13	6753	35	17	18	1347	1271	92	1.8018492460250854	1.657923698425293	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P14	5546	186	93	93	2863	2636	253	1.5639746189117432	1.4671915769577026	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE207422	P15	8086	545	272	273	1525	1071	41	1.5655882358551025	1.4553238153457642	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE253013	MRC001	7620	158	79	79	639	644	95	1.4877331256866455	1.3054519891738892	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE253013	MRC002	5073	189	94	95	888	1016	17	1.3688511848449707	1.1763771772384644	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE253013	MRC003	6459	19	9	10	842	835	2	1.1375422477722168	1.0544211864471436	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE253013	MRC004	34860	338	169	169	22307	20630	2816	1.3261833190917969	1.1837658882141113	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE253013	MRC006	20766	28	11	17	10924	10841	2182	0.0	0.5373737215995789	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE253013	MRC007	20389	300	150	150	7640	6388	1087	1.627288818359375	1.5459637641906738	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE253013	MRC008	19723	115	57	58	4659	4553	89	1.7407218217849731	1.6673780679702759	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE253013	MRC009	29029	99	49	50	11394	10558	722	1.6630414724349976	1.6627379655838013	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE253013	MRC010	33286	711	355	356	15456	14262	1343	1.746896505355835	1.6361322402954102	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
