accession	n_samples	n_char_keys	has_response_labels	response_like_keys
GSE100860	14	3	False	
GSE101929	66	13	False	
GSE102286	179	11	False	
GSE106420	12	6	False	
GSE108819	9	4	False	
GSE109010	12	4	False	
GSE109020	4	4	False	
GSE110390	159	4	False	
GSE111360	35	5	True	treatment
GSE113972	7	5	False	
GSE115305	12	6	False	
GSE121682	12	5	False	
GSE124199	14	11	False	
GSE72094	442	24	True	vital_status
GSE81089	218	12	True	vital_date
GSE84789	192	5	False	
GSE84797	29	6	False	
GSE90728	68	4	False	
GSE90729	41	4	False	
GSE91061	109	5	True	response;visit_(pre_or_on_treatment)
GSE93157	65	17	True	best.resp;drug;pfs;pfse;response
GSE99254	14	4	False	
GSE99531	37	5	False	
