	OVCAR3 Cells					
	WT	WT	WT	CLDN4 KD	CLDN4 KD	CLDN4 KD
compound	DS2-026-001+	DS2-026-002+	DS2-026-003+	DS2-026-004+	DS2-026-005+	DS2-026-006+
L-alanine	1692345.62	1429751	2073386	1413125.5	1527271.38	2406127.5
L-arginine	5773253.5	4132678.75	4244693.5	5863876	6532252	5668031.5
L-asparagine	423264.53	726156.19	785719.56	829035.94	1076384.12	972101.94
L-aspartate	31361432	24396816	20560894	29137394	33890028	20054506
L-cysteine	263486.5	452230.41	468684	381188.5	503878	608412
L-glutamate	103060904	83469240	119252584	115229464	81223168	112420696
L-glutamine	1838126.62	4372680.5	2384053.75	4196525.5	6102878.5	4031977.75
glycine	2277713.25	531890.56	3078940	2951712.25	1117387.38	2421363.75
L-histidine	430429.41	685944.19	622598.31	505262.34	640247.56	715242.44
L-leucine/isoluecine	30901750	48701708	47374752	38911724	38205884	50919828
L-lysine	2506980	2396678.75	2929619.75	2900538.75	2472459	2968027.25
L-methionine	3310830	5129018.5	4492252.5	3993480.75	3980265.25	5940925.5
L-phenylalanine	5023281.5	5896917.5	6012796	5796366.5	6201988.5	6007673.5
L-proline	76626552	77133000	86255392	77960072	70557392	92842152
L-serine	1071667.12	342851.5	835503.19	1221679.88	561752.12	597104.69
L-threonine	745411.69	797550.19	1041433.56	933444.06	705867.31	1177801
L-tryptophan	11384235	12140300	9261055	10952701	12190137	9881409
L-tyrosine	4264966	5273907.5	6965192	4551776	5429781.5	6289216
L-valine	26775184	36984844	24967498	34332164	34649964	25795222
L-cystine	33249.55	17282.62	26204.36	46112.63	6929.31	17459.65
ATP	26468302	23174958	41086436	63167012	49845116	62394400
AMP	7333158.5	10265231	3992927.75	1104615.38	268519.41	1054353.38
dAMP	995469.31	1010358.81	1013311.5	847016	696424	389325.47
Adenosine	259557.25	289975.84	259313.8	248993.52	244518.89	243033.75
Adenine	528170.19	895543.69	843720.44	383979.66	146025.88	402989.75
GTP	2379691.5	1835515.38	3148610.75	3726868.75	3712750	4296346.5
GDP	3503336.25	3015192	3246866.75	2455435.75	2545402	3000372.25
Guanine	122449.79	155918.58	171652.45	144024.45	128726.23	182330.42
CTP	3191872.25	2873070.75	5231872.5	6923533.5	4660532.5	5916133.5
CDP	4511999	4048854	5112190	4782028	2729798	4264613.5
CMP	896894.94	422567.34	834673.56	229196.92	7314.86	225383.75
dCMP	20180.4	36958.11	23760.41	24462.55	26724.07	21287.92
Cytidine	1621615.62	925455.44	1684058.62	2221255.75	2578755.5	2293506.25
Thymidine	141241.86	261105.75	244269.52	237054.14	258470.19	342937.62
UTP	12473371	10305654	17006374	24770146	16086316	18068050
UDP	20749772	19869922	24812778	25250190	16749347	23021464
UMP	3562107.75	2612949.25	2014621.38	758765.19	115063.06	478514.91
Uracil	295919.84	231260.31	363887.78	367590	390130.09	360043.16
ITP	183274.55	94346.12	46186.32	146467.78	0	0
IDP	123689.96	45890.32	120111.71	117949.88	46278.05	155192.7
IMP	765114.69	358282.88	343848.91	292390.91	91553.77	420666.59
Inosine	1503954.5	1533539.12	1469816.38	1535228.5	1247002.88	986920.44
Hypoxanthine	13801951	13559588	18257190	13723952	9191450	15292663
Xanthine	57211.18	57040	63940.51	42755.82	34506.21	70582.34
5-Hydroxyisourate	87505.02	407062.72	186531.64	293296.09	389539.03	272113.16
Allantoate	79071.32	128042.59	258227.69	116135.53	46496.96	75565.34
5'-Phosphoribosyl-N-formylglycinamide	1508434.88	6246687.5	1400161.88	2933561	3999054.25	1837855.38
5-6-Dihydrothymine	391460.25	397039.59	437876.91	315502.19	266931.41	369656.91
4-Pyridoxate	552501.5	773330.5	764349.06	558774.94	380907.75	650397.31
Nicotinamide	3740845.25	2902608.25	2953044.75	4925468.5	3328056.75	4996972.5
UDP-glucose	10125129	7911651.5	13087424	10485420	4945857.5	7098716
ADP-D-ribose	172851.73	431974.88	296562.59	254825.12	432789.5	530795.62
NADP+	318573.16	141830.19	476376.41	309476.91	430837.16	311626.25
NAD+	10125337	10380628	12230427	12832731	10713655	12922776
NADH	480058.75	451374.5	576962.62	643216.44	590503.69	683849.31
Phosphate	197647424	186887872	173529024	155251456	179436672	121756728
Diphosphate	29929578	31849722	26384992	23597280	20461098	20837738
D-Glucose	14606021	15700512	18344078	9316859	9903673	11763148
D-Hexose-phosphate	3017993	5721308.5	4242302	2331814	4269972	2827572.25
D-Fructose 1-6-bisphosphate	3042972.25	8486565	8106250	3325725.25	8329394	4275693.5
D-Glyceraldehyde 3-phosphate/Glycerone phosphate	568784	1190530.12	1344033	445462.84	2172414.25	821629.81
1-3-Bisphosphoglycerate	426856.38	197669.7	545541.19	1085011.12	851432.31	718968
2/3-Phospho-D-glycerate	859189.75	2115553	1370349.62	1001555	3595747.25	1482318.88
