	OVCA429 Cells					
	WT	WT	WT	CLDN4 KD	CLDN4 KD	CLDN4 KD
compound	DS2-041-001+	DS2-041-002+	DS2-041-003+	DS2-041-004+	DS2-041-005+	DS2-041-006+
L-alanine	3836680	2911700	4268960	7060834	3375735	9301574
L-arginine	13024717	13060240	12083693	4489164	12980396	15693904
L-asparagine	1091188	1189868	1546986	1805597	978435	2925022
L-aspartate	27705008	22444114	20861762	16564516	19594230	21992462
L-cysteine	517121	165798	180381	170193	276949	422138
L-glutamate	41640644	44715236	39299332	70300184	54265452	60016876
L-glutamine	2752012	2087131	4367734	4507660	1838473	3726551
glycine	1622663	1223771	2323126	3117828	1829426	4302728
L-histidine	763439	690256	452878	572509	801589	1230153
L-leucine/isoluecine	58084372	40181568	27154214	41015888	58833536	75435512
L-lysine	6048903	6056031	2741384	2517665	6635602	7498478
L-methionine	5244682	4053288	2605220	4017228	5498558	7006329
L-phenylalanine	7270882	5263252	2917667	4963687	7290500	8103961
L-proline	98163688	72648408	64563052	112303520	81788448	87694248
L-serine	719614	649633	1135343	1243791	660250	1633742
L-threonine	1740712	1436749	1082606	1437287	1456479	2298081
L-tryptophan	17436534	11833159	5156743	8631660	16267949	16146593
L-tyrosine	8630867	6568927	4301167	5591313	9190998	10994627
L-valine	17761794	17317668	14259947	25496914	21239010	20007452
L-cystine	53143	37311	56181	105229	63585	100062
ATP	3211414	3816406	6920683	4031877	3912582	10550260
AMP	25408694	22112904	6911888	24568432	26207550	17761586
Adenosine	1114620	2129304	589633	601938	1340003	419451
GTP	245981	525284	900217	632087	538694	1215379
GDP	1347732	1670711	1349505	2661063	2349459	3295988
GMP	2315377	1259795	1363695	3570578	2674024	4424266
Guanine	144509	110029	52178	66042	111398	137721
CTP	186842	335089	696677	529949	392738	923290
CDP	971491	976612	1071486	2417761	1420796	2479586
Thymidine	154308	47918	107374	200672	74351	107203
UTP	780059	1285370	3522528	1857300	1462935	2864352
UDP	3704991	4627321	5576245	8476809	5750111	7801912
Uracil	172988	228240	195167	266282	372785	66372
IMP	307061	251838	167769	81398	616586	922965
Inosine	4338279	2122250	1976287	3508944	4569400	9049265
Hypoxanthine	9131913	6752813	5043656	13089701	7433783	7483395
Xanthine	135686	58845	191749	35164	101598	73662
Urate	96953	87504	88912	125319	217038	211774
Allantoate	673233	555658	482960	588432	514638	648238
5-6-Dihydrothymine	107466	96277	104111	153390	130958	151676
4-Pyridoxate	622555	654973	416853	750287	425630	727460
Nicotinamide	4961851	4288000	2011213	2881020	4649492	2353979
Adenylosuccinic acid	469730	400945	49831	470688	495634	263061
UDP-glucose	6441051	5580046	3680319	10854029	7921652	11632888
ADP-D-ribose	456306	332352	1078979	158398	413010	431451
NADP+	170887	65871	407281	420712	356653	772449
NAD+	4979664	4328072	4524611	9598816	5518869	11151756
NADH	315479	169634	168078	440311	295034	566955
Phosphate	250973040	291776480	213077248	196011920	267628800	186044304
Diphosphate	39857532	64434724	33045818	34749920	57787460	27116072
D-Glucose	5801359	4095034	3495691	7574636	5963022	11096349
D-Hexose-phosphate	4712762	3624534	4869737	4692157	4726714	4470377
D-Fructose 1-6-bisphosphate	6725033	5935545	12260659	6638213	9185188	7495652
D-Glyceraldehyde 3-phosphate/Glycerone phosphate	2413525	1992706	5463006	1172463	1958998	1234813
1-3-Bisphosphoglycerate	328189	2832043	901022	1728614	3882519	1354204
2/3-Phospho-D-glycerate	12546725	9008897	13298148	2451530	9182740	4411613
Phosphoenolpyruvate	768219	770961	751037	256022	1093368	303191
Pyruvate	1019920	533096	1025032	1603104	855144	987601
