	OVCA429 Supernatant					
	WT	WT	WT	CLDN4 KD	CLDN4 KD	CLDN4 KD
compound	DS2-041-007+	DS2-041-008+	DS2-041-009+	DS2-041-010+	DS2-041-011+	DS2-041-012+
L-alanine	7027116	4601503	3934774	7243948	5437066	7202847
L-arginine	61328400	55950652	62189984	59663804	61324380	60843984
L-asparagine	2132336	2285425	1945027	2783411	2460028	2537542
L-aspartate	7257458	7858400	11123008	10152004	7612145	8699877
L-cysteine	462217	520626	336233	466261	550828	416380
L-glutamate	17986354	14804936	29011360	23495024	17548286	20400534
L-glutamine	18466000	25019944	16219400	14480999	18452274	18920744
glycine	835571	795243	860580	919655	947167	917664
L-histidine	2267193	2569508	2484156	2117990	2257652	2185729
L-leucine/isoluecine	128102048	132712856	171475888	138210448	151847856	126242248
L-lysine	13045371	17079122	17893862	13202731	18940602	12772800
L-methionine	17725176	20785142	22311730	17149280	19724822	18737558
L-phenylalanine	12081117	15906084	17960296	11719921	14682480	14232659
L-proline	62333972	68482760	65505396	54073312	65098196	60077108
L-serine	1126981	1387305	1195134	1325893	1131868	1555541
L-threonine	3460391	3422481	3513000	3143711	3589559	3791032
L-tryptophan	41492808	53057328	55116436	34353000	39256692	45816844
L-tyrosine	24186464	26975234	30414662	23094664	27127264	25857624
L-valine	49635596	54088324	63801812	47582156	55748636	56515412
L-cystine	9096221	11104880	9004409	8674011	10090913	10372275
ADP	0	2271	4485	2903	4760	4523
AMP	206953	110523	76769	121327	153792	227303
GMP	197999	108388	52576	174897	41432	136869
Guanine	311547	404174	484078	309318	357628	349503
dCMP	128242	148863	158452	138291	153175	129606
Cytidine	250502	188011	0	112626	158267	146996
Thymidine	89085	50965	91103	50863	25141	66809
UDP	6287	11719	7236	13877	8654	6395
Uracil	59819	121752	33651	99021	42556	64454
IDP	714811	1477720	291642	147970	1006893	470561
Hypoxanthine	18006130	18273742	21814668	20177898	18226254	18099682
Xanthine	244193	434460	424050	325925	377154	300514
Urate	822103	635141	429392	214853	557974	424144
(S)(+)-Allantoin	715441	701551	960682	805096	784696	612118
Allantoate	387477	277321	616344	462604	334455	484640
3',5'-Cyclic IMP	2506914	5106953	930183	476050	3499306	3136270
5-6-Dihydrothymine	950962	1042113	789530	834399	912008	1043396
Pyridoxal	542127	334946	263260	442524	474458	449135
4-Pyridoxate	292287	234006	207521	120613	210261	145240
Nicotinamide	1651179	1799444	2197898	1823395	1855723	1708943
Nicotinate ribonucleotide	311912	374764	396227	224076	348364	361259
Adenylosuccinic acid	78140	115618	39633	126861	98918	104443
ADP-D-ribose	454389	595786	659451	483922	570385	661984
Phosphate	181540352	205111248	205388752	193273072	223749200	235892224
Diphosphate	29153626	33847348	22490000	31960424	29650472	32551778
D-Glucose	41435888	45894644	51546832	39942336	41068124	39296084
D-Hexose-phosphate	200921	135160	215301	91210	150175	231120
1-3-Bisphosphoglycerate	1328	3001	0	8056	1643	1569
2/3-Phospho-D-glycerate	64633	25666	41384	6750	34398	36611
Pyruvate	12651067	11571916	10023069	12754148	9800806	8970425
Lactate	353792288	283940576	253697744	392429536	317400704	303816704
Maltose/Sucrose	3874974	4101003	2882899	3231543	4150218	4605912
Maltotriose	0	30121	79777	41945	39183	33508
Mannitol/Sorbitol/Glucitol/Iditol	14423929	12489461	16298701	19296698	14421065	15476048
Ribose/Ribulose/Arabinose/Xylose/Xylulose	1577651	1777174	1871003	1441228	1522217	1339519
D-Rhamnose	162697	74265	33728	158733	122469	202203
D-Arabitol/Xylitol/Ribitol	691581	505938	573961	605863	574395	474689
Citrate	27086008	25525446	39000100	26732290	26653856	26102234
2-Oxoglutarate	2681568	1902003	3552079	2046021	2189330	1551522
2-Oxoglutaramate	663032	497910	184618	601420	479772	531072
Succinate	19826138	22726670	24946786	20943694	18162658	19931970
Fumarate	741634	578320	799385	550598	638340	553974
Malate	13077915	11107195	15340043	10835898	12275533	8924764
Oxaloacetate	48602	9554	48908	21370	13362	70159
2-Hydroxyglutarate	975590	825236	1278326	1031431	1270224	1095452
6-Phospho-D-gluconate	23807	57152	39963	32433	34497	17128
Glutathione	106576	69808	30597	56387	76301	31164
5-Oxoproline	42295376	46190132	54389428	53171716	47080148	40747804
S-Glutathionyl-L-cysteine	696556	643749	611263	511115	698047	613806
Ascorbate	457193	630480	667769	302564	487487	582898
Dehydroascorbate	943390	828202	1121602	786177	920658	852560
gamma-L-Glutamyl-D-alanine	146044	78360	98027	50836	143116	102407
Dimethylglycine	172005	178078	321430	273580	158333	233907
Phosphoserine	283390	135631	125432	197913	128693	193864
S-Adenosyl-L-homocysteine	0	0	0	0	30144	0
Folate	1243802	1363591	1556542	1303919	1152701	1107979
10-Formyltetrahydrofolate	402125	346624	108803	345936	354033	463684
Ornithine	3048444	2649914	5514814	5736510	3160048	3572072
L-Citrulline	572887	487731	404194	549345	504878	469380
Argininosuccinate	39049	104689	78080	108416	64943	116094
Putrescine	50293	31486	78592	29567	26276	0
Spermidine	103503	241310	193843	120584	178761	117869
