	OVCAR3 Supernatant					
	WT	WT	WT	KD	KD	KD
compound	DS2-026-007+	DS2-026-008+	DS2-026-009+	DS2-026-010+	DS2-026-011+	DS2-026-012+
L-alanine	9740189	4835831.5	8792849	5281948.5	4128233.25	6803054
L-arginine	53894772	59394220	55913284	66667316	57683716	54659124
L-asparagine	4029054	2660237.75	3373054.75	2963241.75	3049063	3235571
L-aspartate	7318280.5	8912445	9356801	8446141	8569705	9059345
L-cysteine	119673.79	99164.66	198762.86	65925.69	85201.71	142746.08
L-glutamate	21250060	18896776	24183544	18901590	15735365	20842234
L-glutamine	27735134	33941100	11371651	38121852	44763956	23971538
glycine	1276194.12	858845.44	1009045.81	862701.56	961388.5	829133.56
L-histidine	2106664.75	1856498.12	2002049.88	1951881.12	2240773.25	2003167.38
L-leucine/isoluecine	77167392	119449920	98639240	109203608	108634720	107644632
L-lysine	11690004	12839080	11510063	11438131	11921341	9608101
L-methionine	13214307	16781464	14439709	16511632	17297422	14581055
L-phenylalanine	13156985	14142373	13045104	14394567	13052937	10962996
L-proline	58386908	65505664	55787988	60462068	60588028	54004428
L-serine	1810479.5	1015339.69	1170929.88	1553331.62	1451382	1530195.88
L-threonine	3573061.25	3630436	3125233.25	3905591.25	4025065.25	3087646
L-tryptophan	26078992	31082858	26693626	33665276	26829146	21133006
L-tyrosine	16614795	20737058	19229138	20420978	19935222	18378118
L-valine	50781404	60845908	63817340	56611728	62708076	57852532
L-cystine	1857906.12	1594922.12	1719439.88	1707297	2046783.12	2043852.88
GMP	190921.77	0	70557.02	27150.52	0	57382.18
Guanine	310254.41	417128	351370.41	349444.25	370962.97	345647.72
CDP	19575.29	8085.44	34528.17	0	1969.87	22725.91
CMP	281379.12	0	198225.33	41343.98	0	123635.21
dCMP	86166.4	84845.15	107737.49	98497.28	84593.79	69184.05
Cytidine	308622.22	333493.66	253727.83	325235.38	320863.03	229928.7
Cytosine	147814.3	283303.5	240980.55	278488.78	467952.34	339581.91
Thymidine	195170.95	126841.09	181667.19	38873.99	135813.28	174297.48
UMP	76603.39	16348.57	44829.77	15582.01	37782.28	55848.56
Uracil	143937	236130.67	288789.03	136473.38	155971.03	196705.08
