accession,compartment,platform,n,TACSTD2,CLDN4,response_or_survival_labels,analysis,outcome
GSE285888,"PBMC (scRNA-seq, baseline)",GPL16791 10x / NovaSeq,222144 cells / 33 pts,present (0.0806% cells),present (0.1819% cells),yes: CR/DR/PD + irAE severity,patient-level MWU vs response/irAE (see results/fable_blood_ici/),no association; TACSTD2 CR-vs-PD p=0.96; CLDN4 p=0.54
GSE305086,"whole blood (PAXgene, array)",GPL570 HG-U133 Plus 2.0,173 (76 BL + 76 FU + 21 ctrl),present (probes at 20th–42nd percentile = background),present (probe-discordant: 26th vs 71st percentile),no public per-patient response/PFS,detectability + baseline-vs-control + paired BL-vs-FU,near-background; no usable response contrast in GEO
GSE111414,PBMC CD8+ T cells (bulk RNA-seq),GPL21290 Illumina HiSeq 3000,20 samples / 10 pts (N1+N2),present (near-zero counts),present (near-zero counts),yes: PR vs PD (no survival),"MWU on baseline N1 raw counts, 5 PR vs 5 PD","TACSTD2 N1 PR-vs-PD p=0.7971696931337416; CLDN4 p=nan (n=5 vs 5, near-zero counts)"
GSE202417,PBMC CD8+ T cells (Clariom S),GPL23126 Clariom S Human,28 (14 pts × pre/post),present (TC0100014340.hg.1),present (TC0700007993.hg.1),yes: R vs NR (no survival),MWU pre-treatment R vs NR; paired Wilcoxon pre vs post,TACSTD2 R_vs_NR_pre_treatment p=0.4908424908424909; CLDN4 R_vs_NR_pre_treatment p=0.18115218115218118; TACSTD2 pre_vs_post_paired p=0.0352783203125; CLDN4 pre_vs_post_paired p=0.463134765625
GSE141479,blood CD8+ (Clariom S),GPL23126 Clariom S Human,74 (41 pre / 33 post nivo),present (TC0100014340.hg.1),present (TC0700007993.hg.1),NO response/survival in GEO,detectability + paired pre-vs-post only (not dropped),paired pre/post n=33; no response labels
GSE235048,PBMC (bulk RNA-seq TPM),GPL11154 Illumina HiSeq 2000,15,present (low TPM),ABSENT from processed matrix (other CLDNs present),NO response/survival (treatment only),detectability; CLDN4 recorded as absent; no outcome test,TACSTD2 low TPM; CLDN4 ABSENT; no response labels
GSE216297,blood platelets / thrombocytes (TEP RNA-seq),GPL20301 Illumina HiSeq 4000,286 (88 Responder / 198 nonResponder),ABSENT (ENSG00000184292 not in 3805-gene TEP panel),ABSENT (ENSG00000189143 not in 3805-gene TEP panel),yes: Responder/nonResponder (unused — genes absent),panel membership only; no association computed,both genes absent from the processed count matrix
GSE213902,"PBMC sorted T cells (10x GEX, 2 hashed pools)",GPL24676 10x / NovaSeq,2 GEX pools (3903 + 5013 cells); no per-pt GEO labels,present on 10x features,present on 10x features,NO per-patient response in GEO (hashed timepoints),per-cell detectability in both GEX pools,see gse213902_detectability.json; no per-patient labels
GSE100860,peripheral blood CD8 T cells (nivo-bound vs unbound),GPL16791 Illumina HiSeq 2500,14 FPKM files,present (near-zero FPKM),present (near-zero FPKM),NO response/survival in GEO,detectability across processed FPKM files,"both genes present, near-zero FPKM across 14 files"
GSE310370,plasma (OAA-captured miRNA array),GPL21572 Affymetrix miRNA 4.0,4 (all labelled PD),"ABSENT (miRNA platform, no mRNA probes)","ABSENT (miRNA platform, no mRNA probes)",all PD — no contrast possible,catalogued; genes absent,both genes absent
GSE207715,plasma / EV miRNA (nivolumab NSCLC),GPL21576 / GPL25134 miRNA arrays,282,ABSENT (miRNA platform),ABSENT (miRNA platform),prognostic miRNA study (not mRNA),catalogued; genes absent — series not dropped,"both genes absent; processed matrix is miRNA, not mRNA"
GSE306542,"circulating cells (scRNA, metastatic lung cancer ICI)",GPL24676 10x,2 GEO samples,on standard 10x feature list (not re-quantified; n=2),on standard 10x feature list (not re-quantified; n=2),title claims response predictors; no usable n,catalogued; n=2 precludes response stats,kept in catalog; too few samples for a contrast
GSE247754,systemic / circulating CD8 T cells (scRNA),GPL24676 10x,2 GEO samples,on standard 10x feature list,on standard 10x feature list,no ICI-response labels in GEO,catalogued; n=2,kept in catalog; no outcome test
GSE266035,circulating TIL (scRNA),GPL24676 10x,9,on standard 10x feature list,on standard 10x feature list,kinetics study; no binary response table in GEO,catalogued; processed data is MTX inside RAW.tar (~95 MB),kept in catalog; no public response/survival table
GSE315510,T cells (mitochondrial-potential / immunotherapy),GPL24676 10x,30,on standard 10x feature list,on standard 10x feature list,not an NSCLC-response cohort in GEO metadata,catalogued as circulating/T-cell ICI-adjacent; not NSCLC-outcome,kept in catalog; no NSCLC ICI response labels
