,No. ofPatients,TROP2 expression,P-value
,,"Negative or Low(IHC score 0,1,2)n = 17",High(IHC score 3)n = 54,
Age at diagnosis (years),,,,
≤ 65,36,6,30,0.173
> 65,35,11,24,
Sex,,,,
Male,29,7,22,1.000
Female,42,10,32,
Smoking status,,,,
Previous/current,41,8,33,0.401
Never smoker,30,9,21,
EGFR mutation status,,,,
Mutant,53,15,38,0.398
Wild type,17,2,15,(*0.209)
Unknown,1,0,1,
Targeted therapy**,,,,
Yes,56,16,40,0.097
No,15,1,14,
,"*: Fisher’s test for Mutant vs. Wild type**: Targeted Therapy; EGFR-TKI or ALK-TKI Abbreviation: TROP2, trophoblast cell-surface antigen 2; IHC, immunohistochemical; EGFR, epidermal growth factor receptor; ALK, anaplastic lymphoma kinase; TKI, tyrosine kinase inhibitor Abbreviation"
