resource	accession_or_id	query	status	usable	title	gds_type	taxon	n_samples	notes	url	triage_note
GEO (live Entrez)	GSE243013	neoadjuvant IO NSCLC RNA 2024-2026	VERIFIED_EXISTS	excluded_scrna	A single-cell atlas of immune heterogeneity  in anti-PD1-treated non-small cell lung cancer	Expression profiling by high throughput sequencing	Homo sapiens	243.0	A single-cell atlas of immune heterogeneity  in anti-PD1-treated non-small cell lung cancer | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=243	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243013	2024 leftover: anti-PD-1 NSCLC single-cell atlas. Not bulk.
GEO (live Entrez)	GSE250509	neoadjuvant IO NSCLC RNA 2024-2026	VERIFIED_EXISTS	excluded_not_io	Protein expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days)	Other	Homo sapiens	94.0	Protein expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days) | type=Other | taxon=Homo sapiens | n=94	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250509	2024 leftover: tepotinib MET protein. Not ICI RNA.
GEO (live Entrez)	GSE249568	neoadjuvant IO NSCLC RNA 2024-2026	VERIFIED_EXISTS	excluded_not_io	Gene expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days)	Expression profiling by array	Homo sapiens	94.0	Gene expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days) | type=Expression profiling by array | taxon=Homo sapiens | n=94	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249568	2024 leftover: tepotinib MET array, n=1 patient paired biopsies. Not ICI.
GEO (live Entrez)	GSE225620	neoadjuvant IO NSCLC RNA 2024-2026	VERIFIED_EXISTS	excluded_blood	Blood-based Genomic and Cellular Determinants of Response to Neoadjuvant PD-1 Blockade in Patients with Non-Small-Cell Lung Cancer	Expression profiling by high throughput sequencing	Homo sapiens	43.0	Blood-based Genomic and Cellular Determinants of Response to Neoadjuvant PD-1 Blockade in Patients with Non-Small-Cell Lung Cancer | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=43	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225620	2024 leftover: blood-based neoadjuvant PD-1 RNA. Not tumor RNA.
GEO (live Entrez)	GSE261345	durvalumab lung RNA 2024-2026	VERIFIED_EXISTS	excluded_essclc_geomx	Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [CANTABRICO_DSP cohort]	Other	Homo sapiens	121.0	Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [CANTABRICO_DSP cohort] | type=Other | taxon=Homo sapiens | n=121	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261345	CANTABRICO ES-SCLC GeoMx CTA. Not NSCLC neoadjuvant; CLDN4 typically absent.
GEO (live Entrez)	GSE253564	durvalumab lung RNA 2024-2026	VERIFIED_EXISTS	index_not_rescored	Features associated with enhanced proliferation define lung tumors that respond to dual immune checkpoint and radiation therapy	Expression profiling by high throughput sequencing	Homo sapiens	32.0	Features associated with enhanced proliferation define lung tumors that respond to dual immune checkpoint and radiation therapy | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=32	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253564	User asked for series besides this accession. Already reported in wave 2. Not re-scored here.
GEO (live Entrez)	GSE329813	targeted leftover accessions	VERIFIED_EXISTS	yes_scored_post_geomx	Spatial Transcriptomics Unveils Immune Microenvironment Heterogeneity and Response-related Subtypes in NSCLC Treated with Neoadjuvant Chemoimmunotherapy	Other	Homo sapiens	127.0	Spatial Transcriptomics Unveils Immune Microenvironment Heterogeneity and Response-related Subtypes in NSCLC Treated with Neoadjuvant Chemoimmunotherapy | type=Other | taxon=Homo sapiens | n=127	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329813	2026 GeoMx leftover. Post-neoadjuvant tumor-bed MPR. CLDN4 absent. Not pooled with pretreatment bulk.
GEO (live Entrez)	GSE292299	targeted leftover accessions	VERIFIED_EXISTS	excluded_visium	Conserved principles of spatial biology define tumor heterogeneity and immunotherapy sensitivity	Other	Homo sapiens	18.0	Conserved principles of spatial biology define tumor heterogeneity and immunotherapy sensitivity | type=Other | taxon=Homo sapiens | n=18	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299	Visium leftover (small n_NR). Not bulk whole-transcriptome.
GEO (live Entrez)	GSE241934	targeted leftover accessions	VERIFIED_EXISTS	excluded_scrna	Neoadjuvant sintilimab plus chemotherapy in early-stage EGFR-mutant NSCLC: phase 2 trial interim results (NEOTIDE/CTONG2104)	Expression profiling by high throughput sequencing; Other	Homo sapiens	88.0	Neoadjuvant sintilimab plus chemotherapy in early-stage EGFR-mutant NSCLC: phase 2 trial interim results (NEOTIDE/CTONG2104) | type=Expression profiling by high throughput sequencing; Other | taxon=Homo sapiens | n=88	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241934	NEOTIDE/CTONG2104 scRNA (mtx/barcodes/features). No per-patient bulk TACSTD2 matrix.
GEO (live Entrez)	GSE261348	targeted leftover accessions	VERIFIED_EXISTS	excluded_essclc	Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [IMfirst_DSP cohort]	Other	Homo sapiens	175.0	Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [IMfirst_DSP cohort] | type=Other | taxon=Homo sapiens | n=175	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261348	CANTABRICO companion if present. ES-SCLC, not PACIFIC NSCLC.
