repository,record_or_collection,doi_or_url,lung_ici,processed_data,target_status,disposition,evidence
Zenodo,2635194,10.5281/zenodo.2635194,yes,yes,"TACSTD2 absent; CLDN4 absent",audited_no_target_result,"Open NanoString nCounter expression and response data; 55 discovery and 36 validation samples; 784 deposited features including controls"
Zenodo,11198494,10.5281/zenodo.11198494,associated_study,yes,"TACSTD2 present in GeoMx; CLDN4 absent",audited_no_ici_outcome_result,"Leftover GeoMx long table (geomx.csv, 115 MB, MD5 8421f72c459e8aa6eb06fa48ba974501): 2018 features, 285 ROIs, 5 slides. TACSTD2 above LOQ in 28/285 ROIs, 18/28 on one slide. No response labels. Both RNAscope tables (ACD_stemimmunity.csv MD5 1dba4e9c4b2b8f1e9193a921dadefe38; ACD_tumor.csv MD5 52adc008769b41af30c2faf4c1c1995b) share the same 12-gene panel and lack TACSTD2/CLDN4"
Zenodo,18543127,10.5281/zenodo.18543127,no,yes,"TROP-2 H-scores described; files inaccessible",excluded_restricted,"Restricted resected-NSCLC ADC-target IHC/H-score record; not an ICI-outcome series"
Zenodo,18494664,10.5281/zenodo.18494664,no,yes,"TROP-2 H-scores described; files inaccessible",excluded_restricted,"Concept DOI for the restricted TROP-2/cMET H-score dataset"
Zenodo,16916391,10.5281/zenodo.16916391,yes,yes,"likely present in full-transcriptome object; not verified",not_analyzed,"Open ACTS-30 durvalumab plus chemoradiotherapy cohort; target-capable total Seurat object is 23.34 GB inside a 29.15 GB archive; no gene-level table"
Zenodo,15495774,10.5281/zenodo.15495774,yes,yes,"TACSTD2 absent; CLDN4 absent",excluded_no_target,"Peripheral-blood CyTOF/IMC assay; deposited antibody panel does not measure either requested target"
figshare,6590041,10.6084/m9.figshare.c.6590041,yes,no_expression_matrix,"TACSTD2 unavailable; CLDN4 unavailable",excluded_no_expression,"Four supplements are clinical information, a PDF, a serum test table, and a steroid intensity table; the collection does not deposit a gene-expression matrix"
Zenodo,18889964,10.5281/zenodo.18889964,no,yes,"wrong tissue and species for target question",excluded_wrong_compartment,"Mouse bone-marrow scRNA objects from lung-cancer-bearing animals; not lung tumor epithelium and not a clinical ICI-response cohort"
Zenodo,18729311,10.5281/zenodo.18729311,no,yes,"files inaccessible",excluded_restricted,"Restricted NSCLC multiomic record following thermal ablation; not an ICI intervention"
Zenodo,14511579,10.5281/zenodo.14511579,no,yes,"no lung cohort among per-study files",excluded_wrong_cancer,"v4 ICB datasets.xlsx (MD5 304372a6c36b82b0e9dfb561a3012391) lists Skin/Melanoma/MBM/BCC, Liver/HCC/iCCA, Breast/TNBC/HER2/ER+, and Kidney/ccRCC only; no lung row"
Zenodo,10731914,10.5281/zenodo.10731914,no,yes,"TACSTD2 and CLDN4 present",excluded_already_pr42,"Already analyzed in PR42; LUAD atlas is not an ICI-treated cohort"
Zenodo,8041882,10.5281/zenodo.8041882,yes,yes,"TACSTD2 absent; CLDN4 absent",excluded_already_pr42,"Already analyzed in PR42; anti-PD1 NSCLC IMC panel lacks both requested proteins"
Zenodo,11205626,10.5281/zenodo.11205626,no,yes,"target-capable full transcriptome",excluded_no_ici,"Paired normal/LUAD scRNA and snRNA; no ICI treatment or response arm"
Zenodo,13947395,10.5281/zenodo.13947395,no,yes,"target-capable full transcriptome",excluded_no_ici,"Paired LUAD/healthy scRNA and IMC; no ICI treatment or response arm"
Zenodo,21807253,10.5281/zenodo.21807253,yes,unknown,"files inaccessible",excluded_restricted,"Leftover found in Grok 4.6 hunt: Spatial Transcriptomic Profiling Reveals the Tumor Microenvironment Associated with Neoadjuvant Immunotherapy Response in NSCLC; record is restricted; no files listed"
Zenodo,18825477,10.5281/zenodo.18825477,yes,yes,"files inaccessible",excluded_restricted,"Processed ICI scRNA Seurat object plus Visium folders; record is restricted"
Zenodo,15053161,10.5281/zenodo.15053161,yes,yes,"files inaccessible",excluded_restricted,"n=1 resectable NSCLC Visium (lung primary + brain met) after chemo-immunotherapy; files restricted; not a cohort-level ICI-outcome matrix"
Zenodo,18870185,10.5281/zenodo.18870185,no,yes,"embargoed CosMx whole transcriptome",excluded_embargoed,"NSCLC CosMx WTA SpatialExperiment; files embargoed until 2029; not an ICI-outcome series"
Zenodo,21967935,10.5281/zenodo.21967935,mixed_secondary_analysis,no_expression_matrix,"TACSTD2 absent; CLDN4 absent",excluded_no_expression,"Open 672 KB supplementary zip. The 195-gene ICI module dictionary has neither TACSTD2 nor CLDN4. No patient-level expression matrix"
Zenodo,21877227,10.5281/zenodo.21877227,no,yes,"target-capable full transcriptome",excluded_no_ici,"LuCaS+ FFPE snRNA atlas of 454 surgically resected NSCLC patients; not an ICI-response cohort; Cell Ranger archive is 4.98 GB"
