,ACC,MEC,p-value
N = 12,N = 23
Gender,,,1.000a
Female,5 (41.7%),10 (43.5%),
Male,7 (58.3%),13 (56.5%),
"Age, years—median (range)",64 (32–81),48 (19–67),0.014b
Smoking,,,0.175a
Never,4 (33.3%),11 (47.8%),
Ex,2 (16.7%),0 (0.00%),
Current,4 (33.3%),7 (30.4%),
nd,2 (16.7%),5 (21.7%),
Grade,,,0.010a
1,0 (0.00%),11 (47.8%),
2,10 (83.3%),9 (39.1%),
3,2 (16.7%),3 (13.0%),
Vascular involvement,,,0.594a
No,10 (83.3%),21 (91.3%),
Yes,2 (16.7%),2 (8.70%),
Lymphoid infiltration,,,0.709a
Slight,9 (75.0%),15 (65.2%),
Moderate,3 (25.0%),8 (34.8%),
Necrosis,,,0.725a
No,7 (58.3%),11 (47.8%),
Yes,5 (41.7%),12 (52.2%),
Stage category,,,0.016a
I,3 (25.0%),16 (69.6%),
II,2 (16.7%),4 (17.4%),
III,5 (41.7%),3 (13.0%),
IV,2 (16.7%),0 (0.00%),
Sample type
Bronchoscopic excision,7 (58.3%),1 (4.3%),
Surgical material,5 (41.7%),22 (95.7%),
