rank	gene	uniprot	protein_name	is_bait	exclusive	stringent	n_cldn4	n_gfp	mean_lfq_cldn4	mean_lfq_gfp	log2fc	p_mod	fdr_mod	p_welch	fdr_welch	unique_peptides	razor_unique_peptides	categories	majority_protein_ids
27	ZC3H14	E2RKD7	Zinc finger CCCH-type containing 14	False	False	True	4	2	3.57142e+07	2.6884e+07	2.29216	0.00604272	0.0331927	0.130416	0.302278	3	3		E2RKD7
28	STX11	F1P8F6	Syntaxin 11	False	False	True	4	2	2.9077e+07	2.522e+07	2.06338	0.00974736	0.0454738	0.154313	0.337299	3	3		F1P8F6
29	PHLDB2	E2RDB9	Pleckstrin homology like domain family B member 2	False	False	True	4	3	3.9946e+07	1.80443e+07	2.01023	0.0023199	0.0170334	0.0944633	0.241173	2	2		E2RDB9
30	PGS1	F1PYJ9	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	False	False	True	4	4	1.62622e+08	5.73078e+07	1.52182	2.27245e-06	0.000191236	0.000375921	0.0152318	5	5		F1PYJ9;F1PN70
31	MPP7	F1P8X0	Membrane palmitoylated protein 7	False	False	True	4	4	3.26212e+08	1.16051e+08	1.49544	3.3319e-06	0.000260364	0.000179386	0.0110431	11	11	TJ	F1P8X0
32	DNTTIP2	E2RR69	Deoxynucleotidyltransferase terminal interacting protein 2	False	False	True	4	4	1.83572e+08	6.33118e+07	1.47249	0.00012349	0.0031057	0.0113761	0.0723575	9	9		E2RR69
33	AFAP1	F1PFF6	Actin filament associated protein 1	False	False	True	4	4	3.11815e+08	1.14704e+08	1.47205	5.65232e-05	0.00187383	0.00500521	0.0460335	11	11		F1PFF6
34	ABLIM1	J9P5B6	Actin binding LIM protein 1	False	False	True	4	4	4.45185e+08	1.6685e+08	1.44285	1.02477e-05	0.000605998	0.00148907	0.0287185	9	9		J9P5B6;F1PWQ6
35	ARID1A	E2RSH9	AT-rich interaction domain 1A	False	False	True	4	4	2.78995e+08	1.07203e+08	1.41894	0.000814005	0.00809763	0.0246353	0.116168	9	9		E2RSH9
36	CISD2	E2R702	CDGSH iron sulfur domain 2	False	False	True	4	4	6.1422e+08	2.3778e+08	1.3593	5.40113e-06	0.000393922	0.000211451	0.0112842	7	7		E2R702
37	AHCTF1	F1Q0P9	AT-hook containing transcription factor 1	False	False	True	4	4	2.73332e+08	1.10306e+08	1.3518	0.000244673	0.00361827	0.0110304	0.0713311	14	14		F1Q0P9;J9JHE2
38	IWS1	E2RCQ3	IWS1, SUPT6H interacting protein	False	False	True	4	4	2.94995e+08	1.23395e+08	1.34022	0.000118286	0.00300941	0.0156781	0.0884116	4	4		E2RCQ3;J9PAW4
39	PLEKHG3	E2QX49	Pleckstrin homology and RhoGEF domain containing G3	False	False	True	4	4	1.66748e+08	6.7661e+07	1.33232	2.53698e-05	0.00115644	0.00284333	0.0349506	7	7		E2QX49;F1PWW9
40	ISG15	E2R7R1	ISG15 ubiquitin-like modifier	False	False	True	4	4	2.74675e+08	1.22224e+08	1.26934	0.000463369	0.00528047	0.026421	0.121448	5	5	IFN;immune	E2R7R1
41	OAS2	F1PTR7	2-5-oligoadenylate synthetase 2	False	False	True	4	4	3.27488e+08	1.34852e+08	1.26165	7.0892e-05	0.0020961	0.0027246	0.0346736	4	5	IFN;immune	F1PTR7
42	NIPBL	E2QUV0	Nipped-B protein	False	False	True	4	4	7.46058e+07	2.91355e+07	1.24757	0.00126914	0.0111076	0.0384792	0.150043	4	4		E2QUV0;J9P6G6;J9NZL2;J9P3A7
43	ZC3H11A	J9P070	Uncharacterized protein	False	False	True	4	4	6.88938e+08	3.04112e+08	1.24057	0.000461523	0.00528047	0.0177164	0.094692	23	23		J9P070;E2RJJ0
44	DHX37	E2RHZ3	DEAH-box helicase 37	False	False	True	4	4	1.47377e+08	6.03128e+07	1.21435	0.000286301	0.00379653	0.0228545	0.109903	8	8		E2RHZ3
45	SPINK5	F1PUI9	Serine peptidase inhibitor, Kazal type 5	False	False	True	4	4	1.35842e+09	5.88958e+08	1.20973	2.08305e-05	0.00100527	0.000162957	0.0110431	32	32		F1PUI9;F1PR80
46	KIF22	E2RRZ0	Kinesin-like protein	False	False	True	4	4	2.909e+08	1.28966e+08	1.19828	0.000256409	0.003643	0.00737172	0.0576047	11	11	trafficking	E2RRZ0;E2RRY9
47	VMP1	F1PHP3	Vacuole membrane protein 1	False	False	True	4	4	1.36562e+09	6.01855e+08	1.1876	1.50004e-05	0.000820523	0.000123994	0.00935511	6	6		F1PHP3
48	UGGT1	E2RR16	UDP-glucose glycoprotein glucosyltransferase 1	False	False	True	4	4	4.56328e+08	2.02072e+08	1.18687	3.16105e-05	0.00133007	0.000605619	0.0189299	13	13		E2RR16
49	IFFO2	J9P2L3	Uncharacterized protein	False	False	True	4	4	6.25802e+08	2.84178e+08	1.16003	3.67522e-05	0.00149257	0.00362786	0.0387208	12	12		J9P2L3;F1PT06
50	ABCA8	F6Y634	ATP binding cassette subfamily A member 8	False	False	True	4	4	1.5778e+08	6.90388e+07	1.15887	0.000227189	0.00361827	0.00681889	0.0549647	7	7		F6Y634
51	LPCAT2	E2R9U2	Lysophosphatidylcholine acyltransferase 2	False	False	True	4	4	5.0703e+08	2.29035e+08	1.14562	1.60153e-05	0.000854671	1.76166e-06	0.00128484	11	11		E2R9U2
52	ACOX1	F1P668	Acyl-coenzyme A oxidase	False	False	True	4	4	1.03644e+08	4.64622e+07	1.14003	4.82994e-05	0.00173244	0.00173611	0.0292487	3	3		F1P668;E2RAF6
53	SLC2A1	F1PWN2	Solute carrier family 2 member 1	False	False	True	4	4	2.52515e+09	1.1773e+09	1.11055	5.04424e-05	0.00178013	0.000551757	0.0188297	10	10		F1PWN2;F6X8D7
54	LOC610994	F1PV34	Uncharacterized protein	False	False	True	4	4	5.65895e+08	2.6127e+08	1.10837	4.5017e-05	0.00165957	0.000280647	0.0127928	11	11		F1PV34;J9P068
55	TXNDC12	J9P1H9	Thioredoxin domain containing 12	False	False	True	4	4	5.03698e+08	2.35902e+08	1.1005	3.68368e-05	0.00149257	0.000245565	0.0116803	9	9		J9P1H9
56	PKP2	E2RHY0	Plakophilin 2	False	False	True	4	4	1.66358e+09	7.98755e+08	1.07633	8.70278e-05	0.00243074	0.00210664	0.0306467	24	24		E2RHY0
57	SEC61G	P60058	Protein transport protein Sec61 subunit gamma	False	False	True	4	4	7.10635e+08	3.35205e+08	1.07337	0.000225294	0.00361827	0.00276731	0.0349506	2	2		P60058
58	LMO7	F1PG65	LIM domain 7	False	False	True	4	4	6.40315e+08	3.0949e+08	1.05647	0.00030338	0.00388686	0.00333787	0.0374186	19	19		F1PG65
59	METTL7A	J9NTA1	Methyltransferase like 7A	False	False	True	4	4	3.12005e+08	1.48772e+08	1.05108	0.000199663	0.00361827	0.00271345	0.0346736	4	4		J9NTA1
60	PDIA6	E2RB37	Uncharacterized protein	False	False	True	4	4	2.87928e+09	1.42052e+09	1.04649	0.000758147	0.00764435	0.0108587	0.0705548	16	16		E2RB37
61	AMACR	E2QYD9	Alpha-methylacyl-CoA racemase	False	False	True	4	4	2.00922e+08	9.84895e+07	1.01603	0.000208577	0.00361827	0.00189728	0.0300385	6	6		E2QYD9
62	CDC42	P60952	Cell division control protein 42 homolog	False	False	True	4	4	1.52822e+09	7.66028e+08	1.00497	0.000129527	0.00318432	0.000604164	0.0189299	8	10	TJ	P60952;J9P730
63	HNRNPH2	E2RJH5	Heterogeneous nuclear ribonucleoprotein H2	False	False	True	4	4	4.07402e+08	2.01282e+08	1.00403	0.000149841	0.00345107	0.00196106	0.0300385	6	7		E2RJH5
64	SYNPO	J9P7S2	Synaptopodin	False	False	True	4	4	4.9032e+08	2.5186e+08	1.0039	0.000539512	0.00596188	0.0131602	0.0794505	13	13	TJ	J9P7S2;E2RG15
65	LRRC8A	E2RQD5	Leucine rich repeat containing 8 VRAC subunit A	False	True	False	2	0	1.00392e+08		2.88765	0.0133055	0.0559853	0.181709	0.356432	3	3		E2RQD5
66	CDCA8	E2R7G5	Cell division cycle associated 8	False	True	False	2	0	9.5745e+07		2.84243	0.0134915	0.0563135	0.18234	0.356432	3	3		E2R7G5
67	CERS3	F6XW58	Ceramide synthase 3	False	True	False	2	0	7.3287e+07		2.66061	0.0135241	0.0563135	0.181715	0.356432	2	2		F6XW58
68	PARD3B	F1PUY2	Par-3 family cell polarity regulator beta	False	True	False	2	0	7.28245e+07		2.65551	0.0135379	0.0563135	0.18175	0.356432	3	3	TJ	F1PUY2;J9P593
69	MRPL37	E2R775	Mitochondrial ribosomal protein L37	False	True	False	2	0	6.0446e+07		2.48731	0.0143494	0.0563672	0.184299	0.35775	2	2		E2R775
70	EPN2	F1P9H0	Epsin 2	False	True	False	2	0	5.62175e+07		2.46726	0.0137983	0.0563672	0.181876	0.356432	2	2	trafficking	F1P9H0
71	ST6GAL1	E2R2H3	ST6 beta-galactoside alpha-2,6-sialyltransferase 1	False	True	False	2	0	4.93465e+07		2.37552	0.0138912	0.0563672	0.181704	0.356432	2	2		E2R2H3
72	TCF20	E2RT08	Transcription factor 20	False	True	False	2	0	4.79235e+07		2.33979	0.0142415	0.0563672	0.182937	0.356432	2	2		E2RT08
73	CAPN5	F1PB20	Calpain 5	False	True	False	2	0	4.6412e+07		2.32931	0.0140046	0.0563672	0.181872	0.356432	3	3		F1PB20
74	TIMM9	J9NRU3	Translocase of inner mitochondrial membrane 9	False	True	False	2	0	4.51755e+07		2.31113	0.014009	0.0563672	0.181764	0.356432	3	3		J9NRU3
75	PYCR1	F6XKI0	Pyrroline-5-carboxylate reductase	False	True	False	2	0	4.2323e+07		2.2646	0.0140795	0.0563672	0.181721	0.356432	2	2		F6XKI0
76	ICAM1	P33729	Intercellular adhesion molecule 1 (Fragment)	False	True	False	2	0	3.91615e+07		2.20558	0.0142583	0.0563672	0.182007	0.356432	2	2	IFN;TJ;immune	P33729;F1PB95
77	GTF2H1	E2RCX0	General transcription factor IIH subunit 1	False	True	False	2	0	3.8826e+07		2.20272	0.0141881	0.0563672	0.18169	0.356432	2	2		E2RCX0
78	RABL3	E2R3T1	RAB, member of RAS oncogene family like 3	False	True	False	2	0	3.68715e+07		2.16383	0.0143046	0.0563672	0.181851	0.356432	2	2	trafficking	E2R3T1
79	LIPT1	E2RPI5	Lipoyltransferase 1	False	True	False	2	0	3.30185e+07		2.08492	0.0144628	0.0564788	0.181789	0.356432	2	2		E2RPI5
80	SPECC1	F1PEF9	Sperm antigen with calponin homology and coiled-coil domains 1	False	True	False	2	0	3.2197e+07		2.06385	0.0145883	0.0564788	0.182103	0.356432	3	3		F1PEF9;F1Q150
81	NCBP1	F1PUP7	Nuclear cap binding protein subunit 1	False	True	False	2	0	3.0219e+07		2.02188	0.0145943	0.0564788	0.181697	0.356432	2	2		F1PUP7
82	TIMM29	E2RJ67	Translocase of inner mitochondrial membrane 29	False	True	False	2	0	3.139e+07		2.01945	0.0154341	0.0578251	0.185088	0.35775	2	2		E2RJ67
83	COA7	J9P8K4	Cytochrome c oxidase assembly factor 7 (putative)	False	False	False	4	2	9.57445e+07	9.70125e+07	2.81336	0.015156	0.0572734	0.18671	0.358127	4	4		J9P8K4
84	AGPAT2	E2R1F6	1-acyl-sn-glycerol-3-phosphate acyltransferase	False	False	False	4	2	9.6416e+07	1.04676e+08	2.747	0.0194529	0.0672402	0.200965	0.376838	5	5		E2R1F6
85	AHCYL1	E2REN0	Adenosylhomocysteinase	False	False	False	3	1	5.0099e+07	3.1113e+07	2.52441	0.0203747	0.0695906	0.160731	0.342768	3	3		E2REN0;F1P7I1;L7N055
86	MRPS21	E2R5C3	Mitochondrial ribosomal protein S21	False	False	False	3	1	7.2319e+07	1.0147e+08	2.46038	0.0602276	0.14529	0.257218	0.444193	2	2		E2R5C3
87	CEPT1	E2QV13	Choline/ethanolamine phosphotransferase 1	False	False	False	4	3	2.54082e+08	1.5983e+08	2.29862	0.0361177	0.103572	0.248902	0.433251	2	2		E2QV13
88	CCDC51	E2RMH7	Coiled-coil domain containing 51	False	False	False	3	1	4.20013e+07	4.0235e+07	2.27204	0.0354829	0.102379	0.202199	0.378452	3	3		E2RMH7
89	DECR1	F1PSR3	2,4-dienoyl-CoA reductase 1	False	False	False	4	3	2.02388e+08	1.25437e+08	2.20611	0.0344552	0.100786	0.243691	0.429351	5	5		F1PSR3
90	MCL1	Q8HYS5	Induced myeloid leukemia cell differentiation protein Mcl-1 homolog	False	False	False	4	3	2.01888e+08	1.26243e+08	2.17802	0.0373588	0.105336	0.249166	0.433367	4	4		Q8HYS5;F1PAP1;J9PBC4
91	EPN3	E2QUB6	Epsin 3	False	False	False	4	3	1.7033e+08	1.06182e+08	2.13989	0.0333	0.0985932	0.240132	0.424744	7	7		E2QUB6
92	PSMD1	F1PX57	26S proteasome non-ATPase regulatory subunit 1	False	False	False	3	1	3.7955e+07	4.4475e+07	2.12298	0.0476237	0.123314	0.229684	0.412601	3	3		F1PX57
93	ISCA2	J9P4R1	Iron-sulfur cluster assembly 2	False	False	False	4	3	3.42778e+08	2.7418e+08	2.0968	0.0814595	0.182429	0.330228	0.51983	5	5		J9P4R1
94	ACAD11	E2R0X5	Acyl-CoA dehydrogenase family member 11	False	False	False	4	3	1.12882e+08	6.46743e+07	2.09405	0.0198716	0.0684709	0.201833	0.378092	3	3		E2R0X5
95	OCLN	E2R3X4	Occludin	False	False	False	4	3	2.5294e+08	1.84427e+08	2.08407	0.0626793	0.150375	0.299517	0.497226	3	3	TJ	E2R3X4;Q28269;F1PZF7;J9P475
96	MRPL15	F1PQQ5	Mitochondrial ribosomal protein L15	False	False	False	3	1	3.02233e+07	2.4713e+07	2.0643	0.029944	0.0916328	0.186205	0.358011	2	2		F1PQQ5
97	SRXN1	J9P1B6	Sulfiredoxin	False	False	False	3	2	1.8635e+08	1.04638e+08	2.03917	0.182168	0.282084	0.422298	0.544483	3	3		J9P1B6
98	PRKCH	E2RGU7	Protein kinase C eta type	False	False	False	4	3	9.48045e+07	5.6103e+07	1.99816	0.021485	0.0719897	0.204293	0.381394	4	4	TJ	E2RGU7;J9NX03
99	MRM3	E2QXE5	Mitochondrial rRNA methyltransferase 3	False	False	False	3	1	2.2833e+07	1.2921e+07	1.97882	0.0158264	0.0583949	0.141891	0.318417	2	2		E2QXE5
100	UBE4A	E2RPU3	Ubiquitination factor E4A	False	False	False	4	3	1.1789e+08	7.63887e+07	1.93512	0.0380171	0.106228	0.246564	0.431585	4	4		E2RPU3
101	CTDSP1	E2RFB6	CTD small phosphatase 1	False	False	False	4	3	8.184e+07	5.02993e+07	1.88393	0.0250064	0.0803435	0.213193	0.393268	2	2		E2RFB6
102	PTPRQ	E2QWE6	Protein tyrosine phosphatase, receptor type Q	False	False	False	2	1	1.24875e+08	4.6088e+07	1.88202	0.168307	0.268212	0.41138	0.536092	2	2		E2QWE6;J9P2U6
103	PALM3	F1PAS6	Paralemmin 3	False	False	False	4	3	9.72945e+07	6.3676e+07	1.8564	0.0365633	0.10407	0.243202	0.429134	6	6		F1PAS6
104	OSBPL8	J9NTR3	Oxysterol-binding protein	False	False	False	3	2	1.13251e+08	6.85245e+07	1.84427	0.178375	0.277728	0.417373	0.540906	3	3		J9NTR3;F6Y5H1
105	TOR4A	E2QX13	Torsin family 4 member A	False	False	False	4	3	1.32168e+08	1.03213e+08	1.78873	0.0682124	0.160483	0.30682	0.502863	5	5		E2QX13
106	CISD3	J9P260	CDGSH iron sulfur domain 3	False	False	False	3	1	2.00783e+07	1.6738e+07	1.78329	0.0291608	0.089612	0.180908	0.356432	2	2		J9P260
107	SCCPDH	F1Q2B1	Saccharopine dehydrogenase (putative)	False	False	False	4	3	6.27138e+07	4.11507e+07	1.77346	0.0251712	0.0806904	0.214289	0.393342	4	4		F1Q2B1
108	CAPG	E2R413	Capping actin protein, gelsolin like	False	False	False	4	2	2.6649e+07	3.51015e+07	1.76305	0.036569	0.10407	0.245328	0.430712	2	2	immune	E2R413
109	SLC7A1	E2QU34	Cationic amino acid transporter 1	False	False	False	4	3	1.24156e+08	9.932e+07	1.75221	0.0706678	0.164491	0.311087	0.5083	3	3	immune	E2QU34
110	DENR	J9NSD0	Density-regulated protein	False	False	False	4	2	2.44135e+07	2.91095e+07	1.73878	0.0301411	0.0918507	0.228009	0.410942	2	2		J9NSD0
111	MCAT	F1PUF5	Malonyl-CoA-acyl carrier protein transacylase	False	False	False	4	3	6.47242e+07	4.27097e+07	1.72881	0.0293051	0.0899294	0.225443	0.407997	2	2		F1PUF5
112	RUFY2	F1PXC3	RUN and FYVE domain containing 2	False	False	False	4	3	4.68055e+07	2.80597e+07	1.72146	0.0150686	0.0572734	0.178692	0.356432	6	6		F1PXC3;F1PXD5
113	CYR61	E2RAA0	Cysteine rich angiogenic inducer 61	False	False	False	4	3	4.85492e+07	3.0593e+07	1.6832	0.020451	0.0695906	0.19657	0.370772	2	2		E2RAA0
114	SLC9A1	F1PID1	Sodium/hydrogen exchanger	False	False	False	4	3	1.2875e+08	1.09002e+08	1.67991	0.0898302	0.196156	0.338305	0.51983	4	4		F1PID1
115	CHAMP1	J9P0P7	Chromosome alignment maintaining phosphoprotein 1	False	False	False	4	3	4.18e+07	2.33217e+07	1.67068	0.0154913	0.0578411	0.165736	0.348682	2	2		J9P0P7
116	M6PR	E2R4C1	Mannose-6-phosphate receptor, cation dependent	False	False	False	4	3	8.964e+07	6.43957e+07	1.67061	0.0610905	0.147047	0.28674	0.47959	3	3	trafficking	E2R4C1
117	DGAT1	E2RDN4	O-acyltransferase	False	False	False	4	3	9.44552e+07	7.53333e+07	1.65323	0.0684448	0.16077	0.305841	0.502011	3	3		E2RDN4
118	DOCK6	F1PNB4	Dedicator of cytokinesis 6	False	False	False	4	3	8.60545e+07	6.86587e+07	1.62964	0.0649531	0.154475	0.301005	0.497744	6	6		F1PNB4;J9JHK3
119	SLC16A3	E2QZD4	Solute carrier family 16 member 3	False	False	False	4	3	1.63008e+08	1.65763e+08	1.59146	0.136267	0.246092	0.399937	0.528419	2	2		E2QZD4
120	RNF5	E2QS10	Ring finger protein 5	False	False	False	3	2	7.9475e+07	5.87765e+07	1.586	0.214053	0.31581	0.453446	0.57482	3	3		E2QS10
121	NSD2	J9NUG7	Nuclear receptor binding SET domain protein 2	False	False	False	4	3	4.36675e+07	2.8734e+07	1.5782	0.0258303	0.0823859	0.210379	0.390322	3	3		J9NUG7;F1PK46
122	ARHGAP11A	F1PVD0	Uncharacterized protein	False	False	False	3	2	5.69397e+07	3.56195e+07	1.56522	0.169549	0.269407	0.405751	0.533504	4	4		F1PVD0;J9P6D3
123	NUDT8	J9P7G8	Nudix hydrolase 8	False	False	False	3	2	4.9696e+07	2.92275e+07	1.56491	0.148942	0.249804	0.381694	0.51983	2	2		J9P7G8
124	TIMM23B	J9NUG0	Mitochondrial import inner membrane translocase subunit TIM23	False	False	False	3	2	8.6672e+07	6.81525e+07	1.56467	0.23525	0.338414	0.474292	0.596985	2	2		J9NUG0
125	SLC5A3	P31637	Sodium/myo-inositol cotransporter	False	False	False	4	3	8.96575e+07	7.71867e+07	1.56201	0.0839423	0.186652	0.330884	0.51983	3	3		P31637
126	TMEM131	F1PJS6	Transmembrane protein 131	False	False	False	4	3	5.1368e+07	3.72997e+07	1.5561	0.0392988	0.108572	0.248263	0.432829	3	3		F1PJS6
127	GSTK1	J9NRV1	Glutathione S-transferase kappa	False	False	False	4	3	1.54268e+08	1.60633e+08	1.54139	0.145759	0.246568	0.410338	0.535461	4	4		J9NRV1
128	CGGBP1	E2R433	CGG triplet repeat binding protein 1	False	False	False	4	3	6.2746e+07	4.87183e+07	1.5396	0.0568403	0.139074	0.284317	0.477426	2	2		E2R433
129	SLC30A9	F1PHJ0	Solute carrier family 30 member 9	False	False	False	3	2	6.2054e+07	4.2774e+07	1.53514	0.194536	0.295587	0.432875	0.555827	4	4		F1PHJ0
130		F6Y478	Uncharacterized protein	False	False	False	4	3	1.98742e+08	2.18287e+08	1.5291	0.177286	0.276875	0.442345	0.565004	3	4		F6Y478
131	CGN	A7YH32	Cingulin	False	False	False	3	2	5.33243e+07	3.30925e+07	1.52748	0.170929	0.270881	0.406987	0.534185	4	4	TJ	A7YH32;F1PLU8
132	ARRDC1	F1Q1C9	Arrestin domain containing 1	False	False	False	3	2	8.69973e+07	7.7463e+07	1.49632	0.263168	0.367461	0.500257	0.615615	2	2		F1Q1C9
133	TGFBR1	J9NST9	Receptor protein serine/threonine kinase	False	False	False	3	2	4.73673e+07	2.91765e+07	1.49491	0.163956	0.263583	0.398722	0.527526	2	2	TJ	J9NST9;F1PS63
134	MRPL50	J9P5S7	Mitochondrial ribosomal protein L50	False	False	False	2	1	7.36665e+07	4.7111e+07	1.48871	0.231831	0.334596	0.472294	0.594922	2	2		J9P5S7
135	STXBP2	Q28288	Syntaxin-binding protein 2	False	False	False	4	3	4.87522e+07	3.68017e+07	1.47972	0.0478165	0.123667	0.265118	0.452797	4	4		Q28288
136	UBA52	P63050	Ubiquitin-60S ribosomal protein L40	False	False	False	4	3	7.26525e+07	6.25897e+07	1.47659	0.098836	0.211745	0.34026	0.51983	3	3	IFN;trafficking;immune	P63050;F1PDG4;J9NVT1
137	AGPAT4	F6Y4T4	1-acylglycerol-3-phosphate O-acyltransferase 4	False	False	False	4	3	3.81625e+07	2.54383e+07	1.47611	0.0317131	0.0951829	0.218552	0.398162	3	3		F6Y4T4
138	SLC4A7	F1PTY0	Anion exchange protein	False	False	False	4	3	8.7105e+07	8.01247e+07	1.47538	0.104977	0.221757	0.358834	0.51983	4	4		F1PTY0;J9PAF7
139	AURKB	E2QZL4	Aurora kinase B	False	False	False	3	2	3.80393e+07	2.2402e+07	1.47144	0.138644	0.24621	0.368034	0.51983	2	2		E2QZL4
140	NUMA1	J9P1U4	Nuclear mitotic apparatus protein 1	False	False	False	2	1	7.11035e+07	4.7578e+07	1.45622	0.239394	0.343294	0.479164	0.600464	2	2		J9P1U4
141	ATP11A	F1PX25	Phospholipid-transporting ATPase	False	False	False	3	2	4.8363e+07	3.32425e+07	1.4357	0.190743	0.291036	0.427944	0.550789	3	3		F1PX25
142	MTX1	F6Y4X7	Metaxin 1	False	False	False	4	3	9.27925e+07	9.24823e+07	1.41588	0.130902	0.246092	0.391184	0.51983	4	4		F6Y4X7
143	GFM2	E2R4T4	Ribosome-releasing factor 2, mitochondrial	False	False	False	4	3	3.76362e+07	2.8931e+07	1.3901	0.0459902	0.120367	0.258614	0.444919	4	4		E2R4T4
