accession,pdat,n_samples,title,gdsType,is_human,is_lung,is_ici,is_expression,relevant_text,study_category,leftover_status,already_analysed_note,has_outcome_annotation,outcome_keys,has_TACSTD2,has_CLDN4,peeked_file,n_processed_files,under_2gb,usable_maybe,verdict
GSE150255,2023/05/01,8,IFN-γ induces ZEB1 expression through STAT1-dependent upregulation of JMJD3 to promote lung adenocarcinoma cell aggressiveness,Expression profiling by high throughput sequencing,True,True,True,True,True,bulk_or_other,leftover_relevant,,False,,False,True,GSE150255_SBC_BC190046_gene_expression.txt.gz,1,True,False,leftover: processed matrix peeked; TACSTD2/CLDN4 not both present or outcome missing
GSE164146,2023/01/01,12,Integrative single-cell RNA and T-cell receptor analyses reveal transcriptional features of antigen-reactive tumor-infiltrating regulatory T cells in patients with lung cancer,Expression profiling by high throughput sequencing; Other,True,True,False,True,False,single_cell,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE180941,2023/02/28,22,Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [RNA-seq],Expression profiling by high throughput sequencing,True,False,True,True,False,bulk_or_other,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE180942,2023/02/28,27,Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [CRISPR screen],Other,True,False,True,True,False,bulk_or_other,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE185204,2023/02/14,40,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scRNA-seq],Expression profiling by high throughput sequencing; Other,True,True,True,True,True,single_cell;blood_or_pbmc,leftover_relevant,,False,,False,False,GSE185204_multimer_MSK1263_R1-R6_RNA_R6_barcodes.tsv.gz,48,True,False,leftover: single-cell / sorted-immune; not bulk tumour epithelium for TACSTD2/CLDN4 vs ICI
GSE185205,2023/02/14,36,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scTCR-seq],Other,True,True,True,True,True,single_cell;blood_or_pbmc,leftover_relevant,,False,,,,,0,True,False,leftover: single-cell / sorted-immune; not bulk tumour epithelium for TACSTD2/CLDN4 vs ICI
GSE185206,2023/02/13,108,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade,Expression profiling by high throughput sequencing; Other,True,True,True,True,True,single_cell;blood_or_pbmc,leftover_relevant,,False,,,,,0,True,False,leftover: single-cell / sorted-immune; not bulk tumour epithelium for TACSTD2/CLDN4 vs ICI
GSE186446,2023/02/14,32,Systematic lineage tracing reveals clonal progenitors and long-term persistence of1 tumor-specific T cells during immune checkpoint blockade,Expression profiling by high throughput sequencing,True,True,True,True,True,single_cell;blood_or_pbmc,leftover_relevant,,False,,False,False,GSE186446_fcount_aggr.txt.gz,1,True,False,leftover: single-cell / sorted-immune; not bulk tumour epithelium for TACSTD2/CLDN4 vs ICI
GSE189045,2023/01/12,23,The expression profiles of exosomal miRNAs associated with response to anti-PD-1/PD-L1 monotherapy in advanced NSCLC patients.,Non-coding RNA profiling by array,True,True,True,False,False,other,leftover_lung_ici_not_expr_or_not_human,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE189804,2023/03/22,9,"A549 NRF NT, mock and knockout RNAseq",Expression profiling by high throughput sequencing,True,True,True,True,True,single_cell;cell_line,leftover_relevant,,False,,False,False,GSE189804_A549_counts.txt.gz,2,True,False,leftover: single-cell / sorted-immune; not bulk tumour epithelium for TACSTD2/CLDN4 vs ICI
GSE193534,2023/11/01,33,Distant antimetastatic effect of enterotropic colon cancer-derived α4β7 CD8 T cells [bulk RNA-seq],Expression profiling by high throughput sequencing,True,False,True,True,False,single_cell;blood_or_pbmc,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE195770,2023/01/01,8,Idiopathic pulmonary fibrosis (IPF),Expression profiling by array,True,True,False,True,False,bulk_or_other,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE198099,2023/12/31,6,Immune suppressive landscape in the human non-small cell lung cancer microenvironment,Expression profiling by high throughput sequencing,True,True,False,True,False,single_cell,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE200146,2023/07/07,249,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [human RNA-Seq],Expression profiling by high throughput sequencing,True,False,True,True,False,cell_line;has_mouse_or_xeno,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE201021,2023/01/20,23,Pan-cancer tumor-specific antigens and membrane targets from transposable elements,Other,True,False,False,True,False,bulk_or_other,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE201460,2023/02/26,4,­The proteasome regulator PSME4 reduces the response to immunotherapy by abrogating tumor immunogenicity in NSCLC,Expression profiling by high throughput sequencing,True,True,False,True,False,single_cell,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE201514,2023/01/19,16,TSC2 regulates tumor susceptibility to TRAIL-mediated T cell killing by orchestrating mTOR signaling,Expression profiling by high throughput sequencing,True,False,True,True,False,cell_line,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE205049,2023/07/20,18,Spatially Resolved Multi-Omics Single-Cell Analyses Inform Mechanisms of Immune Dysfunction in Pancreatic Cancer,Expression profiling by high throughput sequencing,True,True,False,True,False,single_cell,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE205354,2023/07/20,8,Spatially resolved multi-omics single-cell analyses inform mechanisms of immune-dysfunction in pancreatic cancer,Expression profiling by high throughput sequencing,True,True,False,True,False,single_cell,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE207422,2023/03/21,39,Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing,Expression profiling by high throughput sequencing,True,True,True,True,True,single_cell,already_analysed,"already analysed in fable_geo_2022_2023 (NSCLC neoadjuvant anti-PD-1+chemo, TACSTD2/CLDN4 vs MPR)",,,,,,,,False,"already analysed in fable_geo_2022_2023 (NSCLC neoadjuvant anti-PD-1+chemo, TACSTD2/CLDN4 vs MPR)"
GSE211282,2023/05/03,85,Rewiring Cancer Drivers to Activate Apoptosis,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,True,False,False,True,False,bulk_or_other,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE213590,2023/09/20,6,FOS deficiency activates NRF2 signaling and CAF-mediated metabolic symbiosis to induce ferroptosis resistance in lung cancer initiation and brain metastasis,Expression profiling by high throughput sequencing,True,True,False,True,False,single_cell;cell_line,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE213902,2023/04/05,6,The utility of circulating CX3CR1+ CD8+ T cells as a predictive correlate of response to chemo-immunotherapy in patients with non-small cell lung cancer,Expression profiling by high throughput sequencing; Other,True,True,True,True,True,single_cell;blood_or_pbmc,leftover_relevant,,False,,False,False,GSE213902_MQpool1_barcodes.tsv.gz,8,True,False,leftover: single-cell / sorted-immune; not bulk tumour epithelium for TACSTD2/CLDN4 vs ICI
GSE214585,2023/03/22,40,Targeting advanced prostate cancer with STEAP1 chimeric antigen receptor T cell and tumor-localized IL-12 immunotherapy,Expression profiling by high throughput sequencing,True,False,False,True,False,bulk_or_other,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE216297,2023/07/10,286,Blood platelet RNA profiles do not enable for nivolumab response prediction at baseline in patients with non-small-cell lung cancer,Expression profiling by high throughput sequencing,True,True,True,True,True,platelet,leftover_relevant,,False,,False,False,GSE216297_TEP_Count_Matrix.RData.gz,1,True,False,"leftover: platelet RNA, not tumour"
