term	es	nes	nom_p	n_set_in_rank	mean_t	lead_genes	n_lead	cohort	split	n_high	n_low	n_rank_genes	bucket	expected	primary	source	enrichr_name	n	fdr_all	fdr_primary
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.4037585812849971	1.9138813795077658	0.000999000999000999	197	0.9320142183100047	SDC4,TRIP10,CLCF1,EHD1,LAMB3,EDN1,IFNGR2,FOSL1,PHLDA2,PLAU,NFKBIE,GADD45A,F2RL1,SMAD3,IL18,AREG,IL23A,IL1A,BIRC3,NFE2L2,IER5,PMEPA1,TNIP2,CCND1,IFIH1	63	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	TNF-alpha Signaling via NF-kB	200	0.002140716426430712	
HALLMARK_HYPOXIA	0.30907649029397805	1.455372198238819	0.003996003996003996	190	0.4200656354081828	ANXA2,SDC4,TES,ADORA2B,SULT2B1,PGM1,SLC2A1,TPBG,PGM2,HS3ST1,GPC1,MT1E,STBD1,IDS,EDN2,PLAC8,CP,DDIT4,IGFBP3,KDELR3,HK1,ENO1,TGFBI,PFKL,JUN	63	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Hypoxia	200	0.007265461810916356	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3691666042660728	1.501557315837857	0.006993006993006993	72	0.7152234009661861	TNFRSF12A,LGALS3,S100A11,PPARG,MAL2,CD9,PCYT2,PLSCR1,FBXO6,ANXA5,NSDHL,EBP,SEMA3B,GUSB,ERRFI1,LDLR,CXCL16,PLAUR,PMVK,GPX8	20	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Cholesterol Homeostasis	74	0.01134001134001134	
HALLMARK_MITOTIC_SPINDLE	0.23641052426518044	1.120008240523968	0.12187812187812187	196	-0.0875292275813825	EZR,ARHGAP27,ARHGAP10,TUBA4A,WASL,CDC42EP1,BCAR1,DST,GSN,RHOF,ACTN4,NET1,CDC42EP4,PXN,MID1,CAPZB,NOTCH2,PDLIM5,CDC42,CD2AP,NCK1,MYO1E,ARF6,TIAM1,ARHGAP29	43	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Mitotic Spindle	199	0.13797523231485495	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.34517156509285146	-1.26112331398179	0.06793206793206794	42	-0.7223385696237432	MAML1,TP53,HDAC2,KAT2A,AXIN2,WNT1,FRAT1,NOTCH1,NKD1,JAG2,RBPJ,DVL2,LEF1,HEY2,NOTCH4,DLL1	16	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Wnt-beta Catenin Signaling	42	0.08318212399845054	
HALLMARK_TGF_BETA_SIGNALING	0.3654942930193391	1.427134235567166	0.023976023976023976	54	0.6859738356479581	CDH1,BCAR3,SMURF1,ACVR1,IFNGR2,SMAD3,PMEPA1,TGFB1,HDAC1,SMURF2,JUNB,LTBP2,RHOA,TJP1,XIAP,TGIF1	16	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	TGF-beta Signaling	54	0.03596403596403596	
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.4278619417461013	1.7839807561397887	0.000999000999000999	87	0.6504108904918053	TNFRSF12A,CRLF2,IL13RA1,IFNGR2,CD9,OSMR,TNFRSF21,MYD88,PDGFC,IFNGR1,IL10RB,IL4R,FAS,CSF2RA,IFNAR1,IL7,JUN,ITGB3,PIM1,TGFB1,IRF9,TLR2,LTBR,STAM2,CD44	25	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	IL-6/JAK/STAT3 Signaling	87	0.002140716426430712	
HALLMARK_DNA_REPAIR	0.1791420609133525	0.814052664363815	0.4825174825174825	140	-0.08725665665141946	VPS37B,CETN2,TK2,CANT1,CDA,GTF2B,POLD4,GUK1,RPA3,POLR3GL,NME3,GPX4,CMPK2,BCAP31,CCNO,DDB2,MPG,APRT,TAF12,RPA2,DGUOK,TAF13,RFC2,ERCC5	24	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	DNA Repair	150	0.4825174825174825	
HALLMARK_G2M_CHECKPOINT	-0.3840358197000133	-1.869303930507364	0.000999000999000999	184	-1.1407799242826193	TPX2,MCM3,CDC45,SYNCRIP,GINS2,MAD2L1,CKS2,NUSAP1,KIF15,KPNA2,PRMT5,AMD1,BUB1,MNAT1,FOXN3,NDC80,POLQ,EWSR1,CCNA2,YTHDC1,KIF11,CHAF1A,DMD,SLC7A1,NCL	100	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	G2-M Checkpoint	200	0.002140716426430712	
HALLMARK_APOPTOSIS	0.48082277849554395	2.226556157371682	0.000999000999000999	158	1.2295383091662282	TNFRSF12A,BCL10,GNA15,ANXA1,LGALS3,BCL2L1,LMNA,CASP4,EMP1,ERBB2,BID,GPX1,GADD45A,TGFB2,EREG,TSPO,IL18,GSN,IFNGR1,DPYD,FAS,TNFSF10,HSPB1,IL1A,BIRC3	59	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Apoptosis	161	0.002140716426430712	
HALLMARK_NOTCH_SIGNALING	0.45172344683555316	1.5418104227158196	0.014985014985014986	32	1.1511622983206444	DTX2,MAML2,PPARD,DTX4,WNT5A,CCND1,NOTCH2,PRKCA,HES1,APH1A,CUL1,LFNG,PSENEN	13	TCGA-LUAD	quartile	129	129	20138	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Notch Signaling	32	0.023053869207715363	
