term	es	nes	nom_p	n_set_in_rank	mean_t	lead_genes	n_lead	cohort	split	n_high	n_low	n_rank_genes	bucket	expected	primary	source	enrichr_name	n	fdr_all	fdr_primary
HALLMARK_APICAL_JUNCTION	0.46010988853047796	2.1925331100662033	0.000999000999000999	194	1.1298220977561824	CLDN4,ITGB4,CDH3,LAMC2,MPZL2,CDH1,CLDN9,LDLRAP1,ITGA3,CDSN,AMIGO2,ITGA2,CAP1,LAMB3,COL17A1,WASL,ADAM15,CNN2,CX3CL1,EXOC4,RHOF,ACTB,ACTN4,RRAS,STX4	72	TCGA-LUAD	quartile	129	129	20138	TJ	UP	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Apical Junction	200	0.002140716426430712	0.0014985014985014985
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.3270493593405462	1.5458747686130292	0.001998001998001998	194	0.5301417334744238	TNFRSF12A,LAMC2,SDC1,SDC4,NT5E,ITGA2,FUCA1,GADD45A,GPC1,DST,CAPG,AREG,ITGB5,FAS,DKK1,WNT5A,PMEPA1,PDLIM4,CD59,TNC,IGFBP3,LOXL1,NOTCH2,COL8A2,TGFBI	41	TCGA-LUAD	quartile	129	129	20138	EMT	DOWN	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Epithelial Mesenchymal Transition	200	0.0038671006412941892	0.002664002664002664
KEGG_TIGHT_JUNCTION	0.44651441081612236	2.0364134673636496	0.000999000999000999	163	1.0515825389504256	CLDN4,CLDN1,EZR,RAC1,MAP3K5,CLDN9,ARPC1B,TUBA4A,MICALL2,ERBB2,AMOT,RAP1A,CLDN16,ARPC1A,ACTB,ACTN4,TJP3,CLDN8,PARD6B,F11R,AMOTL2,SLC9A3R1,MARVELD3,RUNX1,MYL12A	66	TCGA-LUAD	quartile	129	129	20138	TJ	UP	True	Enrichr KEGG_2021_Human	Tight junction	169	0.002140716426430712	0.0014985014985014985
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.4569371037018199	1.712084533201374	0.004995004995004995	45	1.1013074627090935	CLDN4,CLDN1,CLDN9,MICALL2,CLDN16,CLDN8,MARVELD3,CLDN23,CLDN6,GRHL2,PDCD6IP,CLDN3,POF1B,CLDN17,OCEL1	15	TCGA-LUAD	quartile	129	129	20138	TJ	UP	True	Enrichr GO_Biological_Process_2023	Bicellular Tight Junction Assembly (GO:0070830)	47	0.00856286570572285	0.005994005994005994
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.6246828509847907	2.3484486783162306	0.000999000999000999	51	2.186354687396911	KRT16,EPHA2,ANXA1,IVL,EVPL,CDSN,OVOL1,CSTA,ST14,EREG,POU2F3,SPRR3,SCEL,WNT5A,SPRR1B,SPRR1A,TXNIP,ADAM9,PPP3CA,KRT10,CFLAR	21	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Epidermal Cell Differentiation (GO:0009913)	54	0.002140716426430712	0.0014985014985014985
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.37228953852125574	-1.3826932688508946	0.026973026973026972	46	-0.847787268745889	TRIM28,BMP2,ROCK2,ROCK1,NOTCH1,DDX5,TGFBR1,HGF,RBPJ,DDX17,IGF1,HEYL,LEF1,HEY2,SMAD4,EOMES,NOTCH4,FGFR1	18	TCGA-LUAD	quartile	129	129	20138	EMT	DOWN	True	Enrichr GO_Biological_Process_2023	Epithelial To Mesenchymal Transition (GO:0001837)	47	0.03947272239955167	0.026973026973026972
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.7787768378601218	2.2928659325253093	0.000999000999000999	18	3.540685953075964	CLDN4,KRT16,MET,SFN,CLDN1,TP63,LSR,IL18,TMEM79	9	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Establishment Of Skin Barrier (GO:0061436)	19	0.002140716426430712	0.0014985014985014985
GOBP_KERATINOCYTE_DIFFERENTIATION	0.7028580199771127	2.553318271047058	0.000999000999000999	40	2.799820676343101	KRT16,EPHA2,ANXA1,IVL,EVPL,CDSN,CSTA,ST14,EREG,POU2F3,SPRR3,SCEL,WNT5A,SPRR1B,SPRR1A,TXNIP,ADAM9,PPP3CA,KRT10,CFLAR,EXPH5,OPN3	22	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Keratinocyte Differentiation (GO:0030216)	42	0.002140716426430712	0.0014985014985014985
GOBP_KERATINIZATION	0.6741225599051772	2.698756357726792	0.000999000999000999	74	2.317243528087365	KRT16,PPL,SFN,CDH3,IVL,KRT80,EVPL,KRT7,CDSN,KRT81,KRT17,KRT86,SPRR3,TMEM79,KRT78,KRT4,ABCA12,IL1A,LIPK,SPRR1B,SPRR1A,KRT5,KLK5,KRT6B,KRT6A	33	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True	MSigDB v2023.2.Hs (embedded; Enrichr GO_2023 lacks these exact terms)		83	0.002140716426430712	0.0014985014985014985
GOBP_CORNIFICATION	0.6903157687148694	1.6414867713917274	0.008991008991008992	8	2.113865191429437	CDSN,TMEM79,LIPK,KLK5,CASP14	5	TCGA-LUAD	quartile	129	129	20138	KERATIN_BARRIER	UP	True	MSigDB v2023.2.Hs (embedded; Enrichr GO_2023 lacks these exact terms)		9	0.014196329985803672	0.009808373444737083
