gene,n_high,n_low,mean_high,mean_low,detection_high,detection_low,rank_biserial_high_vs_low,mannwhitney_p,bh_fdr,note
Cldn4,156,156,1.1678,0.2472,0.6923,0.1923,0.548,3.598003143076221e-20,5.397004714614331e-19,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Epcam,156,156,2.4396,1.4199,0.9808,0.6859,0.522,1.3093580154294206e-15,9.820185115720654e-15,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Krt8,156,156,1.9444,1.205,0.8269,0.5321,0.324,4.937034004702674e-07,1.8513877517635027e-06,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
B2m,156,156,0.9246,1.0285,0.8141,0.5577,0.034,0.5993588721761387,0.6915679294340062,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
H2-K1,156,156,1.5839,1.3003,0.8974,0.6154,0.118,0.06885841233991793,0.10328761850987692,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
H2-D1,156,156,1.9544,1.3603,0.9359,0.6346,0.255,9.288521477644031e-05,0.00023221303694110078,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Tap1,156,156,0.1464,0.0364,0.3397,0.0577,0.273,2.1312754593540383e-09,1.0656377296770191e-08,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Psmb8,156,156,0.4159,0.3612,0.5705,0.2885,0.206,0.00048088813924858077,0.0010304745841041016,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Stat1,156,156,0.1097,0.1224,0.3462,0.141,0.169,0.0005948991795702847,0.0011154359616942838,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Irf1,156,156,0.3091,0.2377,0.5385,0.2115,0.266,2.8729131669904015e-06,8.618739500971204e-06,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Cxcl9,156,156,0.0,0.0,0.0,0.0,0.0,,,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Cxcl10,156,156,0.0102,0.0154,0.0321,0.0128,0.019,0.26148902515713957,0.32686128144642446,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Cd274,156,156,0.007,0.0374,0.0321,0.0321,-0.001,0.9606313016946744,0.9606313016946744,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Nlrc5,156,156,0.0021,0.0074,0.0128,0.0192,-0.007,0.6464104284559518,0.6925826019170912,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Mki67,156,156,0.0193,0.0099,0.0321,0.0064,0.025,0.10302726716215026,0.1404917279483867,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
Sftpc,156,156,0.8893,1.5303,0.3718,0.4744,-0.149,0.011652367601155247,0.01942061266859208,epithelial cells only (Ptprc-); tertiles of Tacstd2. A Tacstd2-high immune-resistant subset would predict lower MHC/IFN in the high tertile — that pattern is not observed
