dataset	seed_class	scanvi_pred	n
GSE123902	malignant	malignant	1595
GSE123902	other	T/NK	117
GSE123902	T/NK	T/NK	1330
GSE123902	malignant	T/NK	155
GSE123902	T/NK	other	244
GSE123902	other	other	374
GSE123902	malignant	other	452
GSE123902	other	malignant	29
GSE123902	T/NK	malignant	42
GSE131907	malignant	malignant	4176
GSE131907	T/NK	T/NK	2808
GSE131907	other	other	826
GSE131907	other	malignant	10
GSE131907	T/NK	other	1
GSE131907	other	T/NK	4
GSE131907	T/NK	malignant	4
GSE131907	malignant	other	1
GSE205335	malignant	malignant	4477
GSE205335	malignant	T/NK	21
GSE205335	malignant	other	4
GSE205335	T/NK	T/NK	3040
GSE205335	other	other	806
GSE205335	other	T/NK	25
GSE205335	other	malignant	49
GSE205335	T/NK	malignant	27
GSE205335	T/NK	other	1
GSE189357	malignant	malignant	1258
GSE189357	other	other	295
GSE189357	other	malignant	13
GSE189357	T/NK	T/NK	916
GSE189357	T/NK	malignant	64
GSE189357	T/NK	other	280
GSE189357	malignant	T/NK	205
GSE189357	malignant	other	517
GSE189357	other	T/NK	52
