study_accession,brief_title,condition_or_disease,research_focus,queries,gate,score
SDY1064,An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency,lung adenocarcinoma,Oncology,researchFocus=Oncology;term=lung cancer,Mouse LUAD metastasis model. Not human ICI RNA.,not_scored
SDY1079,A targetable CD109-Janus kinase-Stat axis in metastatic lung cancer.,lung cancer,Oncology,researchFocus=Oncology;term=lung cancer,Mouse metastatic lung cancer model. Not human ICI RNA.,not_scored
SDY1085,RNAseq of Tumor-Associated Microglia Reveals Ccl5 as a Stromal Chemokine Critical for NF1 Glioma Growth,optic nerve glioma,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1093,Apc Restoration in Colorectal Cancer,colorectal cancer,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1099,DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into AML,Cytogenetically Normal Acute Myeloid Leukemia,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1108,Systemic Immunity for Cancer Immunotherapy,breast cancer,Oncology,researchFocus=Oncology;term=anti-PD-1,Checkpoint word in a non-lung study. Not scored.,not_scored
SDY1148,Genomic profiles of glioma progression,brain glioma,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1185,Dog Sarcoma Therapy,sarcoma,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1217,AFR in drug resistance of cisplatin in bladder cancer,muscle invasive bladder cancer,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1249,Whole tumor RNA-sequencing and deconvolution of glioma transcriptional signature,optic nerve glioma,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1298,EZH2 as an Therapy Target in Lung Cancer,lung cancer,Oncology,researchFocus=Oncology;term=NSCLC;term=lung cancer,Mouse EZH2 lung cancer model. Not human ICI RNA.,not_scored
SDY1465,Monozygotic and Dizygotic Twin Pair T-Cell Responses to Influenza Vaccination SLVP018 2012,influenza,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1472,Immune Senescence: Comparison of Immune Response to Influenza Vaccine 2007 in Adults of Different Ages,,Immune Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1481,Genetic and Environmental Factors in the Response to Influenza Vaccination 2014,influenza,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1482,Innate and Acquired Immunity to Influenza Infection and Immunization (SLVP029),influenza,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1483,Innate and Acquired Immunity to Influenza Infection and Immunization (SLVP029),influenza,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1484,"Role of CD4+ Memory Phenotype, Memory, and Effector T Cells in Vaccination and Infection (SLVP030)",influenza,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1535,TIGIT is upregulated by HIV-1 infection and marks a highly functional adaptive and mature subset of natural killer cells,human immunodeficiency virus infectious disease,Immune Response,term=checkpoint inhibitor,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1597,Immune Cell Repertoires in Breast Cancer Patients after Adjuvant Chemotherapy,breast cancer,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1637,Immune phenotyping of diverse syngeneic murine brain tumors identifies immunologically distinct types (see companion study SDY1658),glioblastoma|brain glioma,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1658,A comparative CyTOF analysis of resected-tumor samples from human GBM patients and mouse GBM-tumors (see companion study SDY1637),glioblastoma|brain glioma,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1733,Single-Cell immune signature for detecting early-stage HCC and early assessing PD-1 immunotherapy efficacy,liver cancer,Immune Response|Oncology,researchFocus=Oncology;term=anti-PD-1,"HCC, not NSCLC.",not_scored
SDY1743,Antigen-Specific Adaptive Immunity to SARS-CoV-2 in Acute COVID-19,COVID-19,Infection Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1774,Tumor Immune Microenvironment of mIDH1 and wtIDH1 Glioma GEMMs,brain glioma,Immune Response|Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1812,Repeated cross-sectional sero-monitoring of SARS-CoV-2 in New York City,COVID-19,Immune Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1821,MDA5 Governs the Innate Immune Response to SARS-CoV-2 in Lung Epithelial Cells,COVID-19,Immune Response,term=lung cancer,COVID or SARS-CoV-2 study that mentions lung. Not an NSCLC immunotherapy transcriptome.,not_scored
SDY1832,Immunological imprinting of the antibody response in COVID-19 patients,COVID-19,Immune Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1840,Tissue-based SARS-CoV-2 detection in fatal COVID-19 infections: Sustained direct viral-induced damage is not necessary to drive disease progression,COVID-19,Immune Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1917,Impaired neutralizing antibody response to COVID-19 mRNA vaccines in cancer patients,leukemia|COVID-19|cancer|lymphoma|lung cancer|breast cancer,Vaccine Response,term=lung cancer,COVID or SARS-CoV-2 study that mentions lung. Not an NSCLC immunotherapy transcriptome.,not_scored
SDY1967,Longitudinal SARS-CoV-2 mRNA Vaccine-Induced Humoral Immune Responses in Patients with Cancer,COVID-19|cancer,Vaccine Response,term=checkpoint inhibitor,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1977,"SARS-CoV-2 vaccine uptake, perspectives, and adverse reactions following vaccination in patients with cancer undergoing treatment",COVID-19|cancer,Vaccine Response,term=checkpoint inhibitor,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY1998,Stereotactic Body Radiation Therapy in Treating Patients With Metastatic Kidney Cancer Undergoing Surgery,,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2012,Longitudinal COVID-19-vaccination-induced antibody responses and Omicron neutralization in patients with lung cancer,COVID-19|lung cancer,Immune Response,term=lung cancer,COVID or SARS-CoV-2 study that mentions lung. Not an NSCLC immunotherapy transcriptome.,not_scored
SDY2060,Immune memory to COVID-19 vaccines,COVID-19,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2133,Longitudinal metabolomics of human plasma reveals prognostic markers of COVID-19 disease severity,COVID-19,Immune Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2249,Functional Effects of Cardiomyocyte Injury in COVID-19,chronic kidney disease|COVID-19|cardiovascular system disease,Immune Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2281,JAX CCHI-Modulation of Lung Responses to Viral Infection – Microbiome,Viral Respiratory Tract Infection|lung disease|lung cancer,Immune Response,term=lung cancer,Lung mentioned. Title is not a human NSCLC ICI tumor transcriptome.,not_scored
SDY2282,JAX CCHI-Modulation of Lung Responses to Viral Infection- ALI SARS-CoV-2,COVID-19|Viral Respiratory Tract Infection|lung disease,Immune Response,term=lung cancer,COVID or SARS-CoV-2 study that mentions lung. Not an NSCLC immunotherapy transcriptome.,not_scored
SDY2295,Myeloid-specific KDM6B inhibition sensitizes Glioblastoma to PD1 blockade,glioblastoma,Oncology,researchFocus=Oncology;term=anti-PD-1,"Glioblastoma, not NSCLC.",not_scored
SDY2310,Immune characterization of lung tumors by flow cytometry,cancer|lung cancer,Immune Response,term=lung cancer,Flow cytometry of lung tumors. Not a transcriptome.,not_scored
SDY2345,Phosphatidylserine receptors enhance SARS-CoV-2 infection,COVID-19,Infection Response,term=NSCLC;term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
