tf	target	axis	resource	confidence	effect	reference	note
IRF1	ACHE	IFN	CollecTRI		Activation	CollecTRI:10764778	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	AGTR2	IFN	CollecTRI		Activation	CollecTRI2:20596758;CollecTRI2:7650042;CollecTRI:7650042;CollecTRI2:11924718;CollecTRI:20596758;CollecTRI2:30082820;CollecTRI2:19618605;CollecTRI2:32514012;CollecTRI2:9115258;CollecTRI2:10666420	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	AKT1	IFN	CollecTRI		Repression	CollecTRI2:18472010;CollecTRI:18472010;CollecTRI2:20957335	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	BBC3	IFN	CollecTRI		Activation	CollecTRI2:32517688;CollecTRI2:19851330;CollecTRI2:25497010;CollecTRI2:20075864;CollecTRI:19851330;CollecTRI2:22021910;CollecTRI2:21817116	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	BCL2	IFN	CollecTRI		Repression	CollecTRI2:11359801;DoRothEA:10918594;CollecTRI2:20457620;CollecTRI:11359801;CollecTRI2:17363571;TRRUST:10918594;CollecTRI2:19362089;CollecTRI2:10918594;CollecTRI:10918594	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	BCL2L2	IFN	CollecTRI		Repression	CollecTRI:20457620;CollecTRI2:20457620	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	BIRC3	IFN	CollecTRI		Activation	CollecTRI:23271966;CollecTRI2:10751398;CollecTRI:10751398	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	BIRC5	IFN	CollecTRI		Repression	CollecTRI2:15548708;CollecTRI:15548708;CollecTRI2:24220851	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	BLMH	IFN	CollecTRI		Activation	DoRothEA:21190945;CollecTRI:21190945;HTRIdb:21190945;CollecTRI2:21190945	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	C1R	IFN	CollecTRI		Activation	CollecTRI:17159910;CollecTRI2:17159910	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	C4B_2	IFN	CollecTRI		Activation	CollecTRI:21345967	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CAMK4	IFN	CollecTRI		Activation	CollecTRI:11675374;CollecTRI:11464288;CollecTRI:10557076;CollecTRI:10956389;CollecTRI:12493643	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CASP1	IFN	CollecTRI		Activation	CollecTRI:11180100;CollecTRI2:11948692;CollecTRI2:17725714;CollecTRI2:28975621;CollecTRI2:8954078;CollecTRI:16135520;CollecTRI2:21257209;CollecTRI2:12680251;CollecTRI:15467738;CollecTRI2:28564495;CollecTRI2:9420296;CollecTRI2:36384204;CollecTRI2:11180100;CollecTRI:11948692;CollecTRI2:33971110;Collec	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CASP7	IFN	CollecTRI		Activation	DoRothEA:10918594;CollecTRI2:12584735;CollecTRI2:19642896;TRRUST:10918594;CollecTRI2:10918594;CollecTRI:10918594	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CASP8	IFN	CollecTRI		Activation	CollecTRI:23255602;CollecTRI:22427665;CollecTRI2:14993214;CollecTRI2:20457620;CollecTRI2:21389130;CollecTRI:14993214;DoRothEA:17036321;CollecTRI2:17036321;CollecTRI2:23255602;CollecTRI2:11948413;CollecTRI:17036321;HTRIdb:17036321;CollecTRI2:22427665	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CASP9	IFN	CollecTRI		Activation	CollecTRI:19362089;CollecTRI2:19362089	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CCL19	IFN	CollecTRI		Activation	CollecTRI2:33424012;CollecTRI2:17182562;CollecTRI:17182562	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CCL2	IFN	CollecTRI		Activation	CollecTRI2:26674566;CollecTRI:21760952;CollecTRI2:18923432;CollecTRI2:25501823;CollecTRI2:12947309;CollecTRI2:38194130;CollecTRI2:36127734;CollecTRI2:21760952;CollecTRI:11888675;CollecTRI2:19756487	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CCL4	IFN	CollecTRI		Activation	CollecTRI:10358173;CollecTRI2:32508531;CollecTRI2:15381199	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CCL5	IFN	CollecTRI		Activation	DoRothEA:10385645;CollecTRI2:32508531;CollecTRI2:10926836;CollecTRI2:11413310;CollecTRI:15860458;CollecTRI2:16707500;CollecTRI:11413310;CollecTRI2:31235522;CollecTRI2:32853398;CollecTRI:10713367;CollecTRI:10926836;CollecTRI2:10713367;CollecTRI:16707500;CollecTRI2:25505250;CollecTRI:10385645;CollecTR	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CCNB1	IFN	CollecTRI		Repression	CollecTRI:22200613;TRRUST:22200613;CollecTRI2:22200613;DoRothEA:22200613	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CCND1	IFN	CollecTRI		Repression	CollecTRI:17409403;CollecTRI2:24119616;CollecTRI2:7579440;CollecTRI2:21368870;CollecTRI2:17363571;CollecTRI2:17409403;CollecTRI2:21817116	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CCNE1	IFN	CollecTRI		Repression	CollecTRI:22200613;TRRUST:22200613;CollecTRI2:22200613;DoRothEA:22200613	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CCR5	IFN	CollecTRI		Activation	CollecTRI2:18511806;CollecTRI:18511806;CollecTRI2:15381199	CollecTRI via OmniPath; not a lung ChIP peak
