gene	hallmark_apical_junction	kegg_tight_junction	in_filtered_matrix	used_in_hallmark_score	used_in_hallmark_score_no_cldn4	used_in_kegg_score	used_in_kegg_score_no_cldn4
ACTA1	True	False	True	True	True	False	False
ACTB	True	True	True	True	True	True	True
ACTC1	True	False	False	False	False	False	False
ACTG1	True	True	True	True	True	True	True
ACTG2	True	False	True	True	True	False	False
ACTN1	True	True	True	True	True	True	True
ACTN2	True	False	True	True	True	False	False
ACTN3	True	False	False	False	False	False	False
ACTN4	True	True	True	True	True	True	True
ACTR2	False	True	True	False	False	True	True
ACTR3	False	True	True	False	False	True	True
ACTR3B	False	True	True	False	False	True	True
ACTR3C	False	True	True	False	False	True	True
ADAM15	True	False	True	True	True	False	False
ADAM23	True	False	True	True	True	False	False
ADAM9	True	False	True	True	True	False	False
ADAMTS5	True	False	True	True	True	False	False
ADRA1B	True	False	True	True	True	False	False
AFDN	False	True	True	False	False	True	True
AKT2	True	False	True	True	True	False	False
AKT3	True	False	True	True	True	False	False
ALOX15B	True	False	True	True	True	False	False
AMH	True	False	True	True	True	False	False
AMIGO1	True	False	True	True	True	False	False
AMIGO2	True	False	True	True	True	False	False
AMOT	False	True	True	False	False	True	True
AMOTL1	False	True	True	False	False	True	True
AMOTL2	False	True	True	False	False	True	True
ARHGAP17	False	True	True	False	False	True	True
ARHGEF18	False	True	True	False	False	True	True
ARHGEF2	False	True	True	False	False	True	True
ARHGEF6	True	False	True	True	True	False	False
ARPC1A	False	True	True	False	False	True	True
ARPC1B	False	True	True	False	False	True	True
ARPC2	True	True	True	True	True	True	True
ARPC3	False	True	True	False	False	True	True
ARPC4	False	True	True	False	False	True	True
ARPC5	False	True	True	False	False	True	True
ARPC5L	False	True	True	False	False	True	True
ATP1A3	True	False	True	True	True	False	False
B4GALT1	True	False	True	True	True	False	False
BAIAP2	True	False	True	True	True	False	False
BMP1	True	False	True	True	True	False	False
BVES	False	True	True	False	False	True	True
CACNA1D	False	True	True	False	False	True	True
CADM2	True	False	True	True	True	False	False
CADM3	True	False	True	True	True	False	False
CALB2	True	False	True	True	True	False	False
CAP1	True	False	True	True	True	False	False
CCND1	False	True	True	False	False	True	True
CD1A	False	True	True	False	False	True	True
CD1B	False	True	False	False	False	False	False
CD1C	False	True	True	False	False	True	True
CD1D	False	True	True	False	False	True	True
CD1E	False	True	True	False	False	True	True
CD209	True	False	False	False	False	False	False
CD274	True	False	True	True	True	False	False
CD276	True	False	True	True	True	False	False
CD34	True	False	True	True	True	False	False
CD86	True	False	True	True	True	False	False
CD99	True	False	True	True	True	False	False
CDC42	False	True	True	False	False	True	True
CDH1	True	False	True	True	True	False	False
CDH11	True	False	True	True	True	False	False
CDH15	True	False	True	True	True	False	False
CDH3	True	False	True	True	True	False	False
CDH4	True	False	True	True	True	False	False
CDH6	True	False	True	True	True	False	False
CDH8	True	False	True	True	True	False	False
CDK4	False	True	True	False	False	True	True
CDK8	True	False	True	True	True	False	False
CDSN	True	False	True	True	True	False	False
CERCAM	True	False	True	True	True	False	False
CFTR	False	True	True	False	False	True	True
CGN	False	True	True	False	False	True	True
CGNL1	False	True	True	False	False	True	True
CLDN1	False	True	True	False	False	True	True
CLDN10	False	True	True	False	False	True	True
CLDN11	True	True	True	True	True	True	True
CLDN14	True	True	True	True	True	True	True
CLDN15	True	True	True	True	True	True	True
CLDN16	False	True	True	False	False	True	True
CLDN17	False	True	False	False	False	False	False
CLDN18	True	True	True	True	True	True	True
CLDN19	True	True	True	True	True	True	True
CLDN2	False	True	True	False	False	True	True
CLDN20	False	True	False	False	False	False	False
CLDN22	False	True	True	False	False	True	True
CLDN23	False	True	True	False	False	True	True
CLDN24	False	True	False	False	False	False	False
CLDN25	False	True	False	False	False	False	False
CLDN3	False	True	True	False	False	True	True
CLDN34	False	True	False	False	False	False	False
CLDN4	True	True	True	True	False	True	False
CLDN5	True	True	True	True	True	True	True
CLDN6	True	True	True	True	True	True	True
CLDN7	True	True	True	True	True	True	True
CLDN8	True	True	True	True	True	True	True
CLDN9	True	True	True	True	True	True	True
CNN2	True	False	True	True	True	False	False
CNTN1	True	False	True	True	True	False	False
COL16A1	True	False	True	True	True	False	False
COL17A1	True	False	True	True	True	False	False
COL9A1	True	False	True	True	True	False	False
CRAT	True	False	True	True	True	False	False
CRB3	True	True	True	True	True	True	True
CTNNA1	True	False	True	True	True	False	False
CTNND1	True	False	True	True	True	False	False
CTTN	False	True	True	False	False	True	True
CX3CL1	True	False	True	True	True	False	False
DHX16	True	False	True	True	True	False	False
DLG1	True	True	True	True	True	True	True
DLG2	False	True	True	False	False	True	True
DLG3	False	True	True	False	False	True	True
DMP1	True	False	False	False	False	False	False
DSC1	True	False	False	False	False	False	False
DSC3	True	False	True	True	True	False	False
EGFR	True	False	True	True	True	False	False
EPB41L2	True	False	True	True	True	False	False
EPB41L4B	False	True	True	False	False	True	True
ERBB2	False	True	True	False	False	True	True
EVL	True	False	True	True	True	False	False
EXOC4	True	False	True	True	True	False	False
EZR	False	True	True	False	False	True	True
F11R	False	True	True	False	False	True	True
FBN1	True	False	True	True	True	False	False
FLNC	True	False	True	True	True	False	False
FSCN1	True	False	True	True	True	False	False
FYB1	True	False	True	True	True	False	False
GAMT	True	False	True	True	True	False	False
GATA4	False	True	False	False	False	False	False
GNAI1	True	False	True	True	True	False	False
GNAI2	True	False	True	True	True	False	False
GRB7	True	False	True	True	True	False	False
GTF2F1	True	False	True	True	True	False	False
HADH	True	False	True	True	True	False	False
HCLS1	False	True	True	False	False	True	True
HRAS	True	False	True	True	True	False	False
HSPA4	False	True	True	False	False	True	True
ICAM1	True	False	True	True	True	False	False
ICAM2	True	False	True	True	True	False	False
ICAM4	True	False	True	True	True	False	False
ICAM5	True	False	True	True	True	False	False
IGSF5	False	True	True	False	False	True	True
IKBKG	True	False	True	True	True	False	False
INPPL1	True	False	True	True	True	False	False
INSIG1	True	False	True	True	True	False	False
IRS1	True	False	True	True	True	False	False
ITGA10	True	False	True	True	True	False	False
ITGA2	True	False	True	True	True	False	False
ITGA3	True	False	True	True	True	False	False
ITGA9	True	False	True	True	True	False	False
ITGB1	True	True	True	True	True	True	True
ITGB4	True	False	True	True	True	False	False
JAM2	False	True	True	False	False	True	True
JAM3	True	True	True	True	True	True	True
JUN	False	True	True	False	False	True	True
JUP	True	False	True	True	True	False	False
KCNH2	True	False	True	True	True	False	False
KRT31	True	False	True	True	True	False	False
LAMA3	True	False	True	True	True	False	False
LAMB3	True	False	True	True	True	False	False
LAMC2	True	False	True	True	True	False	False
LAYN	True	False	True	True	True	False	False
LDLRAP1	True	False	True	True	True	False	False
LIMA1	True	False	True	True	True	False	False
LLGL1	False	True	True	False	False	True	True
LLGL2	False	True	True	False	False	True	True
MADCAM1	True	False	True	True	True	False	False
MAGI1	False	True	True	False	False	True	True
MAP2K7	False	True	True	False	False	True	True
MAP3K1	False	True	True	False	False	True	True
MAP3K20	True	False	True	True	True	False	False
MAP3K5	False	True	True	False	False	True	True
MAP4K2	True	False	True	True	True	False	False
MAPK10	False	True	True	False	False	True	True
MAPK11	True	False	True	True	True	False	False
MAPK13	True	False	True	True	True	False	False
MAPK14	True	False	True	True	True	False	False
MAPK8	False	True	True	False	False	True	True
MAPK9	False	True	True	False	False	True	True
MARVELD2	False	True	True	False	False	True	True
MARVELD3	False	True	True	False	False	True	True
MDK	True	False	True	True	True	False	False
MICALL2	False	True	True	False	False	True	True
MMP2	True	False	True	True	True	False	False
MMP9	True	False	True	True	True	False	False
MPDZ	False	True	True	False	False	True	True
MPP4	False	True	True	False	False	True	True
MPP5	True	False	True	True	True	False	False
MPZL1	True	False	True	True	True	False	False
MPZL2	True	False	True	True	True	False	False
MSN	True	True	True	True	True	True	True
MVD	True	False	True	True	True	False	False
MYH10	True	True	True	True	True	True	True
MYH11	False	True	True	False	False	True	True
MYH14	False	True	True	False	False	True	True
MYH9	True	True	True	True	True	True	True
MYL12A	False	True	True	False	False	True	True
MYL12B	True	True	True	True	True	True	True
MYL2	False	True	False	False	False	False	False
MYL6	False	True	True	False	False	True	True
MYL6B	False	True	True	False	False	True	True
MYL9	True	True	True	True	True	True	True
NECTIN1	True	False	True	True	True	False	False
NECTIN2	True	False	True	True	True	False	False
NECTIN3	True	False	True	True	True	False	False
NECTIN4	True	False	True	True	True	False	False
NEDD4	False	True	True	False	False	True	True
NEDD4L	False	True	True	False	False	True	True
NEGR1	True	False	True	True	True	False	False
NEXN	True	False	True	True	True	False	False
NF1	True	False	True	True	True	False	False
NF2	True	True	True	True	True	True	True
NFASC	True	False	True	True	True	False	False
NLGN2	True	False	True	True	True	False	False
NLGN3	True	False	True	True	True	False	False
NRAP	True	False	False	False	False	False	False
NRTN	True	False	True	True	True	False	False
NRXN2	True	False	True	True	True	False	False
OCLN	False	True	True	False	False	True	True
PALS1	False	True	False	False	False	False	False
PARD3	False	True	True	False	False	True	True
PARD6A	False	True	True	False	False	True	True
PARD6B	False	True	True	False	False	True	True
PARD6G	True	True	True	True	True	True	True
PARVA	True	False	True	True	True	False	False
PATJ	False	True	True	False	False	True	True
PBX2	True	False	True	True	True	False	False
PCDH1	True	False	True	True	True	False	False
PCNA	False	True	True	False	False	True	True
PDZD3	True	False	True	True	True	False	False
PECAM1	True	False	True	True	True	False	False
PFN1	True	False	True	True	True	False	False
PIK3CB	True	False	True	True	True	False	False
PIK3R3	True	False	True	True	True	False	False
PKD1	True	False	True	True	True	False	False
PLCG1	True	False	True	True	True	False	False
PPP2CA	False	True	True	False	False	True	True
PPP2CB	False	True	True	False	False	True	True
PPP2R1A	False	True	True	False	False	True	True
PPP2R1B	False	True	True	False	False	True	True
PPP2R2A	False	True	True	False	False	True	True
PPP2R2B	False	True	True	False	False	True	True
PPP2R2C	True	True	True	True	True	True	True
PPP2R2D	False	True	True	False	False	True	True
PRKAA1	False	True	True	False	False	True	True
PRKAA2	False	True	True	False	False	True	True
PRKAB1	False	True	True	False	False	True	True
PRKAB2	False	True	True	False	False	True	True
PRKACA	False	True	True	False	False	True	True
PRKACB	False	True	True	False	False	True	True
PRKACG	False	True	False	False	False	False	False
PRKAG1	False	True	True	False	False	True	True
PRKAG2	False	True	True	False	False	True	True
PRKAG3	False	True	False	False	False	False	False
PRKCE	False	True	True	False	False	True	True
PRKCI	False	True	True	False	False	True	True
PRKCZ	False	True	True	False	False	True	True
PTEN	True	False	True	True	True	False	False
PTK2	True	False	True	True	True	False	False
PTPRC	True	False	True	True	True	False	False
RAB13	False	True	True	False	False	True	True
RAB8A	False	True	True	False	False	True	True
RAB8B	False	True	True	False	False	True	True
RAC1	False	True	True	False	False	True	True
RAC2	True	False	True	True	True	False	False
RAP1A	False	True	True	False	False	True	True
RAP2C	False	True	True	False	False	True	True
RAPGEF2	False	True	True	False	False	True	True
RAPGEF6	False	True	True	False	False	True	True
RASA1	True	False	True	True	True	False	False
RDX	False	True	True	False	False	True	True
RHOA	False	True	True	False	False	True	True
RHOF	True	False	True	True	True	False	False
ROCK1	False	True	True	False	False	True	True
ROCK2	False	True	True	False	False	True	True
RRAS	True	False	True	True	True	False	False
RSU1	True	False	True	True	True	False	False
RUNX1	False	True	True	False	False	True	True
SCRIB	False	True	True	False	False	True	True
SDC3	True	False	True	True	True	False	False
SGCE	True	False	True	True	True	False	False
SHC1	True	False	True	True	True	False	False
SHROOM2	True	False	True	True	True	False	False
SIRPA	True	False	True	True	True	False	False
SKAP2	True	False	True	True	True	False	False
SLC30A3	True	False	True	True	True	False	False
SLC9A3R1	False	True	True	False	False	True	True
SLIT2	True	False	True	True	True	False	False
SORBS3	True	False	True	True	True	False	False
SPEG	True	False	True	True	True	False	False
SRC	True	True	True	True	True	True	True
STK11	False	True	True	False	False	True	True
STX4	True	False	True	True	True	False	False
SYK	True	False	True	True	True	False	False
SYMPK	True	True	True	True	True	True	True
SYNPO	False	True	True	False	False	True	True
TACSTD2	False	False	True	False	False	False	False
TAOK2	True	False	True	True	True	False	False
TGFBI	True	False	True	True	True	False	False
THBS3	True	False	True	True	True	False	False
THY1	True	False	True	True	True	False	False
TIAL1	True	False	True	True	True	False	False
TIAM1	False	True	True	False	False	True	True
TJAP1	False	True	True	False	False	True	True
TJP1	True	True	True	True	True	True	True
TJP2	False	True	True	False	False	True	True
TJP3	False	True	True	False	False	True	True
TMEM8B	True	False	True	True	True	False	False
TNFRSF11B	True	False	True	True	True	False	False
TRAF1	True	False	True	True	True	False	False
TRO	True	False	True	True	True	False	False
TSC1	True	False	True	True	True	False	False
