symbol	chrom	start
DDX11L1	1	11873
WASH7P	1	14361
MIR6859-1	1	17368
MIR6859-2	1	17368
MIR6859-3	1	17368
MIR6859-4	1	17368
MIR1302-10	1	30365
MIR1302-11	1	30365
MIR1302-2	1	30365
MIR1302-9	1	30365
FAM138A	1	34610
FAM138C	1	34610
FAM138F	1	34610
OR4F5	1	69090
LOC729737	1	134772
DDX11L17	1	182387
OR4F16	1	450739
OR4F29	1	450739
LOC100132062	1	490755
LOC100132287	1	490755
LOC101928626	1	627379
MIR12136	1	632614
LOC100288069	1	725758
FAM87B	1	817370
LINC00115	1	826205
LINC01128	1	827590
FAM41C	1	868070
LINC02593	1	916817
LOC107985728	1	920242
SAMD11	1	923922
NOC2L	1	944202
KLHL17	1	960583
PLEKHN1	1	966481
PERM1	1	975197
HES4	1	998963
ISG15	1	1013496
AGRN	1	1020119
LOC100288175	1	1059733
LOC105378948	1	1065634
RNF223	1	1070966
C1ORF159	1	1081822
LINC01342	1	1137016
MIR200B	1	1167103
MIR200A	1	1167862
MIR429	1	1169004
TTLL10	1	1173879
TNFRSF18	1	1203507
TNFRSF4	1	1211339
SDF4	1	1216930
B3GALT6	1	1232236
C1QTNF12	1	1242452
UBE2J2	1	1253911
SCNN1D	1	1280435
ACAP3	1	1292390
MIR6726	1	1296109
SNORD167	1	1304728
PUSL1	1	1308579
INTS11	1	1311584
MIR6727	1	1312501
CPTP	1	1324801
TAS1R3	1	1331279
DVL1	1	1335277
MIR6808	1	1339649
MXRA8	1	1352688
AURKAIP1	1	1373735
CCNL2	1	1385710
MRPL20-AS1	1	1399529
MRPL20	1	1401908
ANKRD65	1	1418419
TMEM88B	1	1426127
LINC01770	1	1430156
VWA1	1	1435689
ATAD3C	1	1449688
ATAD3B	1	1471764
ATAD3A	1	1512161
TMEM240	1	1534777
SSU72	1	1541672
FNDC10	1	1598011
LOC105378586	1	1599432
MIB2	1	1615414
MMP23B	1	1632172
MMP23A	1	1632779
CDK11B	1	1635224
SLC35E2B	1	1661477
CDK11A	1	1702378
SLC35E2A	1	1724837
NADK	1	1751231
GNB1	1	1785284
LOC105378949	1	1891179
CALML6	1	1915259
TMEM52	1	1917590
CFAP74	1	1921956
GABRD	1	2019344
LOC105378591	1	2049200
PRKCZ	1	2050410
PRKCZ-AS1	1	2181793
FAAP20	1	2184459
LOC112268219	1	2189797
SKI	1	2228318
MORN1	1	2321252
LOC100129534	1	2350414
RER1	1	2391840
PEX10	1	2403973
PLCH2	1	2467450
PANK4	1	2508536
HES5	1	2528744
TNFRSF14-AS1	1	2549919
TNFRSF14	1	2556364
LOC100996583	1	2566534
PRXL2B	1	2586522
MMEL1	1	2590639
TTC34	1	2641268
ACTRT2	1	3021466
PRDM16-DT	1	3059616
PRDM16	1	3069202
MIR4251	1	3127974
ARHGEF16	1	3454664
MEGF6	1	3487950
MIR551A	1	3560695
TPRG1L	1	3625014
WRAP73	1	3630769
TP73	1	3652515
TP73-AS1	1	3735983
CCDC27	1	3752449
SMIM1	1	3772748
LRRC47	1	3778558
CEP104	1	3812085
DFFB	1	3857266
C1ORF174	1	3889132
LINC01134	1	3900403
LINC01346	1	3940611
LINC01345	1	3947148
LINC01777	1	4412050
LINC01646	1	4571486
AJAP1	1	4654608
MIR4689	1	5862671
NPHP4	1	5862810
KCNAB2	1	5992675
CHD5	1	6101786
RPL22	1	6185019
RNF207-AS1	1	6204839
RNF207	1	6206118
ICMT	1	6221192
LINC00337	1	6236239
HES3	1	6244178
GPR153	1	6247352
ACOT7	1	6264271
HES2	1	6415233
ESPN	1	6424775
MIR4252	1	6429833
TNFRSF25	1	6460785
PLEKHG5	1	6467121
NOL9	1	6521346
TAS1R1	1	6555306
ZBTB48	1	6579993
KLHL21	1	6590723
PHF13	1	6613730
THAP3	1	6625149
DNAJC11	1	6634169
LINC01672	1	6724744
CAMTA1-DT	1	6783891
CAMTA1	1	6785453
CAMTA1-AS2	1	7382486
VAMP3	1	7771295
PER3	1	7784290
UTS2	1	7847611
TNFRSF9	1	7915870
PARK7	1	7961710
ERRFI1	1	8011726
LINC01714	1	8208671
SLC45A1	1	8318113
RERE	1	8352403
RERE-AS1	1	8424644
SNORD128	1	8494799
ENO1	1	8860999
MIR6728	1	8866501
ENO1-AS1	1	8878834
CA6	1	8945867
SLC2A7	1	9003299
SLC2A5	1	9035105
GPR157	1	9100304
MIR34AHG	1	9148010
MIR34A	1	9151667
LNCTAM34A	1	9182203
H6PD	1	9234773
SPSB1	1	9292893
LINC02606	1	9425093
SLC25A33	1	9539464
TMEM201	1	9588910
PIK3CD	1	9651730
PIK3CD-AS1	1	9652609
PIK3CD-AS2	1	9672425
CLSTN1	1	9729020
CTNNBIP1	1	9848275
LZIC	1	9922117
NMNAT1	1	9942922
TMEM274P	1	9950571
MIR5697	1	9967380
RBP7	1	9997227
UBE4B	1	10032957
KIF1B	1	10210569
PGD	1	10399063
CENPS	1	10430432
CENPS-CORT	1	10430432
CORT	1	10450030
DFFA	1	10456521
PEX14	1	10474949
CASZ1	1	10636605
C1ORF127	1	10946472
TARDBP	1	11012653
MASP2	1	11026522
SRM	1	11054589
EXOSC10	1	11066618
EXOSC10-AS1	1	11099674
MTOR	1	11106534
MTOR-AS1	1	11143897
ANGPTL7	1	11189354
UBIAD1	1	11273197
DISP3	1	11479154
LINC01647	1	11609530
FBXO2	1	11648386
FBXO44	1	11654406
FBXO6	1	11664199
MAD2L2	1	11674479
DRAXIN	1	11691709
AGTRAP	1	11736084
C1ORF167	1	11762192
C1ORF167-AS1	1	11777076
MTHFR	1	11785725
CLCN6	1	11806095
NPPA-AS1	1	11840318
NPPA	1	11845709
NPPB	1	11857463
RNU5E-1	1	11908153
KIAA2013	1	11919590
PLOD1	1	11934716
MFN2	1	11980180
MIIP	1	12019497
MIR6729	1	12029157
TNFRSF8	1	12063302
MIR7846	1	12166942
TNFRSF1B	1	12166990
MIR4632	1	12191712
VPS13D	1	12230029
SNORA59A	1	12507245
SNORA59B	1	12507245
DHRS3	1	12567909
MIR6730	1	12578956
AADACL4	1	12644084
AADACL3	1	12716109
C1ORF158	1	12746199
PRAMEF12	1	12773737
PRAMEF1	1	12791396
LINC01784	1	12822685
PRAMEF11	1	12824604
HNRNPCL1	1	12847376
PRAMEF2	1	12857085
PRAMEF4	1	12879211
PRAMEF10	1	12892895
PRAMEF7	1	12916646
PRAMEF6	1	12938471
HNRNPCL4	1	13061160
PRAMEF25	1	13073677
PRAMEF26	1	13073677
HNRNPCL2	1	13115487
PRAMEF34P	1	13127068
PRAMEF36P	1	13127068
HNRNPCL3	1	13163918
PRAMEF27	1	13170218
PRAMEF9	1	13175280
PRAMEF13	1	13196187
PRAMEF18	1	13222694
PRAMEF22	1	13223331
PRAMEF5	1	13254176
PRAMEF8	1	13281303
PRAMEF33	1	13303538
PRAMEF15	1	13315580
PRAMEF14	1	13341891
PRAMEF19	1	13368441
PRAMEF17	1	13389631
PRAMEF20	1	13410449
LRRC38	1	13474972
PDPN	1	13583756
PRDM2	1	13700187
KAZN-AS1	1	14348954
KAZN	1	14598684
TMEM51-AS1	1	15111814
TMEM51	1	15152531
