dataset	subset	contrast	score	n_left	n_right	median_left	median_right	U	p	delta_median
GSE154989	all_stages	KP_minus_K	epi_mean_Cldn4	9	15	0.4232306480407715	0.8623497486114502	103.0	0.03688842570704982	0.4391191005706787
GSE154989	all_stages	KP_minus_K	epi_mean_Tacstd2	9	15	0.5204456448554993	0.3797113299369812	56.0	0.5118799273370487	-0.14073431491851807
GSE154989	all_stages	KP_minus_K	epi_mean_NHEJ	9	15	0.0975026786327362	0.11289956420660019	113.0	0.007290358091535638	0.015396885573863983
GSE154989	all_stages	KP_minus_K	epi_mean_STING	9	15	0.07261370122432709	0.07303058356046677	61.0	0.7205147871362552	0.00041688233613967896
GSE154989	all_stages	KP_minus_K	epi_mean_IFN	9	15	0.024248957633972168	0.02039559930562973	43.0	0.15240628395674932	-0.0038533583283424377
GSE154989	01_T_early_ND	KP_minus_K	epi_mean_Cldn4	0	0					
GSE154989	01_T_early_ND	KP_minus_K	epi_mean_Tacstd2	0	0					
GSE154989	01_T_early_ND	KP_minus_K	epi_mean_NHEJ	0	0					
GSE154989	01_T_early_ND	KP_minus_K	epi_mean_STING	0	0					
GSE154989	01_T_early_ND	KP_minus_K	epi_mean_IFN	0	0					
GSE154989	02_KorKP_early_ND	KP_minus_K	epi_mean_Cldn4	3	1	0.14513470232486725	0.25046464800834656			0.10532994568347931
GSE154989	02_KorKP_early_ND	KP_minus_K	epi_mean_Tacstd2	3	1	0.5192813277244568	0.4705742597579956			-0.04870706796646118
GSE154989	02_KorKP_early_ND	KP_minus_K	epi_mean_NHEJ	3	1	0.0975026786327362	0.10612080991268158			0.008618131279945374
GSE154989	02_KorKP_early_ND	KP_minus_K	epi_mean_STING	3	1	0.07261370122432709	0.11889170110225677			0.04627799987792969
GSE154989	02_KorKP_early_ND	KP_minus_K	epi_mean_IFN	3	1	0.02768719755113125	0.02039559930562973			-0.007291598245501518
GSE154989	04_K_12w_ND	KP_minus_K	epi_mean_Cldn4	3	0	0.4232306480407715				
GSE154989	04_K_12w_ND	KP_minus_K	epi_mean_Tacstd2	3	0	0.5815983414649963				
GSE154989	04_K_12w_ND	KP_minus_K	epi_mean_NHEJ	3	0	0.08641966432332993				
GSE154989	04_K_12w_ND	KP_minus_K	epi_mean_STING	3	0	0.07503747940063477				
GSE154989	04_K_12w_ND	KP_minus_K	epi_mean_IFN	3	0	0.024248957633972168				
GSE154989	05_K_30w_ND	KP_minus_K	epi_mean_Cldn4	3	0	0.451802134513855				
GSE154989	05_K_30w_ND	KP_minus_K	epi_mean_Tacstd2	3	0	0.5204456448554993				
GSE154989	05_K_30w_ND	KP_minus_K	epi_mean_NHEJ	3	0	0.10812535136938095				
GSE154989	05_K_30w_ND	KP_minus_K	epi_mean_STING	3	0	0.06965379416942596				
GSE154989	05_K_30w_ND	KP_minus_K	epi_mean_IFN	3	0	0.02206825464963913				
GSE154989	06_KP_12w_ND	KP_minus_K	epi_mean_Cldn4	0	6		0.9066630601882935			
GSE154989	06_KP_12w_ND	KP_minus_K	epi_mean_Tacstd2	0	6		0.5511433631181717			
GSE154989	06_KP_12w_ND	KP_minus_K	epi_mean_NHEJ	0	6		0.11710353940725327			
GSE154989	06_KP_12w_ND	KP_minus_K	epi_mean_STING	0	6		0.07521385326981544			
GSE154989	06_KP_12w_ND	KP_minus_K	epi_mean_IFN	0	6		0.022885484620928764			
GSE154989	07_KP_20w_ND	KP_minus_K	epi_mean_Cldn4	0	5		0.5653993487358093			
GSE154989	07_KP_20w_ND	KP_minus_K	epi_mean_Tacstd2	0	5		0.19315193593502045			
GSE154989	07_KP_20w_ND	KP_minus_K	epi_mean_NHEJ	0	5		0.0998615249991417			
GSE154989	07_KP_20w_ND	KP_minus_K	epi_mean_STING	0	5		0.06594476103782654			
GSE154989	07_KP_20w_ND	KP_minus_K	epi_mean_IFN	0	5		0.017934497445821762			
GSE154989	08_KP_30w_ND	KP_minus_K	epi_mean_Cldn4	0	3		0.9764447212219238			
GSE154989	08_KP_30w_ND	KP_minus_K	epi_mean_Tacstd2	0	3		0.3797113299369812			
