item	call	number	source
Concordant-4 TACSTD2 %pos vs T/NK	NULL	ρ=−0.112, p=0.46, I²=15%, N=65. Do not quote CLDN4 ρ=−0.531 as TACSTD2.	#718 / #739
CosMx TACSTD2 at 50 and 100 µm	Not 8/8	Count ratios 0.854 (7/8) and 0.947 (4/8). Short-range 0.455 / 0.670 is the YES row.	#726
CPTAC TROP2 protein vs CD8A protein	NO	LUAD ρ=−0.038 and LSCC ρ=−0.103; both CIs cross 0.	#721
CPTAC LSCC TROP2 protein vs xCell CD8	NULL	ρ=−0.080, n=108, p=0.41.	#99
TISMO Tacstd2 after ICB	Not fewer T/NK	49/64 groups up, Wilcoxon p=5.8e-5. Cldn4 is 34/64, not 49/64. Baseline CD8 link is positive. No true KL/KP lung line.	#152 / #173
Public GEMM Cldn4 %pos vs T/NK	Opposite	REML pooled ρ=+0.477, p=0.302, I²=72%, 34 mice. IFN pooled ρ=+0.092.	#677
Mouse n=4 Cldn4 or Tacstd2 vs T fraction	Exploratory	ρ=−1.000, exact p=0.083. Not confirmatory. IFN/APM on the same grid can be ρ=+1.	#700 / #743
DepMap NSCLC TROP2 vs Hallmark IFN-γ	Opposite of cold	ρ=+0.339 (n=143). TJ does not explain it away (partial +0.277).	#740
Concordant-4 broad TJ score vs T/NK	NULL	ρ=+0.137, p=0.60. TJ-core ρ=−0.191, p=0.41. Immune exclusion stays on CLDN4 %pos.	#741
CLDN4 Q4 vs Q1 KEGG tight junction	Not up	NES=+1.13; patient bootstrap crosses zero.	#691
TACSTD2 → CLDN4 → immune mediation	NULL as a proportion	CosMx and concordant-4 primary mediation rows are null (#718). No spec kept mediation proportion inside (0, 1) with a negative direct coefficient (#733). CosMx 10–20 µm TACSTD2 exclusion is not accounted for by CLDN4 (rank attenuation 0.124 / 0.103, #726).	#718 / #733 / #726
TCGA surface ranking as a CLDN4 pin	Does not pin	LUAD CLDN4 rank 7, partial +0.122. CLDN7, EPCAM, and MUC1 are stronger. Head-to-head vs CLDN7 on concordant-4 is p=0.17 (#644).	Handoff; #644; #728
GSE126044 non-responders have higher TJ	Fragile	Recovered only for one 7-gene z-mean (p=0.019, n=5 vs 11). CLDN4 alone p=0.115. Response is aliased with FFPE.	#90
Visium / Stereo-seq / GeoMx / official Xenium lung panel	Do not upgrade	Mixed spots, missing CLDN4, or opposite sign. Do not write a same-spot correlation as spatial exclusion.	Handoff; #544–#566 except #551 and #561
Human ICI bulk CLDN4 rises after resistance	Not supported	GSE126044, GSE135222, GSE248249, GSE248378 and related sets are small, mixed, or opposite.	Handoff
Public mouse merged with private 8KL	Do not merge	GSE165641, GSE180963, GSE154977 stay separate from the private eight KL matrices.	Handoff
Discordant human scRNA added to concordant-4	Do not add	GSE148071, GSE127465, GSE154826, GSE200563, E-MTAB-13526 dilute or flip the sign.	Handoff
Broad Tacstd2-high GSEA, TJ in ranks 1–3	NO	any_cohort_highlight_in_top3 = false on a 589-set universe (#744). The focused-set rank 1 (#746) stays PARTIAL in P1-T7.	#744
