dataset,class,system,cldn4_status,cldn4_expression,n,evidence,url
cpg0016 JUMP ORF,cell_painting_genetic,U2OS arrayed ORF,overexpressed,no same-well RNA; DepMap U2OS TPM is an external gene-level annotation in the Morphmap paper and was not recomputed here,5 wells,JCP2022_905637; NM_001305.4; pLX_304; insert 627 nt,https://github.com/jump-cellpainting/datasets
cpg0016 JUMP CRISPR,cell_painting_genetic,U2OS arrayed CRISPR,knockout reagent,no same-well RNA,5 wells,JCP2022_801379; source_13 plates CP-CC9-R1-06 through R5-06 well G18,https://github.com/jump-cellpainting/datasets
RxRx3-core,cell_painting_genetic,"HUVEC CRISPR, six-channel modified Cell Painting",unblinded knockout,no expression column in metadata,"89 wells, 5 guides",metadata_rxrx3_core.csv gene=CLDN4; experiments gene-003 and gene-176,https://huggingface.co/datasets/recursionpharma/rxrx3-core
cpg0021 PERISCOPE,cell_painting_genetic,"A549 and HeLa pooled CRISPR, Cell Painting variant",in the screened genome; not a 1% FDR hit,baseline DepMap 21Q4 only: A549 log2(TPM+1)=2.118 (TPM=3.34); HeLa log2(TPM+1)=4.145 (TPM=16.69),genome-wide; A549 NGS lists 4 CLDN4 barcodes,"absent from six published 1% FDR hit lists; HeLa feature-count sums near the expressed-gene median; DAPI channel is a DNA stain, not gamma-H2AX",https://github.com/broadinstitute/2022_PERISCOPE
cpg0003 Rosetta / Haghighi 2022,cell_painting_plus_l1000,"five matched Cell Painting + L1000 sets (CDRP, CDRP-bio, LUAD alleles, TA-ORF, LINCS pilot)",not a queried perturbation in Rohban or LUAD allele lists,"LINCS geneinfo_beta feature_space=best inferred, not a 978-gene landmark. The 8.5 GB cpg0003 matrices were not opened, so a BING-inferred CLDN4 column was not confirmed or excluded by a file read","12,328 BING genes include CLDN4 as inferred",gene_id 1364; Haghighi et al. describe the released L1000 profiles as the 978 landmark genes,https://doi.org/10.1038/s41592-022-01667-0
cpg0017 Rohban TA-ORF / BBBC037,cell_painting_genetic,U2OS ORF overexpression,absent,no,302 constructs in the sequence-match table,matching.per.table.csv has no CLDN4; eLife 24060 text has no CLDN4,https://doi.org/10.7554/eLife.24060
cpg0031 Caicedo LUAD alleles,cell_painting_genetic,"A549 ORF alleles, paired L1000 in the Rosetta set",absent,L1000 may infer CLDN4 as a response gene; CLDN4 is not one of the perturbed genes,135 gene prefixes in gene_funcs.csv,inputs/metadata/l1k/gene_funcs.csv,https://github.com/broadinstitute/luad-cell-painting
JUMP-Target-1 ORF plate,cell_painting_genetic,compound-target ORF subset,absent,no,175 ORF metadata rows,JUMP-Target-1_orf_metadata.tsv,https://github.com/jump-cellpainting/JUMP-Target
idr0080 Cell Health,dna_damage_morphology,"A549, ES2, HCC44 CRISPR; Cell Painting plus a separate cell-cycle panel",absent from the perturbation table,no expression matrix,127 perturbation rows; paper describes 59 genes / 119 guides,gamma-H2AX spot counts are measured; supplementary_table_1 has no CLDN4,https://idr.openmicroscopy.org/study/idr0080/
cpg0012 Bray/Wawer compounds,cell_painting_compound,"U2OS, about 30,000 compounds",not a genetic perturbation,no transcriptome in the gallery release,compound screen,Later DDR-prediction papers use these profiles as morphology only. DNA channel is not gamma-H2AX.,https://gigadb.org/dataset/100351
cpg0004 LINCS Cell Painting,cell_painting_compound,"A549, 1,571 compounds, 6 doses",not a genetic perturbation,"not in this image release; any matched L1000 CLDN4 value would be best-inferred, not landmark",compound screen,"Way et al. 2022 Cell Systems predict cell-health readouts, including gamma-H2AX, from these images. Predictions are not measurements.",https://github.com/broadinstitute/lincs-cell-painting
idr0133 Dahlin reference injury,cell_painting_compound,U2OS cytotoxic and nuisance compounds,not a genetic perturbation,no,218 concentration-response plus 283 single-dose compounds,"Cell Painting injury morphology, not a gamma-H2AX assay",https://idr.openmicroscopy.org/study/idr0133/
cpg0022 cmQTL,cell_painting_donor,297 iPSC donors,not a perturbation,no public matched RNA-seq; WGS is dbGaP phs002032.v1.p1,297 lines,"Tegtmeyer et al. 2024 Nat Commun. Morphology QTLs, not a CLDN4 expression matrix.",https://doi.org/10.1038/s41467-023-44045-w
Zenodo 7673199,dna_damage_morphology,"gamma-H2AX microscopy, valinomycin pilot",absent,no,small microscopy set,Deposit describes Hoechst plus pH2AX images for a valinomycin pilot. Archive was not unpacked; the record does not list a CLDN4 expression matrix,https://zenodo.org/records/7673199
Zenodo 13683162,dna_damage_morphology,nanomaterial HTS including gamma-H2AX and 8-oxoG,absent,no,two assay collections in the deposit,"Deposit describes CellTiter-Glo, DAPI, gamma-H2AX, 8-oxoG, and caspase assays for nanomaterials. Archive was not unpacked; the record does not list CLDN4",https://zenodo.org/records/13683162
