gene	category
TACSTD2	target
CLDN4	target
CCL2	tls12
CCL3	tls12
CCL4	tls12
CCL5	tls12
CCL8	tls12
CCL18	tls12
CCL19	tls12
CCL21	tls12
CXCL9	tls12
CXCL10	tls12
CXCL11	tls12
CXCL13	tls12
EPCAM	epithelial
KRT8	epithelial
KRT18	epithelial
KRT19	epithelial
KRT5	epithelial
KRT7	epithelial
KRT17	epithelial
SFTPC	epithelial
SFTPB	epithelial
SFTPA1	epithelial
NAPSA	epithelial
ELF3	epithelial
CDH1	epithelial
MUC1	epithelial
CEACAM5	epithelial
CEACAM6	epithelial
PTPRC	immune
CD3D	tcell
CD3E	tcell
CD3G	tcell
TRAC	tcell
CD2	tcell
IL7R	tcell
CD8A	cd8
CD8B	cd8
CD4	cd4
FOXP3	cd4
IL2RA	cd4
CTLA4	cd4
NKG7	nk
GNLY	nk
KLRD1	nk
KLRF1	nk
NCR1	nk
CD79A	bcell
CD79B	bcell
MS4A1	bcell
CD19	bcell
JCHAIN	bcell
MZB1	bcell
IGHM	bcell
LYZ	myeloid
CD68	myeloid
CD14	myeloid
FCGR3A	myeloid
C1QA	myeloid
C1QB	myeloid
MARCO	myeloid
ITGAX	myeloid
FCN1	myeloid
CD1C	myeloid
LAMP3	myeloid
TPSAB1	mast
TPSB2	mast
CPA3	mast
KIT	mast
MS4A2	mast
PECAM1	endothelial
VWF	endothelial
CLDN5	endothelial
CDH5	endothelial
RAMP2	endothelial
COL1A1	fibroblast
COL1A2	fibroblast
COL3A1	fibroblast
DCN	fibroblast
LUM	fibroblast
PDGFRB	fibroblast
ACTA2	fibroblast
TAGLN	fibroblast
MKI67	proliferation
TOP2A	proliferation
PDCD1	exhaustion
HAVCR2	exhaustion
LAG3	exhaustion
TIGIT	exhaustion
TOX	exhaustion
GZMB	effector
GZMK	effector
GZMA	effector
IFNG	effector
PRF1	effector
CXCR5	tfh
CD274	checkpoint_ligand
PDCD1LG2	checkpoint_ligand
