	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1_1	characteristics_ch1_2	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	relation	sample_type	is_tumor	is_control	title_class	pair_id	paired_by_title	histology_geo	cldn4	cd8a	cd274	epithelial_mean_z	ESTIMATE_StromalScore	ESTIMATE_ImmuneScore	ESTIMATE_Score	ESTIMATE_TumorPurity
GSM466947	Tumor 2	GSM466947	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Tumor	Homo sapiens	tissue: lung	sample type: tumor	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE486	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466947/suppl/GSM466947.CEL.gz	54675	Reanalyzed by: GSE60486	tumor	True	False	Tumor	2	True	not_deposited	6.9973	8.23166	10.2082	0.19434803067477327	3596.159857076379	5603.162941451452	9199.322798527832	-0.3751371725653703
GSM466948	Control 2	GSM466948	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Control	Homo sapiens	tissue: lung	sample type: control	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE487	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466948/suppl/GSM466948.CEL.gz	54675	Reanalyzed by: GSE60486	control	False	True	Control	2	True	not_deposited	7.44641	8.86741	8.33167					
GSM466949	Tumor 3	GSM466949	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Tumor	Homo sapiens	tissue: lung	sample type: tumor	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE488	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466949/suppl/GSM466949.CEL.gz	54675	Reanalyzed by: GSE60486	tumor	True	False	Tumor	3	True	not_deposited	7.17884	6.24893	4.80643	0.13642113328495328	708.8525092845819	2809.204507472573	3518.057016757155	0.4344244349534557
GSM466950	Control 3	GSM466950	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Control	Homo sapiens	tissue: lung	sample type: control	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE489	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466950/suppl/GSM466950.CEL.gz	54675	Reanalyzed by: GSE60486	control	False	True	Control	3	True	not_deposited	6.35391	7.3517	7.95368					
GSM466951	Tumor 6	GSM466951	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Tumor	Homo sapiens	tissue: lung	sample type: tumor	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE490	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466951/suppl/GSM466951.CEL.gz	54675	Reanalyzed by: GSE60486	tumor	True	False	Tumor	6	True	not_deposited	7.58819	8.57645	8.23656	0.02041882108907067	5223.668377634524	8267.95684080488	13491.625218439403	-0.849272051460743
GSM466952	Tumor 9	GSM466952	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Tumor	Homo sapiens	tissue: lung	sample type: tumor	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE492	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466952/suppl/GSM466952.CEL.gz	54675	Reanalyzed by: GSE60486	tumor	True	False	Tumor	9	True	not_deposited	7.37288	6.6009	7.96371	-0.15876264966769263	2484.081117099875	4364.837890982706	6848.919008082581	-0.03952244152906031
GSM466953	Control 9	GSM466953	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Control	Homo sapiens	tissue: lung	sample type: control	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE493	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466953/suppl/GSM466953.CEL.gz	54675	Reanalyzed by: GSE60486	control	False	True	Control	9	True	not_deposited	6.85992	7.43999	8.45946					
GSM466954	Tumor 10	GSM466954	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Tumor	Homo sapiens	tissue: lung	sample type: tumor	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE494	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466954/suppl/GSM466954.CEL.gz	54675	Reanalyzed by: GSE60486	tumor	True	False	Tumor	10	True	not_deposited	8.47282	7.87185	8.44447	0.8280979366912277	4195.800747525136	6994.7131502481225	11190.513897773259	-0.6263237980305731
GSM466955	Control 10	GSM466955	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Control	Homo sapiens	tissue: lung	sample type: control	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE495	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466955/suppl/GSM466955.CEL.gz	54675	Reanalyzed by: GSE60486	control	False	True	Control	10	True	not_deposited	7.2679	7.32657	9.34964					
GSM466956	Tumor 11	GSM466956	Public on Oct 01 2010	Nov 02 2009	Oct 01 2010	RNA	1	Human Lung Tumor	Homo sapiens	tissue: lung	sample type: tumor	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE496	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466956/suppl/GSM466956.CEL.gz	54675		tumor	True	False	Tumor	11	True	not_deposited	7.04815	3.94647	5.91038	0.16804735929628456	2262.804501962773	3567.922648772012	5830.727150734785	0.10970476339262507
GSM466957	Control 11	GSM466957	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Control	Homo sapiens	tissue: lung	sample type: control	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE497	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466957/suppl/GSM466957.CEL.gz	54675	Reanalyzed by: GSE60486	control	False	True	Control	11	True	not_deposited	7.38314	7.60415	9.9001					
GSM466958	Tumor 12	GSM466958	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Tumor	Homo sapiens	tissue: lung	sample type: tumor	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE498	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466958/suppl/GSM466958.CEL.gz	54675	Reanalyzed by: GSE60486	tumor	True	False	Tumor	12	True	not_deposited	7.243	4.78077	7.92109	0.029701712353183234	2598.1421092259943	2866.766066733711	5464.908175959705	0.16289486199574368
GSM466959	Control 12	GSM466959	Public on Oct 01 2010	Nov 02 2009	Aug 18 2014	RNA	1	Human Lung Control	Homo sapiens	tissue: lung	sample type: control	total RNA	RNAeasy Mini Kit (Qiagen).	biotin	Expression Analysis Technical Manual of Affymetrix.	9606	Expression Analysis Technical Manual of Affymetrix.	Expression Analysis Technical Manual of Affymetrix.	07SE499	RMA.	GPL570	Mª Esther,,Farez-Vidal	efarez@ugr.es	Hospital Universitario San Cecilio	Avda Dr. Oloriz s/n	Granada	18012	Spain	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466959/suppl/GSM466959.CEL.gz	54675	Reanalyzed by: GSE60486	control	False	True	Control	12	True	not_deposited	6.3157	6.42314	8.22986					
