symbol	ensembl	chrom	start	end	strand	tss	description	gap_to_CLDN4_bp	in_kegg_dna_repair
CALN1	ENSG00000183166	7	71779490	72447151	-1	72447150	calneuron 1	1352390	False
TYW1B	ENSG00000277149	7	72558743	72828260	-1	72828259	tRNA-yW synthesizing protein 1 homolog B	971281	False
POM121	ENSG00000196313	7	72879348	72951440	1	72879348	POM121 transmembrane nucleoporin	848101	False
TRIM74	ENSG00000155428	7	72959484	72969466	-1	72969465	tripartite motif containing 74	830075	False
SPDYE8	ENSG00000273520	7	73019718	73029766	-1	73029765	speedy/RINGO cell cycle regulator family member E8	769775	False
SPDYE11	ENSG00000275976	7	73047861	73057911	-1	73057910	speedy/RINGO cell cycle regulator family member E11	741630	False
SPDYE9	ENSG00000262461	7	73075971	73086038	-1	73086037	speedy/RINGO cell cycle regulator family member E9	713503	False
SPDYE10	ENSG00000274570	7	73104007	73155431	-1	73155430	speedy/RINGO cell cycle regulator family member E10	644110	False
NSUN5	ENSG00000130305	7	73302515	73308867	-1	73308866	NOP2/Sun RNA methyltransferase 5	490674	False
TRIM50	ENSG00000146755	7	73312535	73328082	-1	73328081	tripartite motif containing 50	471459	False
FKBP6	ENSG00000077800	7	73328160	73358637	1	73328160	FKBP prolyl isomerase family member 6 (inactive)	440904	False
FZD9	ENSG00000188763	7	73433777	73436120	1	73433777	frizzled class receptor 9	363421	False
BAZ1B	ENSG00000009954	7	73440405	73522293	-1	73522292	bromodomain adjacent to zinc finger domain 1B	277248	False
BCL7B	ENSG00000106635	7	73536354	73558017	-1	73558016	BAF chromatin remodeling complex subunit BCL7B	241524	False
TBL2	ENSG00000106638	7	73567536	73578791	-1	73578790	transducin beta like 2	220750	False
MLXIPL	ENSG00000009950	7	73593193	73624575	-1	73624574	MLX interacting protein like	174966	False
VPS37D	ENSG00000176428	7	73667830	73682024	1	73667830	VPS37D subunit of ESCRT-I	117517	False
DNAJC30	ENSG00000176410	7	73680917	73683453	-1	73683452	DnaJ heat shock protein family (Hsp40) member C30	116088	False
BUD23	ENSG00000071462	7	73683160	73698228	1	73683160	BUD23 rRNA methyltransferase and ribosome maturation factor	101313	False
STX1A	ENSG00000106089	7	73699204	73719706	-1	73719705	syntaxin 1A	79835	False
ABHD11	ENSG00000106077	7	73736090	73738864	-1	73738863	abhydrolase domain containing 11	60677	False
CLDN3	ENSG00000165215	7	73768996	73770270	-1	73770269	claudin 3	29271	False
CLDN4	ENSG00000189143	7	73799541	73832690	1	73799541	claudin 4	0	False
METTL27	ENSG00000165171	7	73832678	73842540	-1	73842539	methyltransferase like 27	0	False
TMEM270	ENSG00000175877	7	73861158	73865891	1	73861158	transmembrane protein 270	28468	False
ELN	ENSG00000049540	7	74027772	74069909	1	74027772	elastin	195082	False
LIMK1	ENSG00000106683	7	74082932	74122527	1	74082932	LIM domain kinase 1	250242	False
EIF4H	ENSG00000106682	7	74174126	74197122	1	74174126	eukaryotic translation initiation factor 4H	341436	False
LAT2	ENSG00000086730	7	74199651	74242501	1	74199651	linker for activation of T cells family member 2	366961	False
RFC2	ENSG00000049541	7	74223230	74254458	-1	74254457	replication factor C subunit 2	390540	True
CLIP2	ENSG00000106665	7	74289406	74405943	1	74289406	CAP-Gly domain containing linker protein 2	456716	False
GTF2IRD1	ENSG00000006704	7	74452462	74602619	1	74452462	GTF2I repeat domain containing 1	619772	False
GTF2I	ENSG00000263001	7	74650225	74760706	1	74650225	general transcription factor IIi	817535	False
NCF1	ENSG00000158517	7	74773974	74790135	1	74773974	neutrophil cytosolic factor 1	941284	False
GTF2IRD2	ENSG00000196275	7	74796143	74852471	-1	74852470	GTF2I repeat domain containing 2	963453	False
	ENSG00000289346	7	74796149	74890585	-1	74890584	Novel protein	963459	False
SPDYE12	ENSG00000184616	7	74904288	74915078	-1	74915077	speedy/RINGO cell cycle regulator family member E12	1071598	False
CASTOR2	ENSG00000274070	7	74964663	75031530	1	74964663	cytosolic arginine sensor for mTORC1 subunit 2	1131973	False
RCC1L	ENSG00000274523	7	75026189	75074228	-1	75074227	RCC1 like	1193499	False
GTF2IRD2B	ENSG00000174428	7	75091566	75149818	1	75091566	GTF2I repeat domain containing 2B	1258876	False
SPDYE13	ENSG00000286038	7	75280789	75289501	1	75280789	speedy/RINGO cell cycle regulator family member E13	1448099	False
SPDYE14	ENSG00000286137	7	75307375	75317429	1	75307375	speedy/RINGO cell cycle regulator family member E14	1474685	False
