experiment	assay	biosample	file	n_cldn_loops	n_trans_partners	min_gap_to_RFC2_bp	closest_partner
ENCSR477GZK	intact Hi-C	HCT116	ENCFF308MMM	5	0	367230	chr7:73855000-73856000
ENCSR477GZK	intact Hi-C	HCT116	ENCFF341UWI	2	0	367230	chr7:73855000-73856000
ENCSR370TFL	intact Hi-C	MCF 10A	ENCFF350BGT	4	0	367230	chr7:73855000-73856000
ENCSR370TFL	intact Hi-C	MCF 10A	ENCFF685BLR	5	0	367230	chr7:73855000-73856000
ENCSR584RBV	intact Hi-C	Panc1	ENCFF336MBY	1	0	363230	chr7:73855000-73860000
ENCSR584RBV	intact Hi-C	Panc1	ENCFF079LXU	1	0	363230	chr7:73855000-73860000
ENCSR660LPJ	intact Hi-C	MCF-7	ENCFF797NNQ	7	0	367230	chr7:73854000-73856000
ENCSR660LPJ	intact Hi-C	MCF-7	ENCFF429GHB	5	0	367230	chr7:73855000-73856000
ENCSR326YHP	intact Hi-C	breast epithelium	ENCFF983VBZ	1	0	375230	chr7:73846000-73848000
ENCSR888DEJ	intact Hi-C	HepG2	ENCFF889QOM	2	0	367230	chr7:73855000-73856000
ENCSR888DEJ	intact Hi-C	HepG2	ENCFF264RQT	2	0	367230	chr7:73855000-73856000
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	ENCFF630ZQU	1	0	363230	chr7:73855000-73860000
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	ENCFF759VFU	1	0	363230	chr7:73855000-73860000
ENCSR707XVJ	intact Hi-C	mammary epithelial cell	ENCFF993HBM	6	0	367230	chr7:73855000-73856000
ENCSR707XVJ	intact Hi-C	mammary epithelial cell	ENCFF165BTH	3	0	367230	chr7:73855000-73856000
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	ENCFF690EXC	1	0	363230	chr7:73855000-73860000
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	ENCFF402WQW	1	0	363230	chr7:73855000-73860000
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	ENCFF867YSZ	3	0	26648230	chr7:47550000-47575000
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	ENCFF176AVV	1	0	26648230	chr7:47550000-47575000
ENCSR194SRI	in situ Hi-C	HepG2	ENCFF463OJZ	1	0	363230	chr7:73855000-73860000
ENCSR194SRI	in situ Hi-C	HepG2	ENCFF050EKS	1	0	363230	chr7:73855000-73860000
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	ENCFF306ZQY	1	0	368230	chr7:73850000-73855000
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	ENCFF178EDR	1	0	363230	chr7:73850000-73860000
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	ENCFF373VGE	1	0	368230	chr7:73850000-73855000
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	ENCFF999UXN	1	0	363230	chr7:73850000-73860000
ENCSR176BRX	in situ Hi-C	HCT116	ENCFF699TNO	1	0	50113230	chr7:24100000-24110000
ENCSR152HRS	in situ Hi-C	HCT116	ENCFF178HAX	2	0	50113230	chr7:24100000-24110000
ENCSR152HRS	in situ Hi-C	HCT116	ENCFF319IGX	1	0	72523230	chr7:1675000-1700000
ENCSR179GCO	in situ Hi-C	HCT116	ENCFF914FUK	3	0	483230	chr7:73730000-73740000
ENCSR179GCO	in situ Hi-C	HCT116	ENCFF162MVG	1	0	483230	chr7:73730000-73740000
ENCSR206PBT	in situ Hi-C	HCT116	ENCFF927YJY	3	0	5985542	chr7:80240000-80245000
ENCSR080ODG	dilution Hi-C	mammary epithelial cell	ENCFF632EID	2	0	353230	chr7:73865000-73870000
ENCSR080ODG	dilution Hi-C	mammary epithelial cell	ENCFF388DGH	2	0	363230	chr7:73855000-73860000
