symbol	entrez	chrom	start0	end0	tss0	strand	same_chrom_as_CLDN4	gap_bp	tss_distance_bp	within_1Mb_gap	within_2Mb_gap	pathways
RFC2	5982	7	74223230	74254458	74254457	-1	True	390540	454916	True	True	base excision repair;mismatch repair;nucleotide excision repair
SEM1	7979	7	96481625	96709893	96709892	-1	True	22648935	22910351	False	False	homologous recombination
POLR2J	5439	7	102473109	102478936	102478935	-1	True	28640419	28679394	False	False	nucleotide excision repair
POLR2J3	548644	7	102537917	102572653	102572652	-1	True	28705227	28773111	False	False	nucleotide excision repair
POLR2J2	246721	7	102665367	102671752	102671751	-1	True	28832677	28872210	False	False	nucleotide excision repair
POLD2	5425	7	44114630	44124407	44124406	-1	True	29675134	29675135	False	False	base excision repair;homologous recombination;mismatch repair;nucleotide excision repair
POLM	27434	7	44070914	44082985	44082984	-1	True	29716556	29716557	False	False	non-homologous end-joining
RPA3	6119	7	7634842	7718607	7718606	-1	True	66080934	66080935	False	False	Fanconi anemia;homologous recombination;mismatch repair;nucleotide excision repair
PMS2	5395	7	5970924	6009130	6009129	-1	True	67790411	67790412	False	False	Fanconi anemia;mismatch repair
SSBP1	6742	7	141731898	141787922	141731898	1	True	67899208	67932357	False	False	homologous recombination;mismatch repair
XRCC2	7516	7	152644770	152676201	152676200	-1	True	78812080	78876659	False	False	homologous recombination
ABRAXAS1	84142	4	83459516	83523348	83523347	-1	False			False	False	homologous recombination
ADPRS	54936	1	36088872	36095461	36088872	1	False			False	False	base excision repair
APEX1	328	14	20454524	20458036	20454524	1	False			False	False	base excision repair
APTX	54840	9	32886600	33025176	33025175	-1	False			False	False	base excision repair
ATM	472	11	108222787	108369102	108222787	1	False			False	False	homologous recombination
ATR	545	3	142449006	142578868	142578867	-1	False			False	False	Fanconi anemia
ATRIP	84126	3	48446709	48467645	48446709	1	False			False	False	Fanconi anemia
BABAM1	29086	19	17267342	17281249	17267342	1	False			False	False	homologous recombination
BABAM2	9577	2	27888666	28339184	27888666	1	False			False	False	homologous recombination
BARD1	580	2	214724704	214809726	214809725	-1	False			False	False	homologous recombination
BIVM-ERCC5	100533467	13	102799109	102875994	102799109	1	False			False	False	nucleotide excision repair
BLM	641	15	90717339	90816166	90717339	1	False			False	False	Fanconi anemia;homologous recombination
BRCA1	672	17	43044291	43170245	43170244	-1	False			False	False	Fanconi anemia;homologous recombination
BRCA2	675	13	32315085	32400268	32315085	1	False			False	False	Fanconi anemia;homologous recombination
BRCC3	79184	X	155071415	155128969	155071415	1	False			False	False	homologous recombination
BRIP1	83990	17	61679138	61863561	61863560	-1	False			False	False	Fanconi anemia;homologous recombination
CCNH	902	5	87311472	87413029	87413028	-1	False			False	False	nucleotide excision repair
CDK7	1022	5	69234549	69277495	69234549	1	False			False	False	nucleotide excision repair
CENPS	378708	1	10430389	10442813	10430389	1	False			False	False	Fanconi anemia
CENPS-CORT	100526739	1	10430101	10452153	10430101	1	False			False	False	Fanconi anemia
CENPX	201254	17	82018589	82024107	82024106	-1	False			False	False	Fanconi anemia
CETN2	1069	X	152825866	152830782	152830781	-1	False			False	False	nucleotide excision repair
CUL4A	8451	13	113208192	113267108	113208192	1	False			False	False	nucleotide excision repair
CUL4B	8450	X	120505919	120604074	120604073	-1	False			False	False	nucleotide excision repair
DCLRE1C	64421	10	14897358	14954432	14954431	-1	False			False	False	non-homologous end-joining
DDB1	1642	11	61299446	61342596	61342595	-1	False			False	False	nucleotide excision repair
DDB2	1643	11	47214434	47240555	47214434	1	False			False	False	nucleotide excision repair
DNTT	1791	10	96304408	96338564	96304408	1	False			False	False	non-homologous end-joining
EME1	146956	17	50373214	50383858	50373214	1	False			False	False	Fanconi anemia;homologous recombination
EME2	197342	16	1772282	1781708	1772282	1	False			False	False	Fanconi anemia
ERCC1	2067	19	45407332	45479055	45479054	-1	False			False	False	Fanconi anemia;nucleotide excision repair
ERCC2	2068	19	45349772	45370918	45370917	-1	False			False	False	nucleotide excision repair
ERCC3	2071	2	127257284	127294188	127294187	-1	False			False	False	nucleotide excision repair
ERCC4	2072	16	13920137	13952348	13920137	1	False			False	False	Fanconi anemia;nucleotide excision repair
ERCC5	2073	13	102845830	102875995	102845830	1	False			False	False	nucleotide excision repair
ERCC6	2074	10	49454167	49539538	49539537	-1	False			False	False	nucleotide excision repair
ERCC8	1161	5	60866453	60945078	60945077	-1	False			False	False	nucleotide excision repair
EXO1	9156	1	241847966	241895148	241847966	1	False			False	False	mismatch repair
FAAP100	80233	17	81539884	81553961	81553960	-1	False			False	False	Fanconi anemia
FAAP24	91442	19	32972208	32978721	32972208	1	False			False	False	Fanconi anemia
FAN1	22909	15	30890558	30946209	30890558	1	False			False	False	Fanconi anemia
FANCA	2175	16	89726682	89816977	89816976	-1	False			False	False	Fanconi anemia
FANCB	2187	X	14690387	14873255	14873254	-1	False			False	False	Fanconi anemia
FANCC	2176	9	95099053	95426796	95426795	-1	False			False	False	Fanconi anemia
FANCD2	2177	3	10026369	10101937	10026369	1	False			False	False	Fanconi anemia
FANCE	2178	6	35452314	35467106	35452314	1	False			False	False	Fanconi anemia
FANCF	2188	11	22622532	22625823	22625822	-1	False			False	False	Fanconi anemia
FANCG	2189	9	35073792	35082444	35082443	-1	False			False	False	Fanconi anemia
FANCI	55215	15	89243853	89318091	89243853	1	False			False	False	Fanconi anemia
FANCL	55120	2	58159242	58241410	58241409	-1	False			False	False	Fanconi anemia
FANCM	57697	14	45135908	45200890	45135908	1	False			False	False	Fanconi anemia
FEN1	2237	11	61792724	61797238	61792724	1	False			False	False	base excision repair;non-homologous end-joining
GTF2H1	2965	11	18322253	18367881	18322253	1	False			False	False	nucleotide excision repair
GTF2H2	2966	5	71034961	71067723	71067722	-1	False			False	False	nucleotide excision repair
GTF2H2C	728340	5	69558391	69595221	69558391	1	False			False	False	nucleotide excision repair
GTF2H3	2967	12	123633738	123662604	123633738	1	False			False	False	nucleotide excision repair
GTF2H4	2968	6	30907516	30914119	30907516	1	False			False	False	nucleotide excision repair
GTF2H5	404672	6	158167748	158199344	158167748	1	False			False	False	nucleotide excision repair
HES1	3280	3	194136138	194138732	194136138	1	False			False	False	Fanconi anemia
HMGB1	3146	13	30456703	30618872	30618871	-1	False			False	False	base excision repair
LIG1	3978	19	48115443	48170654	48170653	-1	False			False	False	base excision repair;mismatch repair;nucleotide excision repair
LIG3	3980	17	34980461	35009743	34980461	1	False			False	False	base excision repair
LIG4	3981	13	108207438	108218373	108218372	-1	False			False	False	non-homologous end-joining
MBD4	8930	3	129430281	129440543	129440542	-1	False			False	False	base excision repair
MLH1	4292	3	36992833	37051505	36992833	1	False			False	False	Fanconi anemia;mismatch repair
MLH3	27030	14	75013223	75051532	75051531	-1	False			False	False	mismatch repair
MNAT1	4331	14	60734732	60973862	60734732	1	False			False	False	nucleotide excision repair
MPG	4350	16	77006	136889	77006	1	False			False	False	base excision repair
MRE11	4361	11	94415569	94512676	94512675	-1	False			False	False	homologous recombination;non-homologous end-joining
MSH2	4436	2	47403066	47663146	47403066	1	False			False	False	mismatch repair
MSH3	4437	5	80654612	80880295	80654612	1	False			False	False	mismatch repair
MSH6	2956	2	47695529	47810109	47695529	1	False			False	False	mismatch repair
MUS81	80198	11	65857125	65867653	65857125	1	False			False	False	Fanconi anemia;homologous recombination
MUTYH	4595	1	45329162	45340893	45340892	-1	False			False	False	base excision repair
NBN	4683	8	89924514	90003228	90003227	-1	False			False	False	homologous recombination
NEIL1	79661	15	75346877	75357115	75346877	1	False			False	False	base excision repair
NEIL2	252969	8	11769632	11787346	11769632	1	False			False	False	base excision repair
NEIL3	55247	4	177309810	177363082	177309810	1	False			False	False	base excision repair
NHEJ1	79840	2	219069354	219160869	219160868	-1	False			False	False	non-homologous end-joining
NTHL1	4913	16	2039813	2047866	2047865	-1	False			False	False	base excision repair
OGG1	4968	3	9749937	9791067	9749937	1	False			False	False	base excision repair
PALB2	79728	16	23603157	23641342	23641341	-1	False			False	False	Fanconi anemia;homologous recombination
PARG	8505	10	49815131	49970203	49970202	-1	False			False	False	base excision repair
