accession	uid	queries	taxon	n_samples	gdstype	pdat	gpl	title	summary
GSE207704	200207704	G_CLDN4_KD|G_CLDN4_RNA	Homo sapiens	8	Expression profiling by high throughput sequencing	2023/04/19	24676	Claudin-4–adhesion signaling drives breast cancer metabolism and progression via liver X receptor β	Cell adhesion molecules exhibit the signaling abilities to control a variety of physiological and pathological processes; however, the underlying molecular basis remains poorly defined. Here, we demonstrate that the claudin-4 (CLDN4)-adhesion signaling accelerates breast cancer metabolism and progression via the nuclear receptor LXRb (liver X receptor b). Knockout and rescue experiments revealed that the CLDN4 signaling targets S432 in LXRb, leading to enhanced cell proliferation and tumor growt
GSE84742	200084742	G_CLDN4_KD	Mus musculus	8	Expression profiling by array	2016/07/23	6105	Claudin-based barrier differentiation in the colonic epithelial crypt niche involves Hopx/Klf4 and Tcf7l2/Hnf4-alpha cascades	Analysis of the complex expression of claudin genes and transcription factors during intestinal epithelial cell differentiation across the crypt-to-surface colonic axis. Characterization of the complex expression gradients of transcription factors Hopx, Hnf4a, Klf4 and Tcfl2 and 12 claudin genes. In vitro confirmatory methods identified two pathways that stimulate claudin expression; Hopx/Klf4 activation of Cldn4, 7 and 15, and Tcf7l2/Hnf4a upregulation of Cldn23. Chromatin Immunoprecipitation c
GSE60885	200060885	G_CLDN4_KD	Homo sapiens	17	Methylation profiling by genome tiling array	2015/04/07	13534	Genome-wide DNA methylation identifies trophoblast invasion-related genes: Claudin-4 and Fucosyltransferase IV control mobility via altering matrix metalloproteinase activity	Previously we have shown that extravillous cytotrophoblast (EVT) outgrowth and migration on a collagen gel explant model were restricted by exposure to decidual natural killer cells (dNK). This study investigates the molecular causes behind this phenomenon. Genome wide DNA methylation of exposed and unexposed EVT was assessed using the Illumina Infinium HumanMethylation450 BeadChip array (450K array). The array identified 444 differentially methylated CpG loci in dNK-treated EVT compared to medi
GSE48443	200048443	G_CLDN4_KD	Mus musculus	7	Expression profiling by array	2014/04/06	6885	Knockout mice reveal key roles for claudin-18 in alveolar fluid homeostasis.	Claudin proteins are major constituents of epithelial and endothelial tight junctions (TJ), where they serve as regulators of paracellular permeability to ions and solutes. Claudin-18, a member of the large claudin family, is highly expressed in lung epithelium. To elucidate the role of claudin-18 in alveolar epithelial barrier function and fluid homeostasis, we generated claudin-18 knockout (C18 KO) mice. Increased alveolar fluid clearance (AFC) observed in C18 KO mice may have accounted for ab
GSE26055	200026055	G_CLDN4_KD	Homo sapiens	8	Expression profiling by array	2012/09/19	6104	Claudin-7 is frequently overexpressed in ovarian cancer and promotes invasion	Claudins are tight junction proteins that are involved in tight junction formation and function. Previous studies have shown that claudin-7 is frequently upregulated in epithelial ovarian cancer (EOC) along with claudin-3 and claudin-4. Here, we investigate in detail the expression patterns of claudin-7, as well as its possible functions in EOC.  Initially a total of 95 ovarian tissue samples (7 normal ovarian tissues, 65 serous carcinomas, 11 clear cell carcinomas, 8 endometrioid carcinomas and
GSE22493	200022493	G_CLDN4_KD|G_CLDN4_RNA	Homo sapiens	3	Expression profiling by array	2010/12/15	10555	Comparisons of the global gene profile between CLDN4-overexpressing and CLDN4-silencing ovarian cancer cells.	A microarray analysis was performed to compare the global gene expression profile between CLDN4-overexpressing (Control) and CLDN4-silencing SKOV-3 ovarian cancer cells.
GSE11759	200011759	G_CLDN4_KD	Mus musculus	6	Expression profiling by array	2008/12/01	1261	Role of HNF4alpha in the adult colon	Background & Aims: HNF4α is an important transcriptional regulator of hepatocyte and pancreatic function. Hnf4α deletion is embryonically lethal with severe defects in visceral endoderm formation, liver maturation and colon development.  However, the precise role of this transcription factor in maintaining homeostasis of the adult intestine remains unclear.  Herein, we aimed to elucidate the adult intestinal functions of Hnf4α.  Methods: A conditional intestinal epithelial Hnf4α knockout mouse w
GSE99417	200099417	G_CLDN4_RNA	Homo sapiens; Mus musculus; Rattus norvegicus	24	Non-coding RNA profiling by array; Expression profiling by array	2017/05/31	16956;18058	Non-coding RNAs participate in the regulatory network of CLDN4 via ceRNA-mediated miRNA evasion	This SuperSeries is composed of the SubSeries listed below.
GSE99416	200099416	G_CLDN4_RNA	Homo sapiens	12	Non-coding RNA profiling by array; Expression profiling by array	2017/05/31	16956	Non-coding RNAs participate in the regulatory network of CLDN4 via ceRNA-mediated miRNA evasion (lncRNA)	Thousands of genes have been well demonstrated to play important roles in cancer progression. As genes do not function in isolation, they can be grouped into “networks” based on their interactions. In this study, we discover a network regulating Claudin-4 (CLDN4) in gastric cancer. We observe that CLDN4 is up-regulated in gastric cancer and is associated with poor prognosis. CLDN4 reinforce proliferation, invasion, and EMT in AGS, HGC-27, and SGC-7901 cells, which could be reversed by miR-596 an
GSE65107	200065107	G_CLDN4_RNA	Homo sapiens	8	Expression profiling by high throughput sequencing	2016/01/19	16791	Diarrhea in lymphocytic colitis: ERK1/2-dependent ENaC dysregulation and claudin-4-, -5- and -8-related barrier defects	Background: Lymphocytic colitis (LC) causes watery diarrhea. This study aimed to identify the inherent pathomechanisms of epithelial transport and barrier dysfunction and regulatory inputs. Methods: 8 (4 LC samples and 4 unrelated control samples) biopsies of fresh sigmoid colon were analysed by paired end sequencing (Illumina High Seq 2500) Conclusions: ENaC-mediated Na+ malabsorption via ERK1/2 and epithelial barrier dysfunction from tight junction downregulation through claudin-4, -5, and -8 
GSE50927	200050927	G_CLDN4_RNA	Mus musculus	5	Expression profiling by high throughput sequencing	2014/11/04	13112	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	WT mice and claudin 4 KO mice were exposed to ventilator-induced lung injury (VILI) for 2 hours. We found that in some Cldn4 KO mice, injury was similar to WT, while in others, injury was higher, as assessed by amount of protein leak into broncho-alveolar lavage fluid. We performed RNAseq to find which genes were responsible for higher injury in Cldn4 KO mice.
GSE309617	200309617	G_TROP2_ADC	Homo sapiens	22	Expression profiling by high throughput sequencing	2026/04/08	34284	Therapeutic Synergy Overcomes Carboplatin Resistance in Triple-Negative Breast Cancer [bulk RNA-seq]	Background: Triple-negative breast cancer (TNBC) is an aggressive subtype lacking targeted therapeutic options, where platinum-based chemotherapy such as carboplatin serves as a cornerstone of treatment. Despite initial responses, the rapid emergence of acquired resistance remains a major clinical barrier. Understanding the molecular adaptations that drive platinum resistance is essential to develop strategies to restore sensitivity and identify alternative vulnerabilities. Methods: We generated
GSE309616	200309616	G_TROP2_ADC	Homo sapiens	2	Expression profiling by high throughput sequencing	2026/04/08	30173	Therapeutic Synergy Overcomes Carboplatin Resistance in Triple-Negative Breast Cancer [scRNA-seq]	Background: Triple-negative breast cancer (TNBC) is an aggressive subtype lacking targeted therapeutic options, where platinum-based chemotherapy such as carboplatin serves as a cornerstone of treatment. Despite initial responses, the rapid emergence of acquired resistance remains a major clinical barrier. Understanding the molecular adaptations that drive platinum resistance is essential to develop strategies to restore sensitivity and identify alternative vulnerabilities. Methods: We generated
GSE303323	200303323	G_TROP2_ADC	Homo sapiens	6	Expression profiling by high throughput sequencing	2026/03/25	34284	Prolonged KRAS-MAPK Inhibition Induces Interferon-mediated Epithelial-to-Mesenchymal Transition and Reveals Therapeutic Opportunities [RNA-Seq]	Direct targeting of KRAS to inhibit the MAPK cascade is poised to transform the therapeutic landscape of pancreatic ductal adenocarcinoma (PDAC). However, analyses of PDAC samples from patients treated with KRASG12C inhibitors have revealed secondary mutations restoring MAPK signaling and promoting epithelial-to-mesenchymal transition (EMT) as key mechanisms of acquired resistance. Here, we show that human PDAC specimens and patient-derived cell lines treated with the ERK inhibitor ulixertinib d
GSE303106	200303106	G_TROP2_ADC	Homo sapiens	9	Genome binding/occupancy profiling by high throughput sequencing	2026/03/25	34284	Prolonged KRAS-MAPK Inhibition Induces Interferon-mediated Epithelial-to-Mesenchymal Transition and Reveals Therapeutic Opportunities [cut and run-ChipSeq]	Direct targeting of KRAS to inhibit the MAPK cascade is poised to transform the therapeutic landscape of pancreatic ductal adenocarcinoma (PDAC). However, analyses of PDAC samples from patients treated with KRASG12C inhibitors have revealed secondary mutations restoring MAPK signaling and promoting epithelial-to-mesenchymal transition (EMT) as key mechanisms of acquired resistance. Here, we show that human PDAC specimens and patient-derived cell lines treated with the ERK inhibitor ulixertinib d
GSE303105	200303105	G_TROP2_ADC	Mus musculus	2	Expression profiling by high throughput sequencing	2026/03/25	21493	Prolonged KRAS-MAPK Inhibition Induces Interferon-mediated Epithelial-to-Mesenchymal Transition and Reveals Therapeutic Opportunities [scRNAseq-RMC-6236]	Direct targeting of KRAS to inhibit the MAPK cascade is poised to transform the therapeutic landscape of pancreatic ductal adenocarcinoma (PDAC). However, analyses of PDAC samples from patients treated with KRASG12C inhibitors have revealed secondary mutations restoring MAPK signaling and promoting epithelial-to-mesenchymal transition (EMT) as key mechanisms of acquired resistance. Here, we show that human PDAC specimens and patient-derived cell lines treated with the ERK inhibitor ulixertinib d
GSE303104	200303104	G_TROP2_ADC	Mus musculus	2	Expression profiling by high throughput sequencing	2026/03/25	21493	Prolonged KRAS-MAPK Inhibition Induces Interferon-mediated Epithelial-to-Mesenchymal Transition and Reveals Therapeutic Opportunities [scRNAseq-Ulixertinib]	Direct targeting of KRAS to inhibit the MAPK cascade is poised to transform the therapeutic landscape of pancreatic ductal adenocarcinoma (PDAC). However, analyses of PDAC samples from patients treated with KRASG12C inhibitors have revealed secondary mutations restoring MAPK signaling and promoting epithelial-to-mesenchymal transition (EMT) as key mechanisms of acquired resistance. Here, we show that human PDAC specimens and patient-derived cell lines treated with the ERK inhibitor ulixertinib d
GSE303051	200303051	G_TROP2_ADC	Homo sapiens	30	Expression profiling by high throughput sequencing	2026/03/25	21290	Prolonged KRAS-MAPK Inhibition Induces Interferon-mediated Epithelial-to-Mesenchymal Transition and Reveals Therapeutic Opportunities.	Direct targeting of KRAS to inhibit the MAPK cascade is poised to transform the therapeutic landscape of pancreatic ductal adenocarcinoma (PDAC). However, analyses of PDAC samples from patients treated with KRASG12C inhibitors have revealed secondary mutations restoring MAPK signaling and promoting epithelial-to-mesenchymal transition (EMT) as key mechanisms of acquired resistance. Here, we show that human PDAC specimens and patient-derived cell lines treated with the ERK inhibitor ulixertinib d
