source	interaction	pathway	ligand	receptor	n_patients	n_cohorts	median_delta	mean_delta	n_pos	n_neg	wilcoxon_p	re_k	re_mu	re_p	re_I2	cohorts	fdr
liana	CD55_ADGRE5	other	CD55	ADGRE5	25	3	0.06719625741243362	0.09142136797308922	22	3	1.233816146850586e-05	2	0.08277139585455442	7.719660233107046e-06	12.199805254131823	GSE131907+GSE148071	0.0008513331413269043
liana	DHCR24_RORA	other	DHCR24	RORA	25	3	0.04278832674026489	0.0650894147157669	21	4	3.1948089599609375e-05	2	0.05775219414084561	0.1143353081846587	88.17208404406384	GSE131907+GSE148071	0.0011022090911865234
liana	ICAM1_SPN	other	ICAM1	SPN	24	2	0.08417437598109245	0.06890016313021381	21	3	0.0001270771026611328	2	0.08336237994943674	5.2034509629724154e-17	0.0	GSE131907+GSE148071	0.0029227733612060547
liana	CDH1_ITGAE+ITGB7	other	CDH1	ITGAE+ITGB7	13	2	0.08197170495986938	0.10671970964624332	13	0	0.000244140625	1				GSE131907	0.00421142578125
liana	HLA-A_CD8A	MHC_I	HLA-A	CD8A	24	3	0.0640590488910675	0.087524536686639	18	6	0.0025163888931274414	2	0.07938785805868562	0.17697767725070324	81.52867173916981	GSE131907+GSE148071	0.03472616672515869
liana	PODXL2_SELL	other	PODXL2	SELL	9	2	0.06369773298501968	0.06311139681686957	9	0	0.00390625	1				GSE131907	0.03621826171875
liana	HLA-B_CD8A	MHC_I	HLA-B	CD8A	24	3	0.08920776844024658	0.09411058761179447	20	4	0.00433504581451416	2	0.084904136610176	0.2696556632900401	86.82226931371866	GSE131907+GSE148071	0.03621826171875
liana	ALCAM_CD6	other	ALCAM	CD6	18	3	0.024642478674650192	0.05649407942675882	15	3	0.0047454833984375	2	0.06105134000882157	0.005950346913804827	23.73064846849564	GSE131907+GSE148071	0.03621826171875
liana	CXCL16_CXCR6	T_recruit	CXCL16	CXCR6	16	2	0.021720362827181816	0.028249806870007887	13	3	0.005157470703125	2	0.02824840689917095	0.0021951030370378046	0.0	GSE131907+GSE148071	0.03621826171875
liana	CEACAM5_CD8A	MHC_I_partial	CEACAM5	CD8A	14	3	0.07866337615996599	0.2066164517642132	12	2	0.0052490234375	2	0.1736734335339307	0.21377527924280137	50.748001360062275	GSE131907+GSE148071	0.03621826171875
liana	HLA-C_CD8A	MHC_I	HLA-C	CD8A	24	3	0.0566556379199028	0.07471089344471693	19	5	0.009575724601745605	2	0.07485662255650288	0.0440085465370149	42.72166931884592	GSE131907+GSE148071	0.06006590886549517
liana	CD58_CD2	other	CD58	CD2	22	3	0.009949523955583572	0.019048411907120186	16	6	0.01272726058959961	2	0.016296990404342775	0.017752005130692923	0.0	GSE131907+GSE148071	0.0673828125
liana	ICAM1_ITGAL	other	ICAM1	ITGAL	15	2	0.08063489943742752	0.05047913417220116	12	3	0.01507568359375	2	0.05928629614540919	0.16982506519065976	68.52682207288295	GSE131907+GSE148071	0.0673828125
liana	ICAM1_ITGAL+ITGB2	other	ICAM1	ITGAL+ITGB2	15	2	0.08063489943742752	0.05047913417220116	12	3	0.01507568359375	2	0.05928629614540919	0.16982506519065976	68.52682207288295	GSE131907+GSE148071	0.0673828125
liana	HLA-E_KLRC1	MHC_I	HLA-E	KLRC1	7	2	0.043909236788749695	0.06744331760065896	7	0	0.015625	1				GSE131907	0.0673828125
liana	APP_CD74	other	APP	CD74	30	3	0.035421982407569885	0.048871748397747675	20	10	0.016431212425231934	2	0.04481718543758291	0.07385174998429297	49.683159142225925	GSE131907+GSE148071	0.0673828125
liana	APP_SORL1	other	APP	SORL1	14	3	0.06452437490224838	0.07064278583441462	11	3	0.0166015625	2	0.051253829379266265	0.2760972889171527	81.87731928876984	GSE131907+GSE148071	0.0673828125
liana	DHCR7_RORA	other	DHCR7	RORA	19	2	0.019195541739463806	0.016665093649766947	13	6	0.025821685791015625	2	0.013855398917984135	0.08757183231503304	0.0	GSE131907+GSE148071	0.0989831288655599
liana	F11R_ITGAL+ITGB2	other	F11R	ITGAL+ITGB2	17	3	0.07270902395248413	0.06094727205003009	14	3	0.030517578125	2	0.06275380804133798	0.27851276175159867	75.8499733347966	GSE131907+GSE148071	0.10267857142857142
liana	ICAM4_ITGAL+ITGB2	other	ICAM4	ITGAL+ITGB2	6	2	0.01927250809967518	0.029864734038710594	6	0	0.03125	1				GSE131907	0.10267857142857142
liana	CDH1_KLRG1	other	CDH1	KLRG1	6	1	0.15909434854984283	0.1857636912415425	6	0	0.03125	1				GSE131907	0.10267857142857142
liana	PTGES_PTGER4	other	PTGES	PTGER4	14	3	0.02716990001499653	0.02026943040878645	12	2	0.0352783203125	1				GSE131907	0.10314154624938965
liana	HLA-A_CD8B	MHC_I	HLA-A	CD8B	15	2	0.05746370553970337	0.08622308323780696	10	5	0.03533935546875	2	0.057544463875622655	0.47124323815065583	87.22246454622528	GSE131907+GSE148071	0.10314154624938965
