split	patient	n_cells	n_q1	n_q4	eligible	real_split	primary
epithelial	P1	3347	837	837	True		
epithelial	P10	2534	725	634	True		
epithelial	P11	106	103	106	True		
epithelial	P12	288	72	72	True		
epithelial	P13	165	42	42	True		
epithelial	P14	690	449	173	True		
epithelial	P15	2053	902	514	True		
epithelial	P16	940	235	235	True		
epithelial	P17	7322	3750	1831	True		
epithelial	P18	1892	620	473	True		
epithelial	P19	173	44	44	True		
epithelial	P2	268	67	67	True		
epithelial	P20	398	100	100	True		
epithelial	P21	1788	447	447	True		
epithelial	P22	153	39	39	True		
epithelial	P23	1467	869	367	True		
epithelial	P24	88	46	22	True		
epithelial	P25	3212	1316	803	True		
epithelial	P26	69	25	18	True		
epithelial	P27	34	17	9	True		
epithelial	P28	693	174	174	True		
epithelial	P29	337	139	85	True		
epithelial	P3	7107	3430	1777	True		
epithelial	P30	563	159	141	True		
epithelial	P31	339	87	85	True		
epithelial	P32	381	96	96	True		
epithelial	P33	311	78	78	True		
epithelial	P34	428	152	107	True		
epithelial	P35	673	300	169	True		
epithelial	P36	155	88	39	True		
epithelial	P37	16	15	16	False		
epithelial	P38	179	45	45	True		
epithelial	P39	511	128	128	True		
epithelial	P4	112	83	28	True		
epithelial	P40	284	71	71	True		
epithelial	P41	5471	1368	1368	True		
epithelial	P42	151	137	151	True		
epithelial	P5	1456	411	364	True		
epithelial	P6	2273	569	569	True		
epithelial	P7	240	99	60	True		
epithelial	P8	422	106	106	True		
epithelial	P9	2126	532	532	True		
mal_like	P1	3068	794	767	True	True	True
mal_like	P10	2261	674	566	True	True	True
mal_like	P11	101	98	101	True	False	False
mal_like	P12	216	54	54	True	True	True
mal_like	P13	124	31	31	True	True	True
mal_like	P14	517	381	130	True	True	True
mal_like	P15	2013	889	504	True	True	True
mal_like	P16	705	177	177	True	True	True
mal_like	P17	5491	2887	1373	True	True	True
mal_like	P18	1419	514	355	True	True	True
mal_like	P19	130	33	33	True	True	True
mal_like	P2	201	51	51	True	True	True
mal_like	P20	298	75	75	True	True	True
mal_like	P21	1341	336	336	True	True	True
mal_like	P22	115	29	29	True	True	True
mal_like	P23	1280	800	320	True	True	True
mal_like	P24	66	40	17	True	True	True
mal_like	P25	2982	1247	746	True	True	True
mal_like	P26	60	25	15	True	True	True
mal_like	P27	32	17	8	True	True	True
mal_like	P28	520	130	130	True	True	True
mal_like	P29	297	131	75	True	True	True
mal_like	P3	6376	3171	1594	True	True	True
mal_like	P30	493	147	124	True	True	True
mal_like	P31	278	83	70	True	True	True
mal_like	P32	286	72	72	True	True	True
mal_like	P33	233	59	59	True	True	True
mal_like	P34	360	127	90	True	True	True
mal_like	P35	505	222	127	True	True	True
mal_like	P36	152	85	38	True	True	True
mal_like	P37	12	11	12	False	False	False
mal_like	P38	134	34	34	True	True	True
mal_like	P39	383	96	96	True	True	True
mal_like	P4	95	74	95	True	False	False
mal_like	P40	213	54	54	True	True	True
mal_like	P41	4732	1183	1183	True	True	True
mal_like	P42	143	129	143	True	False	False
mal_like	P5	1092	310	273	True	True	True
mal_like	P6	1705	427	427	True	True	True
mal_like	P7	180	86	45	True	True	True
mal_like	P8	316	79	79	True	True	True
mal_like	P9	1594	399	399	True	True	True
