row	dataset	species	unit	claim_limb	exposure	endpoint	statistic	n_or_units	direction_for_TJ_CLDN4_high	supports_inverse_immune	honest_caveat	largest_abs_rho_note	source_pr	source_path
1	Concordant-4 scRNA (GSE123902+GSE131907+GSE205335+GSE189357)	human	patient/donor/sample	composition	malignant CLDN4 %pos (UMI>0)	T/NK fraction	DL Spearman ρ=−0.531 (95% CI −0.697 to −0.312); p=1.65e-5; I²=0%; stacked Q4 vs Q1 Cliff δ=−0.724 (19/16; p=2.88e-4)	N=65 (13+21+22+9)	fewer T/NK	YES — STRONG	Locked four-set only. Not GSE148071/127465/154826/200563/E-MTAB-13526. Do not quote capped cell count as n.	Joint maximum of 6435-panel sweep (#712); primary PPT number	#503 / #539 / #712	methods/concordant4_123902_131907_205335_189357_cldn4/tables/tnk_pooled.tsv; methods/concordant4_cldn4_maxrho/results/locked_reproduction.tsv
2	Concordant-4 (same)	human	patient/donor/sample	composition max-|ρ| I²=0	CLDN4 %pos partial on KRT18 (CP10K)	T/NK fraction	ρ=−0.533 (p=3.21e-5; I²=0%; CI −0.703 to −0.304); Cliff δ=−0.697	N=65	fewer T/NK	YES	I²=0 gain is third decimal; |Cliff δ| smaller than locked. Searched maximum is descriptive.	Largest |ρ| among I²=0 consistent panels	#712	methods/concordant4_cldn4_maxrho/FINDING.md
3	Concordant-4 (same)	human	patient/donor/sample	composition max-|ρ| sign-only	CLDN4 %pos UMI≥2 partial KRT8; n_mal≥100	T/NK fraction	ρ=−0.552 (p=0.023; I²=66.5%; Cliff δ=−0.498)	N=60	fewer T/NK but heterogeneous	WEAK (heterogeneous)	Cohort ρ: −0.107 / −0.491 / −0.357 / −0.940. Do not promote over locked I²=0 panel.	Largest |ρ| if I² ignored	#712	methods/concordant4_cldn4_maxrho/FINDING.md
4	GSE131907 Kim 2020 LUAD atlas	human	patient	composition	author-malignant CLDN4 %pos	T/NK fraction	Spearman ρ=−0.478 (p=0.028); mean log-norm CLDN4 ρ=−0.532 (p=0.013); Q4/Q1 rank-biserial r=−0.600 (6/5; p=0.12)	n=21 patients	fewer T/NK	YES	Sample-level comparison ρ=−0.522. Four PE captures with n_malignant=0 soften patient vs sample. IFN family logFC ≈0 here.	Largest single-cohort |ρ| among locked four for %pos is GSE123902 −0.659; this is the named atlas row	#541	methods/seurat_gse131907_cldn4/results/summary.json
5	Concordant-4 malignant pseudobulk	human	patient Q4 vs Q1	pathway fgsea	CLDN4 %pos quartiles (CLDN4 held out of sets)	Hallmark IFNγ / IFNα / MHC-I / EMT / apical junction / KEGG TJ	NES IFNγ=−3.85 (−4.01 to −2.70); IFNα=−3.42 (−3.74 to −1.99); MHC-I=−2.75 (−3.05 to −1.76); EMT=−3.42 (−3.66 to −2.19); apical junction=−1.62 (crosses 0); KEGG TJ=+1.13 (crosses 0)	expression n=64; Q4/Q1=18/16	lower IFN/MHC pathway scores	YES for IFN/MHC; TJ NES not locked UP	Patient bootstrap B=200. GSE131907 alone flat for IFN. Do not sell KEGG TJ as up.	Largest |NES| among primary immune sets: IFNγ −3.85	#691	methods/concordant4_cldn4_gsva_fgsea/results/tables/nes_fgsea.tsv
6	Concordant-4 malignant pseudobulk	human	patient continuous	pathway GSVA Spearman	CLDN4 %pos	Hallmark IFNγ / IFNα / MHC-I GSVA scores	DL meta Spearman IFNγ ρ=−0.399 (p=0.015); IFNα ρ=−0.319 (p=0.017); MHC ρ=−0.249 (p=0.066); N=64	N=64	lower IFN (and MHC trend) scores	YES for IFN	I²≈0–32%. Continuous GSVA is softer than fgsea Q4 NES.	Largest |GSVA ρ| among IFN/MHC: IFNγ −0.399	#691	methods/concordant4_cldn4_gsva_fgsea/results/tables/score_tests.tsv
7	Concordant-4 malignant family DE	human	patient Q4 vs Q1	family median logFC	CLDN4 %pos quartiles	IFN / MHC-I/APM / TJ (CLDN4 out) / chemokine gene families	median logFC IFN=−0.513; MHC=−0.686; TJ=+0.109; chemokine=−0.923 (18/16 combined)	18 vs 16	IFN/MHC/chemokine DOWN; TJ mild UP	YES for IFN/MHC	Family DE extras match thesis; TJ gene median +0.11 is not the same as KEGG NES.	Largest |family median logFC| immune-down: chemokine −0.92; IFN −0.51	#503	methods/concordant4_123902_131907_205335_189357_cldn4/tables/family_summary.tsv
8	CosMx He2022 NSCLC (figshare 25976224)	human	section/patient	spatial neighbors	CLDN4-high vs low tumor	CD8+NK (cytotoxic) neighbor counts	hi/lo ratio 0.36 at 50 µm; 0.52 at 100 µm; 8/8 sections and 5/5 patients; sign P=0.031	8 sections; 5 patients; 765771 cells in atlas	fewer cytotoxic neighbors	YES — STRONG spatial	Exclusion not muzzling: nearby effectors GZMB/PRF1/NKG7/IFNG hi/lo 1.11–1.22. Locked ratios not replaced by sensitivity maxima.	Locked spatial fold; sensitivity largest |log ratio| is weaker (0.573 at 20 µm; #698)	#698 (locks) / handoff	methods/public_mouse_cldn4_maxrho not applicable; CosMx FINDING in #698 body
9	TCGA-LUAD (orthogonal bulk)	human	tumor	bulk TJ module	structural 15-gene TJ z-mean	CD8 score / GEP	Spearman TJ vs CD8 ρ=−0.29 (p=1.6e-11); vs GEP ρ=−0.28; ESTIMATE purity-partial ρ=−0.26 (n=511)	n=515 (partial n=511)	lower CD8/GEP transcript	YES (bulk)	Not scRNA. Broad KEGG TJ does not support vs CD8 (ρ≈+0.07). PPT B3 limb.	Largest |ρ| for structural TJ vs CD8 in this claim page: −0.29	#90 / #69	results/claim_B3B4/
10	Public autochthonous GEMM lung scRNA forest	mouse	mouse	composition primary	epithelial Cldn4 %pos	T/NK fraction (unsorted digest)	REML-HK pooled ρ=+0.477 (95% CI −0.604 to +0.940); p=0.302; I²=72%; k=5	34 mice across estimable studies	MORE T/NK (opposite)	NO	Pre-specified primary; cutoffs not searched. Private 8KL not used. Only GSE295824 unadjusted is negative (−0.47) and genotype-partial ≈0.	Primary forest is positive — do not quote as human corroboration	#677	methods/gemm_mouse_cldn4_forest/tables/summary.json
