row	limb	dataset	endpoint	statistic	n_or_units	supports_cold_neighborhood	honest_caveat	source_pr	source_path
L	LOCKED_CLDN4	CosMx He2022 NSCLC (figshare 25976224)	CLDN4-high vs low cytotoxic neighbor ratio @ 50 and 100 µm	hi/lo ratio 0.36 at 50 µm; 0.52 at 100 µm; 8/8 sections and 5/5 patients; sign P=0.031	8 sections; 5 patients; locked public summary	YES (lock)	Do not recompute or replace on this PR. Restated unchanged in #698/#629/#726/#643.	handoff lock (cited in #698 #629 #726 #643)	PUBLIC_HANDOFF / PR #698 RESULTS.md
L2	LOCKED_not_muzzling	CosMx He2022 (same)	GZMB/PRF1/NKG7/IFNG in nearby effectors (hi/lo)	ratios 1.11–1.22; decreased in 0/8 sections	same cohort	NO for muzzling	Write exclusion not muzzling. Squidpy nearest-tumor GZMB CPM is higher in 8/8 at 100 µm (median ratio 1.18; #629) — still not muzzling.	#629	RESULTS.md (locked companion restatement)
1	TACSTD2_cold_neighbors	CosMx He2022	CD8+NK neighbor count; section-median TACSTD2 split	hi/lo 0.455 at 10 µm; 0.670 at 20 µm; 8/8 and 5/5; patient sign P=0.031	295877 author-matched tumor cells; 8 sections; 5 patients	YES at 10–20 µm	At 50 µm ratio 0.854 (7/8); at 100 µm 0.947 (4/8). Not a replacement for locked CLDN4 0.36/0.52.	#726	results/cosmx_tacstd2_cldn4/tables/marginal_summary.csv
2	TACSTD2_cold_neighbors	CosMx He2022	immune-neighbor fraction; same median split	hi/lo 0.519 at 10 µm; 0.643 at 20 µm; 8/8 and 5/5; sign P=0.031	same as row 1	YES at 10–20 µm	CD8-only count ratios 0.502 / 0.726 at 10 / 20 µm also 8/8 and 5/5.	#726	results/cosmx_tacstd2_cldn4/tables/marginal_summary.csv
3	TACSTD2_vs_CLDN4	CosMx He2022	TACSTD2 immune-fraction contrast inside CLDN4-low stratum	10 µm ratio 0.507 (8/8 & 5/5); 20 µm 0.587 (8/8 & 5/5). Median rank attenuation of TACSTD2 after CLDN4 = 0.124 (10 µm) and 0.103 (20 µm)	same cohort	YES; not accounted for by cell CLDN4	Inside CLDN4-high stratum weaker (7/8 at 10 µm; 4/8 at 20 µm). Observational attenuation not causal mediation.	#726	results/cosmx_tacstd2_cldn4/summary.json
4	CLDN4_TJ_program_cold	CosMx He2022 RNA-epithelial	Hotspot-smoothed 10-gene program (CLDN4 CDH1 EPCAM TACSTD2 EZR KRT7/8/18/19 CEACAM6) outer quartiles vs CD8 count @ 50 µm	patient-mean Spearman ρ=−0.228; 225 FOVs; 5/5 patients; 8/8 sections; toroidal-shift p=0.005 (0/199); patient sign P=0.031	232 FOVs inventory; 225 used	YES	Only CLDN4 is on the 960-plex; classical TJ partners are absent and not imputed. Spec is most negative 5/5 in a 2754-score grid (search is part of the result).	#643	results/cosmx_hotspot_hmrf/program_exclusion_stats.json
5	CLDN4_TJ_program_cold	CosMx He2022	program high vs low quartile mean CD8 neighbor count	high/low ≈0.61×; patient-mean tertile ratio 0.623	225 FOVs	YES	Fold accompanies the ρ headline; not a second locked test.	#643	results/cosmx_hotspot_hmrf/program_exclusion_stats.json
6	CLDN4_TJ_program_cold	CosMx He2022	keratin-free adhesion score (CLDN4 CDH1 EPCAM TACSTD2) same smooth/quartile/50 µm	patient-mean ρ=−0.213; 5/5 and 8/8. Keratin-residualized program ρ=−0.081; still 5/5; shift p=0.005	225 FOVs	YES	Keratin-only comparator is not the headline. Continuous CLDN4 alone remains ρ=−0.065 (4/5; Lung6 +).	#643	results/cosmx_hotspot_hmrf/program_exclusion_stats.json
7	CLDN4_contact	CosMx He2022 official 960-plex	CLDN4-high tumor any CD8 contact (centroid <20 µm)	pooled OR 0.584 (0.567–0.602); FOV-stratified MH OR 0.560 (0.547–0.572); 5000 FOV-restricted permutations p=0.00020; OR<1 in 8/8 slides and 5/5 tissues	overall contact rate 8.9%	YES	Complementary to radius counts / Ripley. PanCK-high CD45-low protein index does not show the deficit. F11R/NECTIN2 absent from panel.	#567	results/cosmx_cldn4_contact_lr/stats.json
8	CLDN4_squidpy_calibration	CosMx He2022	Squidpy radius-graph mean CD8+NK neighbors; section-median CLDN4	50 µm median ratio 0.883; lower in 7/8 (sign P=0.035). 100 µm median ratio 0.987; 4/8. Donors: CD8 lower in 4/5	765771 cells; 8 sections; 5 donors	WEAKER YES (7/8)	Same direction as lock but milder and not 5/5 donors. Must not replace 0.36/0.52.	#629	RESULTS.md
