contrast_id	accession	gene_ko	organism	cell_line	disease	compartment	condition	eligible	n_ctrl	n_ko	scale	target_symbol	target_ctrl_mean	target_ko_mean	target_log2_delta	target_qc	note	isg_n	isg_delta	isg_se	isg_p	isg_frac_up	isg_median_lfc	ifna_n	ifna_delta	ifna_se	ifna_p	ifna_frac_up	ifna_median_lfc	ifng_n	ifng_delta	ifng_se	ifng_p	ifng_frac_up	ifng_median_lfc
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	human	HeLa	cervical adenocarcinoma	cultured_cell_line	no mirin	yes	2	2	log2(CPM+1)	XRCC4	2.8025199618252885	2.065940853698501	-0.7365791081267874	rna_down	Two biological experiments. Technical column pairs were summed. Only exact-match rows (human_RNA.mis_0) were kept. g2G3 is the XRCC4(-/-) genotype in the GEO sample records.	27	-0.9516933004515842	0.23299598634876167	0.11249673511842226	0.07407407407407407	-1.139198282998171	84	-0.47437871468150306	0.11267991706561897	0.12487943971645435	0.16666666666666666	-0.38786462737256033	148	-0.36222373079790326	0.07653408492789393	0.13059185014244262	0.23648648648648649	-0.2757167956213351
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	human	HeLa	cervical adenocarcinoma	cultured_cell_line	mirin (MRE11 inhibitor)	no_drug	2	2	log2(CPM+1)	XRCC4	3.0416016386650924	2.271347660914204	-0.7702539777508886	rna_down	Same KO on a mirin background. Not the unstressed primary contrast.	27	-1.3664433046215354	0.1366970986384872	0.0630372220769757	0.0	-1.4924665485591886	86	-0.7248987243625411	0.12271404688401265	0.10489267637880477	0.05813953488372093	-0.5697884922606096	149	-0.5538377431414068	0.11267891548269661	0.09288167990008073	0.14093959731543623	-0.42681486254045
GSE154443_CH12F3_Lig4	GSE154443	LIG4	mouse	CH12F3	mouse B-cell lymphoma	cultured_cell_line	untreated	yes_unreplicated	1	1	log2(FPKM+1)	Lig4	0.17632277264046287	0.7136958148433591	0.5373730422028962	near_floor_both	Deposited matrix is one FPKM column per genotype, so there is no within-study SE. Directional only.	16	-0.34095752313587724			0.3125	-0.44698301853583544	76	-0.16069213949474204			0.4342105263157895	-0.3121340832105588	141	0.026764317223196166			0.524822695035461	0.039338544811593934
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	human	HCT116	colorectal carcinoma	cultured_cell_line	normoxia (vehicle)	yes	3	3	log2(CPM+1)	PRKDC	9.086044438135819	7.1359666421216685	-1.95007779601415	rna_down	DNA-PK knockout is PRKDC. Hypoxia (CoCl2) is a separate contrast.	19	0.5632563184527339	0.0625585029502106	0.0008850496957777641	0.8947368421052632	0.5266927210986898	76	0.25966228412992987	0.02228441742550617	0.0003114069610521664	0.7236842105263158	0.23918803720926207	142	0.21096230029111318	0.00824655884005548	1.3913735640111595e-05	0.6619718309859155	0.19947084065640142
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	human	HCT116	colorectal carcinoma	cultured_cell_line	CoCl2 hypoxia	no_drug	3	3	log2(CPM+1)	PRKDC	8.98236181050415	7.1704425083037675	-1.8119193022003826	rna_down	KO versus WT under CoCl2. Not the unstressed primary contrast.	19	0.48268117888560225	0.033837475533093415	0.00022163581893438938	0.8947368421052632	0.5045987934546687	75	0.2679063503203629	0.020511788322958257	0.0028882868102551745	0.68	0.20373911336371187	140	0.21053598538579443	0.02036680047317065	0.008490963001447135	0.6642857142857143	0.2256409992672821
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	human	MCF-7	breast carcinoma	cultured_cell_line	untreated	yes	3	6	log2(CPM+1)	TP53BP1	5.959883039502547	5.014925581622983	-0.9449574578795632	rna_down	Two independent 53BP1-null clones pooled (n=6) versus WT (n=3). Clones share a parental line, so the Welch n is not six independent knockouts.	23	0.71274142821831	0.13690332657523613	0.0013848331421671784	1.0	0.6146994249218825	77	0.2505489431838157	0.0520800301335709	0.00200113038319803	0.7402597402597403	0.1555479387851486	135	0.1561207642944642	0.039470406472336086	0.008297549744106524	0.6444444444444445	0.07300152021709883
GSE84986_MCF7_53BP1_clone1_untreated	GSE84986	TP53BP1	human	MCF-7	breast carcinoma	cultured_cell_line	untreated, clone 1	sensitivity	3	3	log2(CPM+1)	TP53BP1	5.959883039502547	4.81261303198675	-1.1472700075157967	rna_down	Clone-level sensitivity.	23	0.683744708784209	0.22204530520378712	0.06412535697067596	0.9565217391304348	0.6338472428874005	77	0.2550423052830313	0.0870124006493094	0.07498030016651143	0.7662337662337663	0.13829178229099703	135	0.15775775260251246	0.054456547263676255	0.056504878939112026	0.6592592592592592	0.08770527633919745
GSE84986_MCF7_53BP1_clone2_untreated	GSE84986	TP53BP1	human	MCF-7	breast carcinoma	cultured_cell_line	untreated, clone 2	sensitivity	3	3	log2(CPM+1)	TP53BP1	5.959883039502547	5.217238131259218	-0.7426449082433288	rna_down	Clone-level sensitivity.	22	0.7527247507954651	0.15587473860392048	0.011948782422442994	1.0	0.6474783443840164	76	0.2427137745395913	0.057267485835695124	0.01920446214558248	0.7236842105263158	0.12740326367924992	131	0.15755010826829663	0.05105358620898238	0.04526463942586914	0.6564885496183206	0.0953235808713302
GSE84986_MCF7_53BP1_IR	GSE84986	TP53BP1	human	MCF-7	breast carcinoma	cultured_cell_line	5 Gy IR, 4 h	no_baseline	3	6	log2(CPM+1)	TP53BP1	5.952397535689026	4.993754711629651	-0.9586428240593747	rna_down	Irradiated arm. Not the baseline primary contrast.	22	0.6852013399747006	0.11689169467834734	0.0008875304718140644	1.0	0.6030257627069658	77	0.2381554942954982	0.03974509652892516	0.0013786216951057507	0.7662337662337663	0.13266819762743953	134	0.15130402539794785	0.02391526025120452	0.0005326226980729406	0.6865671641791045	0.08806363239465309
GSE145148_MCF10A_XRCC4_vs_WT	GSE145148	XRCC4	human	MCF10A	non-tumorigenic mammary epithelium	cultured_cell_line	unstressed	no_not_cancer	2	2	log2(CPM+1)	XRCC4	3.0167645160460257	3.0924039107173025	0.07563939467127678	rna_not_reduced	MCF10A is not a cancer line. Scored because it is the clearest public XRCC4-KO RNA-seq and is the biological context for cGAS activation after NHEJ loss.	27	-1.5850421129031398	0.17020797906604826	0.025777471338032543	0.0	-1.591405297900863	89	-0.983424027530484	0.06142970025284784	0.022577844799253063	0.12359550561797752	-0.8358280649930757	164	-0.9340633088505852	0.039884626155179695	0.003249638054550862	0.10975609756097561	-0.6166935513668133
