Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,Mouse_treatment,pvalue,label,label2,num,count
SRX3178239,Cldn4,0.0372292484197536,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=7),Responders,0,GSE103725,BRAFi; antiPDL2;,NA,NA,NA,2,7
SRX3178240,Cldn4,0.0304104900980048,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=7),Responders,0,GSE103725,BRAFi; antiPDL2;,NA,NA,NA,2,7
SRX3178242,Cldn4,0.146777651748666,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=7),Non-responders,0,GSE103725,BRAFi; antiPDL2;,NA,NA,NA,2,7
SRX3178241,Cldn4,0,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=7),Non-responders,0,GSE103725,BRAFi; antiPDL2;,NA,NA,NA,2,7
SRX3178236,Cldn4,0,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=7),Baseline,1,GSE103725,BRAFi,NA,NA,NA,2,7
SRX3178237,Cldn4,0.225260120263625,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=7),Baseline,1,GSE103725,BRAFi,NA,NA,NA,2,7
SRX3178238,Cldn4,0,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=7),Baseline,1,GSE103725,BRAFi,NA,NA,NA,2,7
SRX7813727,Cldn4,4.15799513838953,YTN16_GSE146027_day7_antiCTLA4(n=9),Responders,0,GSE146027,antiCTLA4,6.21962096871058e-06,***,NA,2,9
SRX7813726,Cldn4,3.80226560842511,YTN16_GSE146027_day7_antiCTLA4(n=9),Responders,0,GSE146027,antiCTLA4,6.21962096871058e-06,NA,NA,2,9
SRX7813729,Cldn4,3.55899455449509,YTN16_GSE146027_day7_antiCTLA4(n=9),Responders,0,GSE146027,antiCTLA4,6.21962096871058e-06,NA,NA,2,9
SRX7813728,Cldn4,3.52247074057546,YTN16_GSE146027_day7_antiCTLA4(n=9),Responders,0,GSE146027,antiCTLA4,6.21962096871058e-06,NA,NA,2,9
SRX7813730,Cldn4,3.46929771073406,YTN16_GSE146027_day7_antiCTLA4(n=9),Responders,0,GSE146027,antiCTLA4,6.21962096871058e-06,NA,NA,2,9
SRX7813685,Cldn4,2.64208901834236,YTN16_GSE146027_day7_antiCTLA4(n=9),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,9
SRX7813686,Cldn4,1.50489136482466,YTN16_GSE146027_day7_antiCTLA4(n=9),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,9
SRX7813688,Cldn4,1.53978415366775,YTN16_GSE146027_day7_antiCTLA4(n=9),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,9
SRX7813689,Cldn4,0.950429593373165,YTN16_GSE146027_day7_antiCTLA4(n=9),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,9
SRX7813738,Cldn4,4.80695245705874,YTN16_GSE146027_day21_antiCTLA4(n=10),Responders,0,GSE146027,antiCTLA4,4.9775224865536e-07,***,NA,2,10
SRX7813737,Cldn4,4.53445117960229,YTN16_GSE146027_day21_antiCTLA4(n=10),Responders,0,GSE146027,antiCTLA4,4.9775224865536e-07,NA,NA,2,10
SRX7813736,Cldn4,4.45032966097183,YTN16_GSE146027_day21_antiCTLA4(n=10),Responders,0,GSE146027,antiCTLA4,4.9775224865536e-07,NA,NA,2,10
SRX7813739,Cldn4,4.26532414358544,YTN16_GSE146027_day21_antiCTLA4(n=10),Responders,0,GSE146027,antiCTLA4,4.9775224865536e-07,NA,NA,2,10
SRX7813740,Cldn4,3.66482026411164,YTN16_GSE146027_day21_antiCTLA4(n=10),Responders,0,GSE146027,antiCTLA4,4.9775224865536e-07,NA,NA,2,10
SRX7813705,Cldn4,5.90988252596313,YTN16_GSE146027_day21_antiCTLA4(n=10),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,10
SRX7813706,Cldn4,6.39942573095232,YTN16_GSE146027_day21_antiCTLA4(n=10),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,10
SRX7813707,Cldn4,5.11260835607924,YTN16_GSE146027_day21_antiCTLA4(n=10),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,10
SRX7813708,Cldn4,6.6730703229077,YTN16_GSE146027_day21_antiCTLA4(n=10),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,10
SRX7813709,Cldn4,6.23081676614005,YTN16_GSE146027_day21_antiCTLA4(n=10),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,10
SRX7813732,Cldn4,4.45754629314812,YTN16_GSE146027_day14_antiCTLA4(n=9),Responders,0,GSE146027,antiCTLA4,0.0178314156676923,*,NA,2,9
SRX7813735,Cldn4,4.07944936936231,YTN16_GSE146027_day14_antiCTLA4(n=9),Responders,0,GSE146027,antiCTLA4,0.0178314156676923,NA,NA,2,9
SRX7813734,Cldn4,4.0777397372373,YTN16_GSE146027_day14_antiCTLA4(n=9),Responders,0,GSE146027,antiCTLA4,0.0178314156676923,NA,NA,2,9
SRX7813733,Cldn4,3.96220482645636,YTN16_GSE146027_day14_antiCTLA4(n=9),Responders,0,GSE146027,antiCTLA4,0.0178314156676923,NA,NA,2,9
SRX7813731,Cldn4,3.27951958277543,YTN16_GSE146027_day14_antiCTLA4(n=9),Responders,0,GSE146027,antiCTLA4,0.0178314156676923,NA,NA,2,9
SRX7813695,Cldn4,3.36933679580032,YTN16_GSE146027_day14_antiCTLA4(n=9),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,9
SRX7813696,Cldn4,0.633483290590315,YTN16_GSE146027_day14_antiCTLA4(n=9),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,9
SRX7813697,Cldn4,1.85417522459391,YTN16_GSE146027_day14_antiCTLA4(n=9),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,9
SRX7813699,Cldn4,2.62222124195701,YTN16_GSE146027_day14_antiCTLA4(n=9),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,9
SRX7813721,Cldn4,1.29248199083317,YTN16_GSE146027_day10_antiPD1(n=8),Non-responders,0,GSE146027,antiPD1,0.275654846253517,NA,NA,2,8
SRX7813718,Cldn4,1.19746787222224,YTN16_GSE146027_day10_antiPD1(n=8),Non-responders,0,GSE146027,antiPD1,0.275654846253517,NA,NA,2,8
SRX7813720,Cldn4,0.98559150666241,YTN16_GSE146027_day10_antiPD1(n=8),Non-responders,0,GSE146027,antiPD1,0.275654846253517,NA,NA,2,8
SRX7813719,Cldn4,0.875957735549503,YTN16_GSE146027_day10_antiPD1(n=8),Non-responders,0,GSE146027,antiPD1,0.275654846253517,NA,NA,2,8
SRX7813710,Cldn4,1.57553210708361,YTN16_GSE146027_day10_antiPD1(n=8),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,8
SRX7813711,Cldn4,1.53799574739487,YTN16_GSE146027_day10_antiPD1(n=8),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,8
SRX7813712,Cldn4,1.61113743381617,YTN16_GSE146027_day10_antiPD1(n=8),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,8
SRX7813713,Cldn4,1.4047080618199,YTN16_GSE146027_day10_antiPD1(n=8),Baseline,1,GSE146027,no_treatment,NA,NA,NA,2,8
SRX7813724,Cldn4,1.49898300904555,YTN16_GSE146027_anti_IL17_day10_antiPD1(n=8),Responders,0,GSE146027,antiPD1; antiIL17,0.431582498296806,NA,NA,2,8
SRX7813723,Cldn4,1.41541850079272,YTN16_GSE146027_anti_IL17_day10_antiPD1(n=8),Responders,0,GSE146027,antiPD1; antiIL17,0.431582498296806,NA,NA,2,8
SRX7813725,Cldn4,1.20450134546374,YTN16_GSE146027_anti_IL17_day10_antiPD1(n=8),Responders,0,GSE146027,antiPD1; antiIL17,0.431582498296806,NA,NA,2,8
SRX7813722,Cldn4,0.982744291950801,YTN16_GSE146027_anti_IL17_day10_antiPD1(n=8),Responders,0,GSE146027,antiPD1; antiIL17,0.431582498296806,NA,NA,2,8
SRX7813714,Cldn4,0.924560562118862,YTN16_GSE146027_anti_IL17_day10_antiPD1(n=8),Baseline,1,GSE146027,anti_IL17,NA,NA,NA,2,8
SRX7813715,Cldn4,0.881366261844287,YTN16_GSE146027_anti_IL17_day10_antiPD1(n=8),Baseline,1,GSE146027,anti_IL17,NA,NA,NA,2,8
SRX7813716,Cldn4,0.800663459705382,YTN16_GSE146027_anti_IL17_day10_antiPD1(n=8),Baseline,1,GSE146027,anti_IL17,NA,NA,NA,2,8
SRX7813717,Cldn4,1.33911172410764,YTN16_GSE146027_anti_IL17_day10_antiPD1(n=8),Baseline,1,GSE146027,anti_IL17,NA,NA,NA,2,8
SRX5100603,Cldn4,0.650887688343615,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.567387735053989,NA,NA,2,9
SRX5100602,Cldn4,0.61615346543536,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.567387735053989,NA,NA,2,9
SRX5100600,Cldn4,0.3415303869973,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.567387735053989,NA,NA,2,9
SRX5100681,Cldn4,0.288911317110954,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.567387735053989,NA,NA,2,9
SRX5100684,Cldn4,0.143953668586096,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.567387735053989,NA,NA,2,9
SRX5100641,Cldn4,0.849583799525321,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,9
SRX5100723,Cldn4,0.0815400635949399,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,9
SRX5100858,Cldn4,0.621766357298083,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,9
SRX5100866,Cldn4,0.660667628883112,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,9
SRX5100790,Cldn4,1.36243229542901,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.577835901699376,NA,NA,2,8
SRX5100788,Cldn4,1.17139964366553,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.577835901699376,NA,NA,2,8
SRX5100789,Cldn4,0.496441896557031,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.577835901699376,NA,NA,2,8
SRX5100787,Cldn4,0.0620346500974043,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.577835901699376,NA,NA,2,8
SRX5100688,Cldn4,0.318018291893576,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,8
SRX5100710,Cldn4,0.185039374454079,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,8
SRX5100793,Cldn4,0.961916652630945,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,8
SRX5100794,Cldn4,0.458044915937024,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,8
SRX5100850,Cldn4,0.486645389709597,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.139418502044318,NA,NA,2,7
SRX5100851,Cldn4,0.40496087237685,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.139418502044318,NA,NA,2,7
SRX5100601,Cldn4,0.203654727228896,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7),Responders,0,GSE124821,antiPD1; antiCTLA4;,0.139418502044318,NA,NA,2,7
SRX5100842,Cldn4,0.199995786322291,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,7
SRX5100843,Cldn4,0.0497478512666221,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,7
SRX5100844,Cldn4,0.0598010319738207,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,7
SRX5100845,Cldn4,0.274466829962323,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,7
SRX5100814,Cldn4,0.842361809493536,T11_GSE124821_end_antiCTLA4&antiPD1(n=10),Non-responders,0,GSE124821,antiPD1; antiCTLA4;,0.96790140221435,NA,NA,2,10
SRX5100846,Cldn4,0.0822038946641995,T11_GSE124821_end_antiCTLA4&antiPD1(n=10),Non-responders,0,GSE124821,antiPD1; antiCTLA4;,0.96790140221435,NA,NA,2,10
SRX5100807,Cldn4,0.040843346627065,T11_GSE124821_end_antiCTLA4&antiPD1(n=10),Non-responders,0,GSE124821,antiPD1; antiCTLA4;,0.96790140221435,NA,NA,2,10
SRX5100847,Cldn4,0.0274923868180376,T11_GSE124821_end_antiCTLA4&antiPD1(n=10),Non-responders,0,GSE124821,antiPD1; antiCTLA4;,0.96790140221435,NA,NA,2,10
SRX5100849,Cldn4,0.0224232114543815,T11_GSE124821_end_antiCTLA4&antiPD1(n=10),Non-responders,0,GSE124821,antiPD1; antiCTLA4;,0.96790140221435,NA,NA,2,10
SRX5100762,Cldn4,0.039250716155561,T11_GSE124821_end_antiCTLA4&antiPD1(n=10),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,10
SRX5100768,Cldn4,0.0568734254532085,T11_GSE124821_end_antiCTLA4&antiPD1(n=10),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,10
SRX5100769,Cldn4,0.78726862657687,T11_GSE124821_end_antiCTLA4&antiPD1(n=10),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,10
SRX5100812,Cldn4,0.516552778602876,T11_GSE124821_end_antiCTLA4&antiPD1(n=10),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,10
SRX5100813,Cldn4,0.0527497482966169,T11_GSE124821_end_antiCTLA4&antiPD1(n=10),Baseline,1,GSE124821,no_treatment,NA,NA,NA,2,10
