cohort_or_study	accession_or_reference	ici_regimen	rna_response_linkage	public_status	decision	reason
CANTABRICO	GSE261345; doi:10.1158/1078-0432.CCR-24-0104	durvalumab + platinum-etoposide	Patient-level RECIST, TTP, PFS and OS linked to pretreatment GeoMx expression	Open	include	Open expression and deidentified outcomes; patient-level harmonization pinned to SCAPeSCLC v1.3.5
IMfirst	GSE261348; doi:10.1158/1078-0432.CCR-24-0104	atezolizumab + platinum-etoposide	Patient-level RECIST, TTP, PFS and OS linked to pretreatment GeoMx expression	Open	include	Open expression and deidentified outcomes; patient-level harmonization pinned to SCAPeSCLC v1.3.5
IMpower133	EGAS50000000138	atezolizumab + carboplatin-etoposide	Whole-transcriptome expression and clinical outcomes linked in EGA	Controlled	exclude	Explicitly excluded by request; EGA DAC approval required
CheckMate 032	doi:10.1016/j.jtho.2023.05.022	nivolumab or nivolumab + ipilimumab	286 pretreatment RNA profiles analyzed against durable benefit	Not publicly deposited	skip	No open sample-level expression matrix linked to patient outcomes identified
Tian et al. 14-patient cohort	doi:10.1038/s41392-022-01150-4	first-line nivolumab monotherapy	Open supplementary clinical table; targeted expression shown in publication	Expression not deposited	skip	PRJCA006026/OMIX002441 contains the separate early-stage single-cell cohort, not the 14-patient ICI targeted-expression matrix
University of Pennsylvania cohort	doi:10.3390/cancers16162795	first-line chemo-ICI or later-line ICI	35 pretreatment HTG transcriptomes with durable-benefit labels	Available on reasonable request	skip	Supplement contains signatures and aggregate clinical characteristics, not patient-level expression
CASPIAN	NCT03043872; doi:10.1186/s12943-024-02014-x	durvalumab ± tremelimumab + platinum-etoposide	RNA-seq linked to trial outcomes	Request/Vivli	skip	Not immediately open; manuscript directs RNA requests to sponsor/Vivli
CATS/ML43257	doi:10.1136/jitc-2024-008974	atezolizumab + carboplatin-etoposide	NanoString IO360 profiling linked to response and survival	No open sample-level matrix identified	skip	Publication and supplements expose aggregate analyses, not a reusable patient-level matrix
IMforte	NCT05091567; JCO 2026 abstract 8014	atezolizumab maintenance ± lurbinectedin	RNA-seq linked to PFS/OS	No open sample-level matrix identified	skip	Conference biomarker report only at audit cutoff
Harbin CosMx ES-SCLC	doi:10.1038/s41698-025-01005-5; PRJCA036290	immunochemotherapy (agent not deposited)	18 patients, 10 PR / 8 PD, CosMx 1000-plex + 20 custom genes	Not released	skip	BioProject PRJCA036290 returns "not released"; no open patient-level matrix; TACSTD2 not independently confirmed on the panel
AstraZeneca 159-patient multi-omic	doi:10.1186/s12943-025-02514-4	not a registrational ICI-outcome deposit	RNA-seq present in the study	Request/Vivli	skip	Lead-contact/Vivli sharing only
Nones et al. advanced SCLC	doi:10.1186/s13073-026-01624-y; GSE307029; EGAS00001007832	mixed real-world therapy, not an ICI-outcome RNA deposit	RNA/WGS in EGA; GEO is methylation	Controlled	skip	Open GEO file is EPIC methylation; RNA is EGA-controlled
Roper NCI ICB	doi:10.1038/s41467-021-24164-y; phs002176	durvalumab + olaparib or nivolumab	Pretreatment RNA linked to ICB outcome	dbGaP controlled	skip	Authorized access only; no open expression-by-outcome matrix
KEYNOTE-604	NCT03066778; doi:10.1200/jco.2023.41.16_suppl.8503	pembrolizumab + platinum-etoposide	316 RNA-seq profiles analyzed against OS	Sponsor-held	skip	No GSE/EGA/Vivli patient-level matrix identified
OMIX009794 SCLC_immunology	OMIX009794; PRJCA038426	not specified in public record	24 biopsy RNA count profiles	Controlled	skip	NGDC controlled access; MOST registration required
MATCH low-dose radiotherapy + ICI	PRJCA022534; OMIX006559; NCT04622228	atezolizumab + platinum-etoposide + low-dose radiotherapy	4 patient scRNA profiles alongside preclinical data	Controlled/unavailable	skip	Processed human data are controlled and currently unavailable for download
LungMate-005	HRA005288; NCT04539977; doi:10.1038/s41421-025-00838-5	TQB2450 + platinum-etoposide	Baseline RNA linked to radiologic response	GSA-Human controlled	skip	Sequence data require authorized access; source data do not provide a reusable TACSTD2 expression-by-response matrix
GSE299684 relapsed SCLC scRNA	GSE299684	standard care may include ICB; no response labels deposited	15 relapsed biopsies/resections	Open expression, no ICI endpoint	skip	Public scRNA lacks linked PD-1/PD-L1/CTLA-4 response
GSE337519 neoadjuvant lung cancer	GSE337519	neoadjuvant chemoimmunotherapy	Single paired pre/post scRNA case	Open	exclude	NSCLC/LUAD, not SCLC
