gse	decision	reason	tissue	platform	analyze_controls	response_fields	or_labels	dcb_labels	subset_lung	lung_field	lung_pattern	require
GSE93157	document_absent	Named series. NanoString PanCancer Immune 730-gene panel (GPL19965). Per-sample RECIST (best.resp) and PFS are present for NSCLC / HNSCC / melanoma anti-PD-1, but TACSTD2 and CLDN4 are not on the panel.	tumor (NSCLC / HNSCC / melanoma)	GPL19965	True	['best.resp']	{'CR': 1, 'PR': 1, 'SD': 0, 'PD': 0}	{'CR': 1, 'PR': 1, 'SD': 1, 'PD': 0}	True	source_name	LUNG	
GSE202417	analyze	Affymetrix Clariom D (GPL23126) measures TACSTD2 and CLDN4. Peripheral-blood CD8+ T cells from advanced NSCLC treated with nivolumab + bezafibrate; phenotype R / NR is annotated. Primary contrast is pre-treatment R vs NR.	blood CD8+ T cells (NSCLC)	GPL23126	True	['phenotype']	{'R': 1, 'NR': 0}	{'R': 1, 'NR': 0}				{'time': '(?i)pre'}
GSE67501	analyze	Classic older ICI microarray (Illumina HT-12 WG-DASL). RCC (not lung) anti-PD-1 with RECIST + binary response. Included because it is one of the few public array cohorts that both measures TACSTD2/CLDN4 and reports ICI response. n=11; interpret as exploratory.	RCC tumor (primary / metastasis)	GPL14951	True	['response to anti-pd-1 (nivolumab) immunotherapy (response or no-response)']	{'response': 1, 'no_response': 0}	{'response': 1, 'no_response': 0}				
GSE140901	document_absent	Same NanoString 730-gene immune panel as GSE93157 (HCC, not lung). Response labels exist; TACSTD2/CLDN4 are absent from the panel.	HCC tumor	GPL19965	True	['best_response']	{'CR': 1, 'PR': 1, 'SD': 0, 'PD': 0}	{'CR': 1, 'PR': 1, 'SD': 1, 'PD': 0}				
GSE248249	document_no_resp	Clariom D NSCLC FFPE pre/post immunotherapy; TACSTD2/CLDN4 are on the array, but GEO sample records do not carry RECIST or responder labels.	NSCLC FFPE tumor	GPL23126	False							
GSE141479	document_no_resp	Clariom D blood CD8+ from NSCLC patients on nivolumab; TACSTD2/CLDN4 are on the array, but GEO has no response annotation (Havel et al. 2020; labels live in the paper, not the SOFT).	blood CD8+ T cells (NSCLC)	GPL23126	False							
GSE305086	document_no_resp	HG-U133 Plus 2.0 whole-blood under immunotherapy (1LIO / 2LIO / CHTIO). TACSTD2/CLDN4 probes exist, but GEO annotates treatment line / timepoint only — no RECIST.	whole blood	GPL570	False							
GSE99070	document_no_resp	Illumina HT-12 v4 malignant pleural mesothelioma; some samples treated with nivolumab/pembrolizumab vs treatment-naive. TACSTD2/CLDN4 present. No RECIST. Not lung NSCLC.	mesothelioma tumor	GPL10558	False							
GSE180347	exclude	NanoString Cancer Immune panel on PD-L1+/- 'hot' LUAD. No ICI treatment, no response. Panel does not list TACSTD2/CLDN4.	LUAD tumor	GPL29738	False							
GSE190731	exclude	Durvalumab/oleclumab-treated NSCLC xenografts (cell-line), not patient tumors.	xenograft	GPL570	False							
GSE261345	exclude	ES-SCLC chemo-immunotherapy with RECIST, but platform GPL30173 is NextSeq 2000 (GeoMx DSP sequencing), not a microarray.	ES-SCLC (spatial)	GPL30173	False							
GSE261348	exclude	Sister series to GSE261345 (atezolizumab + platinum/etoposide). Sequencing, not microarray.	ES-SCLC (spatial)	GPL30173	False							
GSE135222	exclude	NSCLC anti-PD-1 with PFS, but RNA-seq (GPL16791), out of this microarray slice.	NSCLC tumor	GPL16791	False							
GSE126044	exclude	NSCLC anti-PD-1, RNA-seq. Out of slice.	NSCLC tumor	GPL16791	False							
GSE136961	exclude	NSCLC anti-PD-1 durable-benefit signatures, RNA-seq. Out of slice.	NSCLC tumor	GPL24014	False							
